Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --seed 8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 8
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T500_E200_D800.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
Gen 7050: best_fit = 1340.68
Gen 7100: best_fit = 1340.41
Gen 7150: best_fit = 1337.91
Gen 7200: best_fit = 1337.74
Gen 7250: best_fit = 1337.1
Gen 7300: best_fit = 1336.3
Gen 7350: best_fit = 1335.94
Gen 7400: best_fit = 1334.22
Gen 7450: best_fit = 1333.95
Gen 7500: best_fit = 1333.31
Gen 7550: best_fit = 1332.92
Gen 7600: best_fit = 1331.14
Gen 7650: best_fit = 1330.97
Gen 7700: best_fit = 1330.56
Gen 7750: best_fit = 1329.88
Gen 7800: best_fit = 1329.31
Gen 7850: best_fit = 1328.98
Gen 7900: best_fit = 1328.76
Gen 7950: best_fit = 1328.15
Gen 8000: best_fit = 1327.58
Gen 8050: best_fit = 1326.1
Gen 8100: best_fit = 1325.85
Gen 8150: best_fit = 1325.19
Gen 8200: best_fit = 1324.42
Gen 8250: best_fit = 1324.24
Gen 8300: best_fit = 1323
Gen 8350: best_fit = 1322.68
Gen 8400: best_fit = 1322.44
Gen 8450: best_fit = 1322.07
Gen 8500: best_fit = 1321.72
Gen 8550: best_fit = 1321.26
Gen 8600: best_fit = 1321.11
Gen 8650: best_fit = 1320.77
Gen 8700: best_fit = 1319.13
Gen 8750: best_fit = 1317.06
Gen 8800: best_fit = 1316.79
Gen 8850: best_fit = 1316.49
Gen 8900: best_fit = 1316.11
Gen 8950: best_fit = 1315.66
Gen 9000: best_fit = 1315.43
Gen 9050: best_fit = 1314.89
Gen 9100: best_fit = 1314.41
Gen 9150: best_fit = 1313.96
Gen 9200: best_fit = 1313.85
Gen 9250: best_fit = 1313.41
Gen 9300: best_fit = 1312.75
Gen 9350: best_fit = 1312.69
Gen 9400: best_fit = 1312.61
Gen 9450: best_fit = 1311.99
Gen 9500: best_fit = 1311.92
Gen 9550: best_fit = 1311.35
Gen 9600: best_fit = 1311.15
Gen 9650: best_fit = 1310.92
Gen 9700: best_fit = 1310.49
Gen 9750: best_fit = 1310.41
Gen 9800: best_fit = 1310.21
Gen 9850: best_fit = 1310.08
Gen 9900: best_fit = 1310
Gen 9950: best_fit = 1309.84
Gen 10000: best_fit = 1309.52

=== Final Results (CC-HIHH-UCB) ===
Solver: CCHIHH
Subpopulations per block: 8
Generations = 10000
The best solution = 1309.52
Time = 1035.37 s

exit code 0
