generation,block_id,reward_mean,reward_variance,reward_min,reward_max
1,0,0.002382454019874191,0.0002600626065691995,-0.005377789025491476,0.04491305631070241
1,1,0.2,7.703719777548943e-34,0.2,0.2
1,2,0.2,7.703719777548943e-34,0.2,0.2
2,0,0.002272063955311248,1.317071179658045e-05,-0.001171270565503519,0.009091218860897601
2,1,0.0006718388557906379,2.723040359501219e-06,-0.00221891912932438,0.002903165837540648
2,2,0.001134518951071247,9.872749292541382e-06,-0.003757271425657275,0.006631035138528302
3,0,0.004191935380064396,1.788275500921472e-05,-0.003271125117486012,0.008148127426074028
3,1,0.0001909112566835219,1.326473965378876e-06,-0.002057922726756632,0.001573483023368009
3,2,-6.609147512448332e-06,6.107484140390895e-07,-0.001240735470602013,0.001340813776392994
4,0,0.00232283179186517,1.72127565321849e-05,-0.0005915356723932693,0.01312238761778811
4,1,0.0001048669267479847,1.180096695818955e-06,-0.002089564928000003,0.001816774587904494
4,2,0.001295548301031429,6.365896779707021e-06,-0.0009880624999999976,0.005179159980721965
5,0,0.00552176683396031,9.419626393316042e-05,-4.814824860968842e-38,0.02538951311270918
5,1,-0.0005188841856135809,1.432938752301925e-06,-0.003644898107304791,0.0001616519317091397
5,2,0.0003024327117623915,6.179800236782337e-07,-0.000484835780599674,0.001666663107920227
6,0,-0.0002921145373539947,3.984013669723134e-07,-0.00192319958374087,0
6,1,-0.0005821680055846089,5.250255704834059e-07,-0.001696093040775236,0.0002986519487120672
6,2,0.0003350822728950292,8.032470347107674e-07,-0.0003676122283803339,0.002262228947739463
7,0,0.0009486741628052015,9.200143904219087e-07,0,0.002149237731145431
7,1,0.0005580519721491057,1.682725929390102e-06,-0.0009134106352658349,0.003075518234022679
7,2,7.293836383004428e-05,3.073066856455399e-07,-0.0004836911883751927,0.001469264349655083
8,0,0.0003593997708760474,8.550474335878809e-07,-0.0009160177817543506,0.002515979846992874
8,1,0.000441104800877603,1.770052924877234e-06,-0.0007175641715060398,0.003881926648086198
8,2,-4.87892372436741e-05,8.871131460095634e-07,-0.001128791191757253,0.002162604296511096
9,0,0.0006820650932964352,1.031917104559892e-06,0,0.002409202745338988
9,1,-0.0003779225733884956,9.373931444843374e-06,-0.005733374458369829,0.006082774455506136
9,2,-0.0002261192391695484,8.532992016885396e-08,-0.0006236095562117787,0
10,0,0.001457692371639291,1.613975982848424e-06,-0.0007627631413636149,0.002417229052950789
10,1,9.903778732396902e-05,1.123097558261961e-07,-0.0002047633363967356,0.0009458772524652144
10,2,0.0005806459775355389,1.585941361611707e-06,-0.001170830645458032,0.002943020333958945
11,0,-1.440955406670943e-06,1.453446738809956e-11,-1.152764325336754e-05,0
11,1,-0.0004352124746754859,7.456631054416536e-07,-0.00244198083943384,0.0001789966368969855
11,2,-1.2251873389369e-05,1.037647288610109e-07,-0.0007852662212171493,0.0004216074218750018
12,0,0.0001553405916454824,2.203466600384343e-11,0.000145691492435103,0.0001580629584335915
12,1,-0.001054913329423955,1.147817454910236e-06,-0.002256507922180425,5.059239024538115e-05
12,2,0.0001779057470940622,4.730278860523792e-07,-0.0005181355594779058,0.001941381536230404
13,0,0,0,0,0
13,1,-0.0002505049608130225,5.000756552163627e-07,-0.002120184534084417,7.667284364219138e-05
13,2,-0.0002019995577637177,1.625551919099293e-07,-0.001208716226157246,0
14,0,0,0,0,0
14,1,0.0001630927186599158,1.959636986494136e-07,-2.929178095991206e-05,0.001334033530239238
14,2,-4.495816907996035e-05,7.929638573936769e-09,-0.0002662254462226489,0
15,0,0,0,0,0
15,1,-0.0004322634302268324,1.37226863771926e-06,-0.003530956735372711,7.284929355805201e-05
15,2,0.0001894114891051614,2.511369854352428e-07,0,0.001515291912841291
16,0,0.0007910221065011449,1.85855719989323e-12,0.0007902012833441891,0.0007938886095150325
16,1,0.0001553400445982276,8.282891581741005e-07,-0.001599038673088577,0.001756018016955263
16,2,0.0002317749610018106,1.470118443794958e-06,-0.0009672853672602435,0.003335137690713135
17,0,0.0007389248374613713,7.800549118016986e-08,0,0.0008495918740051799
17,1,-0.0003509545736049528,1.177955221363268e-06,-0.00209702925215296,0.0009091416523382186
17,2,0.0002650419962850365,2.920317487009979e-07,0,0.001674699319886109
18,0,0.0001055428729508404,7.798223780752929e-08,-3.387867587590623e-08,0.0008443768622825993
18,1,-0.0002891433073070349,6.602281318649273e-07,-0.002271665783548347,0.0003744653940864388
18,2,-5.081267701554883e-05,2.109079149964222e-08,-0.0004342918910853332,2.779047496094256e-05
19,0,0,0,0,0
19,1,-0.0002164116984702943,7.473890458513247e-07,-0.002427356885382839,0.0006792951742143746
19,2,0.0009111085703688482,1.924652382507966e-06,0,0.003894259747728225
20,0,0.00112196569545051,7.552877881279652e-07,0,0.001799877500576839
20,1,0.0001089845080878645,8.314336102207661e-08,0,0.0008718760647029159
20,2,-2.210025477023397e-05,3.418948826364746e-09,-0.0001768020381618718,0
21,0,0.000672539770862933,7.538496892003083e-07,0,0.001794188306283609
21,1,-0.0003699209322154611,9.847239323984204e-07,-0.002995202708122683,3.583525039899359e-05
21,2,0.0001208714227209691,1.309959306586084e-06,-0.001027459909537662,0.002959633660401686
22,0,0,0,0,0
22,1,-0.0005160407741148041,1.071363918426603e-06,-0.002367007331468613,0.0002368690908219513
22,2,-1.18934742565583e-05,9.901831092399056e-10,-9.514779405246643e-05,0
23,0,0.0001581804991393341,8.340844530151751e-09,0,0.0002118255445344406
23,1,-0.0001373901549409133,8.48362917642295e-07,-0.002349589627255763,0.001188929487295834
23,2,0,0,0,0
24,0,0,0,0,0
24,1,-0.0007599546017225212,3.59709536008118e-06,-0.004344789152327284,0.001057771580053589
24,2,6.681461068793085e-05,4.515908535334454e-08,-0.0001058785018163477,0.0006207994545002867
25,0,0.0004885448727240062,1.480064062171362e-07,0,0.0009568111094608139
25,1,2.983957386554247e-06,6.23280117934016e-11,0,2.387165909243398e-05
25,2,-9.590632656686864e-05,7.221845108472012e-08,-0.0006162201612598339,0.0002203253195505642
26,0,0,0,0,0
26,1,3.857851026280158e-05,1.041811017867961e-08,0,0.0003086280821024126
26,2,-9.843030856493813e-05,2.636683215532642e-08,-0.0004411478142788222,0
