problem,algorithm,mean,std,cv,improvement_pct,qas,notes
T100,CCHIHH-full,0.3423143,0.0008652648207340859,0.002527691132780856,3.0942856325940493,1224.1549580426192,
T100,CGA,0.35324469999999997,0.0014366120596737253,0.004066903366628644,N/A,N/A,QAS 参考基线
T100,IMOMA,0.3774716,0.0013880565694524192,0.0036772476908260624,-6.858390232040297,N/A,论文将其写为 N/A，因为均值劣于 CGA
T100,Gbest-DE,0.351107125,0.0008972521158375746,0.0025554938990132274,0.6051258518528225,236.7940898182087,
T100,PPO,0.3889455855,0.0012537478079791265,0.003223452983448571,-10.106559419008992,N/A,
T100,DSAC-DE,0.3249785,0.001857213786832305,0.005714882020910014,8.001875187370105,1400.1820436698918,
T200,CCHIHH-full,0.038271,0.0018321587169238369,0.047873290923253556,22.92629419488578,478.8953036806952,
T200,CGA,0.049655066666666664,0.0008042525239141145,0.016196786710871693,N/A,N/A,QAS 参考基线
T200,IMOMA,0.0575982,0.0015303022564186473,0.02656857777532366,-15.996622029843222,N/A,论文将其写为 N/A，因为均值劣于 CGA
T200,Gbest-DE,0.03682952222222222,0.0015250182219514474,0.041407494041051686,25.829276457409733,623.7826522851734,
T200,PPO,0.07176245451,0.006057594829693964,0.08441175641295612,-44.5219175552411,N/A,
T200,DSAC-DE,0.04712089,0.0015280310169954014,0.03242788956226,5.103561100176415,157.38184535190985,
T500,CCHIHH-full,0.02604341,0.0008883022936478326,0.03410852471499825,33.58541559401011,984.6633905934337,
T500,CGA,0.03921339,0.0008317765234123891,0.02121154338893906,N/A,N/A,QAS 参考基线
T500,IMOMA,0.04650165,0.0013030919670153757,0.02802248881524367,-18.586151312090074,N/A,论文将其写为 N/A，因为均值劣于 CGA
T500,Gbest-DE,0.02600069,0.00046465993253130833,0.017871061596107962,33.69435797313112,1885.4144613585363,
T500,PPO,0.05751403487,0.017686332880004655,0.30751333861346,-46.66937714387866,N/A,
T500,DSAC-DE,0.03847213,0.012254202362295965,0.3185215469560943,1.8903236879035465,5.934680733432809,
