problem,f1_ref,f2_ref,shared_across_methods_flag,fixed_across_runs_flag,notes
T100,90.8788;90.899;90.9285,7.54135;14.6194,False,False,来自各算法各自日志；至少 f1_ref 跨算法/跨 seed 不恒定
T200,22665.1,1872.4;1874.7;1876.24;1877.05;1879.96;1881.4;1882.0;1882.1;1883.51;1883.86,False,False,来自各算法各自日志；至少 f1_ref 跨算法/跨 seed 不恒定
T500,28535.9;45776.3;45778.6;45854.3;46124.7;46167.0;46193.5;46341.6;46351.6;46470.3,3516.01;5808.73;5811.96;5812.64;5813.54;5813.88;5813.91;5814.22;5814.69;5815.55,False,False,来自各算法各自日志；至少 f1_ref 跨算法/跨 seed 不恒定
