problem,algorithm_a,algorithm_b,seed,fitness_a,fitness_b
T100,CCHIHH-noCC,CGA,6,0.353698,0.350839
T100,CCHIHH-noCC,CGA,7,0.357436,0.354413
T100,CCHIHH-noCC,CGA,8,0.344365,0.355782
T100,CCHIHH-noCC,CGA,9,0.353719,0.352207
T100,CCHIHH-noCC,CGA,10,0.354454,0.354286
T100,CCHIHH-noCC,IMOMA,1,0.348102,0.37835
T100,CCHIHH-noCC,IMOMA,2,0.344712,0.376144
T100,CCHIHH-noCC,IMOMA,3,0.351615,0.377043
T100,CCHIHH-noCC,IMOMA,4,0.361623,0.377288
T100,CCHIHH-noCC,IMOMA,5,0.358539,0.376491
T100,CCHIHH-noCC,IMOMA,6,0.353698,0.380004
T100,CCHIHH-noCC,IMOMA,7,0.357436,0.377165
T100,CCHIHH-noCC,IMOMA,8,0.344365,0.378329
T100,CCHIHH-noCC,IMOMA,9,0.353719,0.37498
T100,CCHIHH-noCC,IMOMA,10,0.354454,0.378922
T100,CCHIHH-noCC,PPO,1,0.348102,0.3873770469
T100,CCHIHH-noCC,PPO,2,0.344712,0.3874587416
T100,CCHIHH-noCC,PPO,3,0.351615,0.3885411966
T100,CCHIHH-noCC,PPO,4,0.361623,0.3895215333
T100,CCHIHH-noCC,PPO,5,0.358539,0.3900117016
T100,CCHIHH-noCC,PPO,6,0.353698,0.3919111038
T100,CCHIHH-noCC,PPO,7,0.357436,0.3882552651
T100,CCHIHH-noCC,PPO,8,0.344365,0.3886024677
T100,CCHIHH-noCC,PPO,9,0.353719,0.3889905176
T100,CCHIHH-noCC,PPO,10,0.354454,0.3887862808
T100,CCHIHH-noCC,DSAC-DE,1,0.348102,0.324207
T100,CCHIHH-noCC,DSAC-DE,2,0.344712,0.323775
T100,CCHIHH-noCC,DSAC-DE,3,0.351615,0.324175
T100,CCHIHH-noCC,DSAC-DE,4,0.361623,0.324333
T100,CCHIHH-noCC,DSAC-DE,5,0.358539,0.323807
T100,CCHIHH-noCC,DSAC-DE,6,0.353698,0.324249
T100,CCHIHH-noCC,DSAC-DE,7,0.357436,0.324007
T100,CCHIHH-noCC,DSAC-DE,8,0.344365,0.324639
T100,CCHIHH-noCC,DSAC-DE,9,0.353719,0.326507
T100,CCHIHH-noCC,DSAC-DE,10,0.354454,0.330086
T100,CCHIHH-noCB,CCHIHH-noMig,1,0.356599,0.34992
T100,CCHIHH-noCB,CCHIHH-noMig,2,0.353637,0.347122
T100,CCHIHH-noCB,CCHIHH-noMig,3,0.354597,0.351084
T100,CCHIHH-noCB,CCHIHH-noMig,4,0.354883,0.348674
T100,CCHIHH-noCB,CCHIHH-noMig,5,0.355741,0.347449
T100,CCHIHH-noCB,CCHIHH-noMig,6,0.354577,0.347469
T100,CCHIHH-noCB,CCHIHH-noMig,7,0.355843,0.352003
T100,CCHIHH-noCB,CCHIHH-noMig,8,0.3557,0.34894
T100,CCHIHH-noCB,CCHIHH-noMig,9,0.359785,0.347939
T100,CCHIHH-noCB,CCHIHH-noMig,10,0.354883,0.347469
T100,CCHIHH-noCB,CGA,1,0.356599,0.354537
T100,CCHIHH-noCB,CGA,2,0.353637,0.353453
T100,CCHIHH-noCB,CGA,3,0.354597,0.352494
T100,CCHIHH-noCB,CGA,4,0.354883,0.352719
T100,CCHIHH-noCB,CGA,5,0.355741,0.351717
T100,CCHIHH-noCB,CGA,6,0.354577,0.350839
T100,CCHIHH-noCB,CGA,7,0.355843,0.354413
T100,CCHIHH-noCB,CGA,8,0.3557,0.355782
T100,CCHIHH-noCB,CGA,9,0.359785,0.352207
T100,CCHIHH-noCB,CGA,10,0.354883,0.354286
T100,CCHIHH-noCB,IMOMA,1,0.356599,0.37835
T100,CCHIHH-noCB,IMOMA,2,0.353637,0.376144
T100,CCHIHH-noCB,IMOMA,3,0.354597,0.377043
T100,CCHIHH-noCB,IMOMA,4,0.354883,0.377288
T100,CCHIHH-noCB,IMOMA,5,0.355741,0.376491
T100,CCHIHH-noCB,IMOMA,6,0.354577,0.380004
T100,CCHIHH-noCB,IMOMA,7,0.355843,0.377165
T100,CCHIHH-noCB,IMOMA,8,0.3557,0.378329
T100,CCHIHH-noCB,IMOMA,9,0.359785,0.37498
T100,CCHIHH-noCB,IMOMA,10,0.354883,0.378922
T100,CCHIHH-noCB,PPO,1,0.356599,0.3873770469
T100,CCHIHH-noCB,PPO,2,0.353637,0.3874587416
T100,CCHIHH-noCB,PPO,3,0.354597,0.3885411966
T100,CCHIHH-noCB,PPO,4,0.354883,0.3895215333
T100,CCHIHH-noCB,PPO,5,0.355741,0.3900117016
T100,CCHIHH-noCB,PPO,6,0.354577,0.3919111038
T100,CCHIHH-noCB,PPO,7,0.355843,0.3882552651
T100,CCHIHH-noCB,PPO,8,0.3557,0.3886024677
T100,CCHIHH-noCB,PPO,9,0.359785,0.3889905176
T100,CCHIHH-noCB,PPO,10,0.354883,0.3887862808
T100,CCHIHH-noCB,DSAC-DE,1,0.356599,0.324207
T100,CCHIHH-noCB,DSAC-DE,2,0.353637,0.323775
T100,CCHIHH-noCB,DSAC-DE,3,0.354597,0.324175
T100,CCHIHH-noCB,DSAC-DE,4,0.354883,0.324333
T100,CCHIHH-noCB,DSAC-DE,5,0.355741,0.323807
T100,CCHIHH-noCB,DSAC-DE,6,0.354577,0.324249
T100,CCHIHH-noCB,DSAC-DE,7,0.355843,0.324007
T100,CCHIHH-noCB,DSAC-DE,8,0.3557,0.324639
T100,CCHIHH-noCB,DSAC-DE,9,0.359785,0.326507
T100,CCHIHH-noCB,DSAC-DE,10,0.354883,0.330086
T100,CCHIHH-noMig,CGA,1,0.34992,0.354537
T100,CCHIHH-noMig,CGA,2,0.347122,0.353453
T100,CCHIHH-noMig,CGA,3,0.351084,0.352494
T100,CCHIHH-noMig,CGA,4,0.348674,0.352719
T100,CCHIHH-noMig,CGA,5,0.347449,0.351717
T100,CCHIHH-noMig,CGA,6,0.347469,0.350839
T100,CCHIHH-noMig,CGA,7,0.352003,0.354413
T100,CCHIHH-noMig,CGA,8,0.34894,0.355782
T100,CCHIHH-noMig,CGA,9,0.347939,0.352207
T100,CCHIHH-noMig,CGA,10,0.347469,0.354286
T100,CCHIHH-noMig,IMOMA,1,0.34992,0.37835
T100,CCHIHH-noMig,IMOMA,2,0.347122,0.376144
T100,CCHIHH-noMig,IMOMA,3,0.351084,0.377043
T100,CCHIHH-noMig,IMOMA,4,0.348674,0.377288
T100,CCHIHH-noMig,IMOMA,5,0.347449,0.376491
T100,CCHIHH-noMig,IMOMA,6,0.347469,0.380004
T100,CCHIHH-noMig,IMOMA,7,0.352003,0.377165
T100,CCHIHH-noMig,IMOMA,8,0.34894,0.378329
T100,CCHIHH-noMig,IMOMA,9,0.347939,0.37498
T100,CCHIHH-noMig,IMOMA,10,0.347469,0.378922
T100,CCHIHH-noMig,PPO,1,0.34992,0.3873770469
T100,CCHIHH-noMig,PPO,2,0.347122,0.3874587416
T100,CCHIHH-noMig,PPO,3,0.351084,0.3885411966
T100,CCHIHH-noMig,PPO,4,0.348674,0.3895215333
T100,CCHIHH-noMig,PPO,5,0.347449,0.3900117016
T100,CCHIHH-noMig,PPO,6,0.347469,0.3919111038
T100,CCHIHH-noMig,PPO,7,0.352003,0.3882552651
T100,CCHIHH-noMig,PPO,8,0.34894,0.3886024677
T100,CCHIHH-noMig,PPO,9,0.347939,0.3889905176
T100,CCHIHH-noMig,PPO,10,0.347469,0.3887862808
T100,CCHIHH-noMig,DSAC-DE,1,0.34992,0.324207
T100,CCHIHH-noMig,DSAC-DE,2,0.347122,0.323775
T100,CCHIHH-noMig,DSAC-DE,3,0.351084,0.324175
T100,CCHIHH-noMig,DSAC-DE,4,0.348674,0.324333
T100,CCHIHH-noMig,DSAC-DE,5,0.347449,0.323807
T100,CCHIHH-noMig,DSAC-DE,6,0.347469,0.324249
T100,CCHIHH-noMig,DSAC-DE,7,0.352003,0.324007
T100,CCHIHH-noMig,DSAC-DE,8,0.34894,0.324639
T100,CCHIHH-noMig,DSAC-DE,9,0.347939,0.326507
T100,CCHIHH-noMig,DSAC-DE,10,0.347469,0.330086
T100,CGA,IMOMA,1,0.354537,0.37835
T100,CGA,IMOMA,2,0.353453,0.376144
T100,CGA,IMOMA,3,0.352494,0.377043
T100,CGA,IMOMA,4,0.352719,0.377288
T100,CGA,IMOMA,5,0.351717,0.376491
T100,CGA,IMOMA,6,0.350839,0.380004
T100,CGA,IMOMA,7,0.354413,0.377165
T100,CGA,IMOMA,8,0.355782,0.378329
T100,CGA,IMOMA,9,0.352207,0.37498
T100,CGA,IMOMA,10,0.354286,0.378922
T100,CGA,PPO,1,0.354537,0.3873770469
T100,CGA,PPO,2,0.353453,0.3874587416
T100,CGA,PPO,3,0.352494,0.3885411966
T100,CGA,PPO,4,0.352719,0.3895215333
T100,CGA,PPO,5,0.351717,0.3900117016
T100,CGA,PPO,6,0.350839,0.3919111038
T100,CGA,PPO,7,0.354413,0.3882552651
T100,CGA,PPO,8,0.355782,0.3886024677
T100,CGA,PPO,9,0.352207,0.3889905176
T100,CGA,PPO,10,0.354286,0.3887862808
T100,CGA,DSAC-DE,1,0.354537,0.324207
T100,CGA,DSAC-DE,2,0.353453,0.323775
T100,CGA,DSAC-DE,3,0.352494,0.324175
T100,CGA,DSAC-DE,4,0.352719,0.324333
T100,CGA,DSAC-DE,5,0.351717,0.323807
T100,CGA,DSAC-DE,6,0.350839,0.324249
T100,CGA,DSAC-DE,7,0.354413,0.324007
T100,CGA,DSAC-DE,8,0.355782,0.324639
T100,CGA,DSAC-DE,9,0.352207,0.326507
T100,CGA,DSAC-DE,10,0.354286,0.330086
T100,IMOMA,PPO,1,0.37835,0.3873770469
