problem,algorithm_a,algorithm_b,seed,fitness_a,fitness_b
T200,CCHIHH-noCB,DSAC-DE,4,0.0465011,0.0498508
T200,CCHIHH-noCB,DSAC-DE,5,0.045255,0.0459053
T200,CCHIHH-noCB,DSAC-DE,6,0.0501723,0.0477472
T200,CCHIHH-noCB,DSAC-DE,7,0.0478699,0.0463102
T200,CCHIHH-noCB,DSAC-DE,8,0.047253,0.0470571
T200,CCHIHH-noCB,DSAC-DE,9,0.0495471,0.0491592
T200,CCHIHH-noCB,DSAC-DE,10,0.0479016,0.0448205
T200,CCHIHH-noMig,IMOMA,1,0.0447738,0.0561089
T200,CCHIHH-noMig,IMOMA,2,0.0528554,0.0576837
T200,CCHIHH-noMig,IMOMA,3,0.0398658,0.0604564
T200,CCHIHH-noMig,IMOMA,4,0.0471413,0.0559108
T200,CCHIHH-noMig,IMOMA,5,0.0439247,0.056316
T200,CCHIHH-noMig,IMOMA,6,0.0456305,0.0581088
T200,CCHIHH-noMig,IMOMA,7,0.0481957,0.0598028
T200,CCHIHH-noMig,IMOMA,8,0.0439191,0.0579043
T200,CCHIHH-noMig,IMOMA,9,0.0462242,0.0558003
T200,CCHIHH-noMig,IMOMA,10,0.0399262,0.05789
T200,CCHIHH-noMig,PPO,1,0.0447738,0.0698432241
T200,CCHIHH-noMig,PPO,2,0.0528554,0.0694646888
T200,CCHIHH-noMig,PPO,3,0.0398658,0.0682176149
T200,CCHIHH-noMig,PPO,4,0.0471413,0.0718451304
T200,CCHIHH-noMig,PPO,5,0.0439247,0.0696056903
T200,CCHIHH-noMig,PPO,6,0.0456305,0.072833433
T200,CCHIHH-noMig,PPO,7,0.0481957,0.0670860105
T200,CCHIHH-noMig,PPO,8,0.0439191,0.0893340474
T200,CCHIHH-noMig,PPO,9,0.0462242,0.0692226247
T200,CCHIHH-noMig,PPO,10,0.0399262,0.070172081
T200,CCHIHH-noMig,DSAC-DE,1,0.0447738,0.0455815
T200,CCHIHH-noMig,DSAC-DE,2,0.0528554,0.0482269
T200,CCHIHH-noMig,DSAC-DE,3,0.0398658,0.0465502
T200,CCHIHH-noMig,DSAC-DE,4,0.0471413,0.0498508
T200,CCHIHH-noMig,DSAC-DE,5,0.0439247,0.0459053
T200,CCHIHH-noMig,DSAC-DE,6,0.0456305,0.0477472
T200,CCHIHH-noMig,DSAC-DE,7,0.0481957,0.0463102
T200,CCHIHH-noMig,DSAC-DE,8,0.0439191,0.0470571
T200,CCHIHH-noMig,DSAC-DE,9,0.0462242,0.0491592
T200,CCHIHH-noMig,DSAC-DE,10,0.0399262,0.0448205
T200,IMOMA,PPO,1,0.0561089,0.0698432241
T200,IMOMA,PPO,2,0.0576837,0.0694646888
T200,IMOMA,PPO,3,0.0604564,0.0682176149
T200,IMOMA,PPO,4,0.0559108,0.0718451304
T200,IMOMA,PPO,5,0.056316,0.0696056903
T200,IMOMA,PPO,6,0.0581088,0.072833433
T200,IMOMA,PPO,7,0.0598028,0.0670860105
T200,IMOMA,PPO,8,0.0579043,0.0893340474
T200,IMOMA,PPO,9,0.0558003,0.0692226247
T200,IMOMA,PPO,10,0.05789,0.070172081
T200,IMOMA,DSAC-DE,1,0.0561089,0.0455815
T200,IMOMA,DSAC-DE,2,0.0576837,0.0482269
T200,IMOMA,DSAC-DE,3,0.0604564,0.0465502
T200,IMOMA,DSAC-DE,4,0.0559108,0.0498508
T200,IMOMA,DSAC-DE,5,0.056316,0.0459053
T200,IMOMA,DSAC-DE,6,0.0581088,0.0477472
T200,IMOMA,DSAC-DE,7,0.0598028,0.0463102
T200,IMOMA,DSAC-DE,8,0.0579043,0.0470571
T200,IMOMA,DSAC-DE,9,0.0558003,0.0491592
T200,IMOMA,DSAC-DE,10,0.05789,0.0448205
T200,PPO,DSAC-DE,1,0.0698432241,0.0455815
T200,PPO,DSAC-DE,2,0.0694646888,0.0482269
T200,PPO,DSAC-DE,3,0.0682176149,0.0465502
T200,PPO,DSAC-DE,4,0.0718451304,0.0498508
T200,PPO,DSAC-DE,5,0.0696056903,0.0459053
T200,PPO,DSAC-DE,6,0.072833433,0.0477472
T200,PPO,DSAC-DE,7,0.0670860105,0.0463102
T200,PPO,DSAC-DE,8,0.0893340474,0.0470571
T200,PPO,DSAC-DE,9,0.0692226247,0.0491592
T200,PPO,DSAC-DE,10,0.070172081,0.0448205
T500,CCHIHH-full,CCHIHH-noCC,1,0.0254842,0.0431578
T500,CCHIHH-full,CCHIHH-noCC,2,0.0277064,0.0470936
T500,CCHIHH-full,CCHIHH-noCC,3,0.02531,0.0445433
T500,CCHIHH-full,CCHIHH-noCC,4,0.0264753,0.042992
T500,CCHIHH-full,CCHIHH-noCC,5,0.0258709,0.0449355
T500,CCHIHH-full,CCHIHH-noCC,6,0.0249303,0.0431245
T500,CCHIHH-full,CCHIHH-noCC,7,0.0259156,0.0393865
T500,CCHIHH-full,CCHIHH-noCC,8,0.0250476,0.0434538
T500,CCHIHH-full,CCHIHH-noCC,9,0.0263369,0.0439895
T500,CCHIHH-full,CCHIHH-noCC,10,0.0273569,0.0417754
T500,CCHIHH-full,CCHIHH-noCB,1,0.0254842,0.0343515
T500,CCHIHH-full,CCHIHH-noCB,2,0.0277064,0.0341972
T500,CCHIHH-full,CCHIHH-noCB,3,0.02531,0.0335139
T500,CCHIHH-full,CCHIHH-noCB,4,0.0264753,0.0332945
T500,CCHIHH-full,CCHIHH-noCB,5,0.0258709,0.0345129
T500,CCHIHH-full,CCHIHH-noCB,6,0.0249303,0.0330361
T500,CCHIHH-full,CCHIHH-noCB,7,0.0259156,0.0339517
T500,CCHIHH-full,CCHIHH-noCB,8,0.0250476,0.0331807
T500,CCHIHH-full,CCHIHH-noCB,9,0.0263369,0.033824
T500,CCHIHH-full,CCHIHH-noCB,10,0.0273569,0.0338261
T500,CCHIHH-full,CCHIHH-noMig,1,0.0254842,0.0345692
T500,CCHIHH-full,CCHIHH-noMig,2,0.0277064,0.0388982
T500,CCHIHH-full,CCHIHH-noMig,3,0.02531,0.0305052
T500,CCHIHH-full,CCHIHH-noMig,4,0.0264753,0.0355795
T500,CCHIHH-full,CCHIHH-noMig,5,0.0258709,0.0382108
T500,CCHIHH-full,CCHIHH-noMig,6,0.0249303,0.0417196
T500,CCHIHH-full,CCHIHH-noMig,7,0.0259156,0.0373108
T500,CCHIHH-full,CCHIHH-noMig,8,0.0250476,0.0394205
T500,CCHIHH-full,CCHIHH-noMig,9,0.0263369,0.0422398
T500,CCHIHH-full,CCHIHH-noMig,10,0.0273569,0.037068
T500,CCHIHH-full,Gbest-DE,1,0.0254842,0.0252239
T500,CCHIHH-full,Gbest-DE,2,0.0277064,0.026603
T500,CCHIHH-full,Gbest-DE,3,0.02531,0.0255127
T500,CCHIHH-full,Gbest-DE,4,0.0264753,0.0261824
T500,CCHIHH-full,Gbest-DE,5,0.0258709,0.0260256
T500,CCHIHH-full,Gbest-DE,6,0.0249303,0.0265346
T500,CCHIHH-full,Gbest-DE,7,0.0259156,0.0263846
T500,CCHIHH-full,Gbest-DE,8,0.0250476,0.0257057
T500,CCHIHH-full,Gbest-DE,9,0.0263369,0.0263575
T500,CCHIHH-full,Gbest-DE,10,0.0273569,0.0254769
T500,CCHIHH-full,CGA,1,0.0254842,0.0397316
T500,CCHIHH-full,CGA,2,0.0277064,0.0379143
T500,CCHIHH-full,CGA,3,0.02531,0.0380346
T500,CCHIHH-full,CGA,4,0.0264753,0.0390265
T500,CCHIHH-full,CGA,5,0.0258709,0.0403465
T500,CCHIHH-full,CGA,6,0.0249303,0.040613
T500,CCHIHH-full,CGA,7,0.0259156,0.0394237
T500,CCHIHH-full,CGA,8,0.0250476,0.0392228
T500,CCHIHH-full,CGA,9,0.0263369,0.0390937
T500,CCHIHH-full,CGA,10,0.0273569,0.0387272
T500,CCHIHH-full,IMOMA,1,0.0254842,0.0468562
T500,CCHIHH-full,IMOMA,2,0.0277064,0.0462214
T500,CCHIHH-full,IMOMA,3,0.02531,0.0464914
T500,CCHIHH-full,IMOMA,4,0.0264753,0.047312
T500,CCHIHH-full,IMOMA,5,0.0258709,0.0451264
T500,CCHIHH-full,IMOMA,6,0.0249303,0.0464004
T500,CCHIHH-full,IMOMA,7,0.0259156,0.046926
T500,CCHIHH-full,IMOMA,8,0.0250476,0.0447715
T500,CCHIHH-full,IMOMA,9,0.0263369,0.0496032
T500,CCHIHH-full,IMOMA,10,0.0273569,0.045308
T500,CCHIHH-full,PPO,1,0.0254842,0.0544336156
T500,CCHIHH-full,PPO,2,0.0277064,0.0558709341
T500,CCHIHH-full,PPO,3,0.02531,0.0535251925
T500,CCHIHH-full,PPO,4,0.0264753,0.0564307399
T500,CCHIHH-full,PPO,5,0.0258709,0.0556132253
T500,CCHIHH-full,PPO,6,0.0249303,0.0561296131
T500,CCHIHH-full,PPO,7,0.0259156,0.0440594456
T500,CCHIHH-full,PPO,8,0.0250476,0.0442141299
T500,CCHIHH-full,PPO,9,0.0263369,0.1085919457
T500,CCHIHH-full,PPO,10,0.0273569,0.046271507
T500,CCHIHH-full,DSAC-DE,1,0.0254842,0.0345515
T500,CCHIHH-full,DSAC-DE,2,0.0277064,0.0339971
T500,CCHIHH-full,DSAC-DE,3,0.02531,0.0352364
T500,CCHIHH-full,DSAC-DE,4,0.0264753,0.0333656
T500,CCHIHH-full,DSAC-DE,5,0.0258709,0.0354376
T500,CCHIHH-full,DSAC-DE,6,0.0249303,0.0337935
T500,CCHIHH-full,DSAC-DE,7,0.0259156,0.0332587
T500,CCHIHH-full,DSAC-DE,8,0.0250476,0.0350086
T500,CCHIHH-full,DSAC-DE,9,0.0263369,0.0751695
T500,CCHIHH-full,DSAC-DE,10,0.0273569,0.0349028
T500,CCHIHH-noCC,CCHIHH-noCB,1,0.0431578,0.0343515
T500,CCHIHH-noCC,CCHIHH-noCB,2,0.0470936,0.0341972
T500,CCHIHH-noCC,CCHIHH-noCB,3,0.0445433,0.0335139
T500,CCHIHH-noCC,CCHIHH-noCB,4,0.042992,0.0332945
T500,CCHIHH-noCC,CCHIHH-noCB,5,0.0449355,0.0345129
T500,CCHIHH-noCC,CCHIHH-noCB,6,0.0431245,0.0330361
T500,CCHIHH-noCC,CCHIHH-noCB,7,0.0393865,0.0339517
T500,CCHIHH-noCC,CCHIHH-noCB,8,0.0434538,0.0331807
T500,CCHIHH-noCC,CCHIHH-noCB,9,0.0439895,0.033824
T500,CCHIHH-noCC,CCHIHH-noCB,10,0.0417754,0.0338261
T500,CCHIHH-noCC,CCHIHH-noMig,1,0.0431578,0.0345692
T500,CCHIHH-noCC,CCHIHH-noMig,2,0.0470936,0.0388982
T500,CCHIHH-noCC,CCHIHH-noMig,3,0.0445433,0.0305052
T500,CCHIHH-noCC,CCHIHH-noMig,4,0.042992,0.0355795
T500,CCHIHH-noCC,CCHIHH-noMig,5,0.0449355,0.0382108
T500,CCHIHH-noCC,CCHIHH-noMig,6,0.0431245,0.0417196
T500,CCHIHH-noCC,CCHIHH-noMig,7,0.0393865,0.0373108
T500,CCHIHH-noCC,CCHIHH-noMig,8,0.0434538,0.0394205
T500,CCHIHH-noCC,CCHIHH-noMig,9,0.0439895,0.0422398
T500,CCHIHH-noCC,CCHIHH-noMig,10,0.0417754,0.037068
T500,CCHIHH-noCC,Gbest-DE,1,0.0431578,0.0252239
T500,CCHIHH-noCC,Gbest-DE,2,0.0470936,0.026603
T500,CCHIHH-noCC,Gbest-DE,3,0.0445433,0.0255127
T500,CCHIHH-noCC,Gbest-DE,4,0.042992,0.0261824
T500,CCHIHH-noCC,Gbest-DE,5,0.0449355,0.0260256
T500,CCHIHH-noCC,Gbest-DE,6,0.0431245,0.0265346
T500,CCHIHH-noCC,Gbest-DE,7,0.0393865,0.0263846
T500,CCHIHH-noCC,Gbest-DE,8,0.0434538,0.0257057
T500,CCHIHH-noCC,Gbest-DE,9,0.0439895,0.0263575
T500,CCHIHH-noCC,Gbest-DE,10,0.0417754,0.0254769
T500,CCHIHH-noCC,CGA,1,0.0431578,0.0397316
T500,CCHIHH-noCC,CGA,2,0.0470936,0.0379143
T500,CCHIHH-noCC,CGA,3,0.0445433,0.0380346
T500,CCHIHH-noCC,CGA,4,0.042992,0.0390265
T500,CCHIHH-noCC,CGA,5,0.0449355,0.0403465
T500,CCHIHH-noCC,CGA,6,0.0431245,0.040613
T500,CCHIHH-noCC,CGA,7,0.0393865,0.0394237
T500,CCHIHH-noCC,CGA,8,0.0434538,0.0392228
T500,CCHIHH-noCC,CGA,9,0.0439895,0.0390937
T500,CCHIHH-noCC,CGA,10,0.0417754,0.0387272
T500,CCHIHH-noCC,IMOMA,1,0.0431578,0.0468562
T500,CCHIHH-noCC,IMOMA,2,0.0470936,0.0462214
T500,CCHIHH-noCC,IMOMA,3,0.0445433,0.0464914
T500,CCHIHH-noCC,IMOMA,4,0.042992,0.047312
T500,CCHIHH-noCC,IMOMA,5,0.0449355,0.0451264
T500,CCHIHH-noCC,IMOMA,6,0.0431245,0.0464004
T500,CCHIHH-noCC,IMOMA,7,0.0393865,0.046926
T500,CCHIHH-noCC,IMOMA,8,0.0434538,0.0447715
T500,CCHIHH-noCC,IMOMA,9,0.0439895,0.0496032
T500,CCHIHH-noCC,IMOMA,10,0.0417754,0.045308
T500,CCHIHH-noCC,PPO,1,0.0431578,0.0544336156
T500,CCHIHH-noCC,PPO,2,0.0470936,0.0558709341
T500,CCHIHH-noCC,PPO,3,0.0445433,0.0535251925
T500,CCHIHH-noCC,PPO,4,0.042992,0.0564307399
T500,CCHIHH-noCC,PPO,5,0.0449355,0.0556132253
T500,CCHIHH-noCC,PPO,6,0.0431245,0.0561296131
T500,CCHIHH-noCC,PPO,7,0.0393865,0.0440594456
T500,CCHIHH-noCC,PPO,8,0.0434538,0.0442141299
T500,CCHIHH-noCC,PPO,9,0.0439895,0.1085919457
T500,CCHIHH-noCC,PPO,10,0.0417754,0.046271507
T500,CCHIHH-noCC,DSAC-DE,1,0.0431578,0.0345515
T500,CCHIHH-noCC,DSAC-DE,2,0.0470936,0.0339971
T500,CCHIHH-noCC,DSAC-DE,3,0.0445433,0.0352364
T500,CCHIHH-noCC,DSAC-DE,4,0.042992,0.0333656
T500,CCHIHH-noCC,DSAC-DE,5,0.0449355,0.0354376
T500,CCHIHH-noCC,DSAC-DE,6,0.0431245,0.0337935
T500,CCHIHH-noCC,DSAC-DE,7,0.0393865,0.0332587
T500,CCHIHH-noCC,DSAC-DE,8,0.0434538,0.0350086
T500,CCHIHH-noCC,DSAC-DE,9,0.0439895,0.0751695
T500,CCHIHH-noCC,DSAC-DE,10,0.0417754,0.0349028
T500,CCHIHH-noCB,CCHIHH-noMig,1,0.0343515,0.0345692
T500,CCHIHH-noCB,CCHIHH-noMig,2,0.0341972,0.0388982
T500,CCHIHH-noCB,CCHIHH-noMig,3,0.0335139,0.0305052
T500,CCHIHH-noCB,CCHIHH-noMig,4,0.0332945,0.0355795
T500,CCHIHH-noCB,CCHIHH-noMig,5,0.0345129,0.0382108
T500,CCHIHH-noCB,CCHIHH-noMig,6,0.0330361,0.0417196
T500,CCHIHH-noCB,CCHIHH-noMig,7,0.0339517,0.0373108
T500,CCHIHH-noCB,CCHIHH-noMig,8,0.0331807,0.0394205
T500,CCHIHH-noCB,CCHIHH-noMig,9,0.033824,0.0422398
T500,CCHIHH-noCB,CCHIHH-noMig,10,0.0338261,0.037068
T500,CCHIHH-noCB,Gbest-DE,1,0.0343515,0.0252239
T500,CCHIHH-noCB,Gbest-DE,2,0.0341972,0.026603
T500,CCHIHH-noCB,Gbest-DE,3,0.0335139,0.0255127
T500,CCHIHH-noCB,Gbest-DE,4,0.0332945,0.0261824
T500,CCHIHH-noCB,Gbest-DE,5,0.0345129,0.0260256
T500,CCHIHH-noCB,Gbest-DE,6,0.0330361,0.0265346
T500,CCHIHH-noCB,Gbest-DE,7,0.0339517,0.0263846
T500,CCHIHH-noCB,Gbest-DE,8,0.0331807,0.0257057
T500,CCHIHH-noCB,Gbest-DE,9,0.033824,0.0263575
T500,CCHIHH-noCB,Gbest-DE,10,0.0338261,0.0254769
T500,CCHIHH-noCB,CGA,1,0.0343515,0.0397316
T500,CCHIHH-noCB,CGA,2,0.0341972,0.0379143
T500,CCHIHH-noCB,CGA,3,0.0335139,0.0380346
T500,CCHIHH-noCB,CGA,4,0.0332945,0.0390265
T500,CCHIHH-noCB,CGA,5,0.0345129,0.0403465
T500,CCHIHH-noCB,CGA,6,0.0330361,0.040613
T500,CCHIHH-noCB,CGA,7,0.0339517,0.0394237
T500,CCHIHH-noCB,CGA,8,0.0331807,0.0392228
T500,CCHIHH-noCB,CGA,9,0.033824,0.0390937
T500,CCHIHH-noCB,CGA,10,0.0338261,0.0387272
T500,CCHIHH-noCB,IMOMA,1,0.0343515,0.0468562
T500,CCHIHH-noCB,IMOMA,2,0.0341972,0.0462214
T500,CCHIHH-noCB,IMOMA,3,0.0335139,0.0464914
T500,CCHIHH-noCB,IMOMA,4,0.0332945,0.047312
T500,CCHIHH-noCB,IMOMA,5,0.0345129,0.0451264
T500,CCHIHH-noCB,IMOMA,6,0.0330361,0.0464004
T500,CCHIHH-noCB,IMOMA,7,0.0339517,0.046926
T500,CCHIHH-noCB,IMOMA,8,0.0331807,0.0447715
T500,CCHIHH-noCB,IMOMA,9,0.033824,0.0496032
T500,CCHIHH-noCB,IMOMA,10,0.0338261,0.045308
T500,CCHIHH-noCB,PPO,1,0.0343515,0.0544336156
T500,CCHIHH-noCB,PPO,2,0.0341972,0.0558709341
T500,CCHIHH-noCB,PPO,3,0.0335139,0.0535251925
T500,CCHIHH-noCB,PPO,4,0.0332945,0.0564307399
T500,CCHIHH-noCB,PPO,5,0.0345129,0.0556132253
T500,CCHIHH-noCB,PPO,6,0.0330361,0.0561296131
T500,CCHIHH-noCB,PPO,7,0.0339517,0.0440594456
T500,CCHIHH-noCB,PPO,8,0.0331807,0.0442141299
T500,CCHIHH-noCB,PPO,9,0.033824,0.1085919457
T500,CCHIHH-noCB,PPO,10,0.0338261,0.046271507
T500,CCHIHH-noCB,DSAC-DE,1,0.0343515,0.0345515
T500,CCHIHH-noCB,DSAC-DE,2,0.0341972,0.0339971
T500,CCHIHH-noCB,DSAC-DE,3,0.0335139,0.0352364
T500,CCHIHH-noCB,DSAC-DE,4,0.0332945,0.0333656
T500,CCHIHH-noCB,DSAC-DE,5,0.0345129,0.0354376
T500,CCHIHH-noCB,DSAC-DE,6,0.0330361,0.0337935
T500,CCHIHH-noCB,DSAC-DE,7,0.0339517,0.0332587
T500,CCHIHH-noCB,DSAC-DE,8,0.0331807,0.0350086
T500,CCHIHH-noCB,DSAC-DE,9,0.033824,0.0751695
T500,CCHIHH-noCB,DSAC-DE,10,0.0338261,0.0349028
T500,CCHIHH-noMig,Gbest-DE,1,0.0345692,0.0252239
T500,CCHIHH-noMig,Gbest-DE,2,0.0388982,0.026603
T500,CCHIHH-noMig,Gbest-DE,3,0.0305052,0.0255127
T500,CCHIHH-noMig,Gbest-DE,4,0.0355795,0.0261824
T500,CCHIHH-noMig,Gbest-DE,5,0.0382108,0.0260256
T500,CCHIHH-noMig,Gbest-DE,6,0.0417196,0.0265346
T500,CCHIHH-noMig,Gbest-DE,7,0.0373108,0.0263846
T500,CCHIHH-noMig,Gbest-DE,8,0.0394205,0.0257057
T500,CCHIHH-noMig,Gbest-DE,9,0.0422398,0.0263575
T500,CCHIHH-noMig,Gbest-DE,10,0.037068,0.0254769
T500,CCHIHH-noMig,CGA,1,0.0345692,0.0397316
T500,CCHIHH-noMig,CGA,2,0.0388982,0.0379143
T500,CCHIHH-noMig,CGA,3,0.0305052,0.0380346
T500,CCHIHH-noMig,CGA,4,0.0355795,0.0390265
T500,CCHIHH-noMig,CGA,5,0.0382108,0.0403465
T500,CCHIHH-noMig,CGA,6,0.0417196,0.040613
T500,CCHIHH-noMig,CGA,7,0.0373108,0.0394237
T500,CCHIHH-noMig,CGA,8,0.0394205,0.0392228
T500,CCHIHH-noMig,CGA,9,0.0422398,0.0390937
T500,CCHIHH-noMig,CGA,10,0.037068,0.0387272
T500,CCHIHH-noMig,IMOMA,1,0.0345692,0.0468562
T500,CCHIHH-noMig,IMOMA,2,0.0388982,0.0462214
T500,CCHIHH-noMig,IMOMA,3,0.0305052,0.0464914
T500,CCHIHH-noMig,IMOMA,4,0.0355795,0.047312
T500,CCHIHH-noMig,IMOMA,5,0.0382108,0.0451264
T500,CCHIHH-noMig,IMOMA,6,0.0417196,0.0464004
T500,CCHIHH-noMig,IMOMA,7,0.0373108,0.046926
T500,CCHIHH-noMig,IMOMA,8,0.0394205,0.0447715
T500,CCHIHH-noMig,IMOMA,9,0.0422398,0.0496032
T500,CCHIHH-noMig,IMOMA,10,0.037068,0.045308
T500,CCHIHH-noMig,PPO,1,0.0345692,0.0544336156
T500,CCHIHH-noMig,PPO,2,0.0388982,0.0558709341
T500,CCHIHH-noMig,PPO,3,0.0305052,0.0535251925
T500,CCHIHH-noMig,PPO,4,0.0355795,0.0564307399
T500,CCHIHH-noMig,PPO,5,0.0382108,0.0556132253
T500,CCHIHH-noMig,PPO,6,0.0417196,0.0561296131
T500,CCHIHH-noMig,PPO,7,0.0373108,0.0440594456
T500,CCHIHH-noMig,PPO,8,0.0394205,0.0442141299
T500,CCHIHH-noMig,PPO,9,0.0422398,0.1085919457
T500,CCHIHH-noMig,PPO,10,0.037068,0.046271507
T500,CCHIHH-noMig,DSAC-DE,1,0.0345692,0.0345515
T500,CCHIHH-noMig,DSAC-DE,2,0.0388982,0.0339971
T500,CCHIHH-noMig,DSAC-DE,3,0.0305052,0.0352364
T500,CCHIHH-noMig,DSAC-DE,4,0.0355795,0.0333656
T500,CCHIHH-noMig,DSAC-DE,5,0.0382108,0.0354376
T500,CCHIHH-noMig,DSAC-DE,6,0.0417196,0.0337935
T500,CCHIHH-noMig,DSAC-DE,7,0.0373108,0.0332587
T500,CCHIHH-noMig,DSAC-DE,8,0.0394205,0.0350086
T500,CCHIHH-noMig,DSAC-DE,9,0.0422398,0.0751695
T500,CCHIHH-noMig,DSAC-DE,10,0.037068,0.0349028
T500,Gbest-DE,CGA,1,0.0252239,0.0397316
T500,Gbest-DE,CGA,2,0.026603,0.0379143
T500,Gbest-DE,CGA,3,0.0255127,0.0380346
T500,Gbest-DE,CGA,4,0.0261824,0.0390265
T500,Gbest-DE,CGA,5,0.0260256,0.0403465
T500,Gbest-DE,CGA,6,0.0265346,0.040613
T500,Gbest-DE,CGA,7,0.0263846,0.0394237
T500,Gbest-DE,CGA,8,0.0257057,0.0392228
T500,Gbest-DE,CGA,9,0.0263575,0.0390937
T500,Gbest-DE,CGA,10,0.0254769,0.0387272
T500,Gbest-DE,IMOMA,1,0.0252239,0.0468562
T500,Gbest-DE,IMOMA,2,0.026603,0.0462214
T500,Gbest-DE,IMOMA,3,0.0255127,0.0464914
T500,Gbest-DE,IMOMA,4,0.0261824,0.047312
T500,Gbest-DE,IMOMA,5,0.0260256,0.0451264
T500,Gbest-DE,IMOMA,6,0.0265346,0.0464004
T500,Gbest-DE,IMOMA,7,0.0263846,0.046926
T500,Gbest-DE,IMOMA,8,0.0257057,0.0447715
T500,Gbest-DE,IMOMA,9,0.0263575,0.0496032
T500,Gbest-DE,IMOMA,10,0.0254769,0.045308
T500,Gbest-DE,PPO,1,0.0252239,0.0544336156
T500,Gbest-DE,PPO,2,0.026603,0.0558709341
T500,Gbest-DE,PPO,3,0.0255127,0.0535251925
T500,Gbest-DE,PPO,4,0.0261824,0.0564307399
T500,Gbest-DE,PPO,5,0.0260256,0.0556132253
T500,Gbest-DE,PPO,6,0.0265346,0.0561296131
T500,Gbest-DE,PPO,7,0.0263846,0.0440594456
T500,Gbest-DE,PPO,8,0.0257057,0.0442141299
T500,Gbest-DE,PPO,9,0.0263575,0.1085919457
T500,Gbest-DE,PPO,10,0.0254769,0.046271507
T500,Gbest-DE,DSAC-DE,1,0.0252239,0.0345515
T500,Gbest-DE,DSAC-DE,2,0.026603,0.0339971
T500,Gbest-DE,DSAC-DE,3,0.0255127,0.0352364
T500,Gbest-DE,DSAC-DE,4,0.0261824,0.0333656
T500,Gbest-DE,DSAC-DE,5,0.0260256,0.0354376
T500,Gbest-DE,DSAC-DE,6,0.0265346,0.0337935
T500,Gbest-DE,DSAC-DE,7,0.0263846,0.0332587
T500,Gbest-DE,DSAC-DE,8,0.0257057,0.0350086
T500,Gbest-DE,DSAC-DE,9,0.0263575,0.0751695
T500,Gbest-DE,DSAC-DE,10,0.0254769,0.0349028
T500,CGA,IMOMA,1,0.0397316,0.0468562
T500,CGA,IMOMA,2,0.0379143,0.0462214
T500,CGA,IMOMA,3,0.0380346,0.0464914
T500,CGA,IMOMA,4,0.0390265,0.047312
T500,CGA,IMOMA,5,0.0403465,0.0451264
T500,CGA,IMOMA,6,0.040613,0.0464004
T500,CGA,IMOMA,7,0.0394237,0.046926
T500,CGA,IMOMA,8,0.0392228,0.0447715
T500,CGA,IMOMA,9,0.0390937,0.0496032
T500,CGA,IMOMA,10,0.0387272,0.045308
T500,CGA,PPO,1,0.0397316,0.0544336156
T500,CGA,PPO,2,0.0379143,0.0558709341
T500,CGA,PPO,3,0.0380346,0.0535251925
T500,CGA,PPO,4,0.0390265,0.0564307399
T500,CGA,PPO,5,0.0403465,0.0556132253
T500,CGA,PPO,6,0.040613,0.0561296131
T500,CGA,PPO,7,0.0394237,0.0440594456
T500,CGA,PPO,8,0.0392228,0.0442141299
T500,CGA,PPO,9,0.0390937,0.1085919457
T500,CGA,PPO,10,0.0387272,0.046271507
T500,CGA,DSAC-DE,1,0.0397316,0.0345515
T500,CGA,DSAC-DE,2,0.0379143,0.0339971
T500,CGA,DSAC-DE,3,0.0380346,0.0352364
T500,CGA,DSAC-DE,4,0.0390265,0.0333656
T500,CGA,DSAC-DE,5,0.0403465,0.0354376
T500,CGA,DSAC-DE,6,0.040613,0.0337935
T500,CGA,DSAC-DE,7,0.0394237,0.0332587
T500,CGA,DSAC-DE,8,0.0392228,0.0350086
T500,CGA,DSAC-DE,9,0.0390937,0.0751695
T500,CGA,DSAC-DE,10,0.0387272,0.0349028
T500,IMOMA,PPO,1,0.0468562,0.0544336156
T500,IMOMA,PPO,2,0.0462214,0.0558709341
T500,IMOMA,PPO,3,0.0464914,0.0535251925
T500,IMOMA,PPO,4,0.047312,0.0564307399
T500,IMOMA,PPO,5,0.0451264,0.0556132253
T500,IMOMA,PPO,6,0.0464004,0.0561296131
T500,IMOMA,PPO,7,0.046926,0.0440594456
T500,IMOMA,PPO,8,0.0447715,0.0442141299
T500,IMOMA,PPO,9,0.0496032,0.1085919457
T500,IMOMA,PPO,10,0.045308,0.046271507
T500,IMOMA,DSAC-DE,1,0.0468562,0.0345515
T500,IMOMA,DSAC-DE,2,0.0462214,0.0339971
T500,IMOMA,DSAC-DE,3,0.0464914,0.0352364
T500,IMOMA,DSAC-DE,4,0.047312,0.0333656
T500,IMOMA,DSAC-DE,5,0.0451264,0.0354376
T500,IMOMA,DSAC-DE,6,0.0464004,0.0337935
T500,IMOMA,DSAC-DE,7,0.046926,0.0332587
T500,IMOMA,DSAC-DE,8,0.0447715,0.0350086
T500,IMOMA,DSAC-DE,9,0.0496032,0.0751695
T500,IMOMA,DSAC-DE,10,0.045308,0.0349028
T500,PPO,DSAC-DE,1,0.0544336156,0.0345515
T500,PPO,DSAC-DE,2,0.0558709341,0.0339971
T500,PPO,DSAC-DE,3,0.0535251925,0.0352364
T500,PPO,DSAC-DE,4,0.0564307399,0.0333656
T500,PPO,DSAC-DE,5,0.0556132253,0.0354376
T500,PPO,DSAC-DE,6,0.0561296131,0.0337935
T500,PPO,DSAC-DE,7,0.0440594456,0.0332587
