problem,run,generation_window,block,operator,selection_count,selection_probability
T500,2,4000-4050,dev,RESAMPLE,1,0.0025
T500,2,4050-4100,offload,GA,220,0.55
T500,2,4050-4100,offload,DE,172,0.43
T500,2,4050-4100,offload,BITFLIP,8,0.02
T500,2,4050-4100,offload,RESAMPLE,0,0.0
T500,2,4050-4100,seq,GA,204,0.51
T500,2,4050-4100,seq,SWAP,150,0.375
T500,2,4050-4100,seq,VNS,46,0.115
T500,2,4050-4100,seq,RESAMPLE,0,0.0
T500,2,4050-4100,dev,DE,287,0.7175
T500,2,4050-4100,dev,GDE,98,0.245
T500,2,4050-4100,dev,LEVY,15,0.0375
T500,2,4050-4100,dev,RESAMPLE,0,0.0
T500,2,4100-4150,offload,GA,191,0.4775
T500,2,4100-4150,offload,DE,205,0.5125
T500,2,4100-4150,offload,BITFLIP,3,0.0075
T500,2,4100-4150,offload,RESAMPLE,1,0.0025
T500,2,4100-4150,seq,GA,254,0.635
T500,2,4100-4150,seq,SWAP,123,0.3075
T500,2,4100-4150,seq,VNS,23,0.0575
T500,2,4100-4150,seq,RESAMPLE,0,0.0
T500,2,4100-4150,dev,DE,288,0.72
T500,2,4100-4150,dev,GDE,105,0.2625
T500,2,4100-4150,dev,LEVY,7,0.0175
T500,2,4100-4150,dev,RESAMPLE,0,0.0
T500,2,4150-4200,offload,GA,166,0.415
T500,2,4150-4200,offload,DE,231,0.5775
T500,2,4150-4200,offload,BITFLIP,2,0.005
T500,2,4150-4200,offload,RESAMPLE,1,0.0025
T500,2,4150-4200,seq,GA,307,0.7675
T500,2,4150-4200,seq,SWAP,80,0.2
T500,2,4150-4200,seq,VNS,7,0.0175
T500,2,4150-4200,seq,RESAMPLE,6,0.015
T500,2,4150-4200,dev,DE,328,0.82
T500,2,4150-4200,dev,GDE,69,0.1725
T500,2,4150-4200,dev,LEVY,2,0.005
T500,2,4150-4200,dev,RESAMPLE,1,0.0025
T500,2,4200-4250,offload,GA,239,0.5975
T500,2,4200-4250,offload,DE,159,0.3975
T500,2,4200-4250,offload,BITFLIP,2,0.005
T500,2,4200-4250,offload,RESAMPLE,0,0.0
T500,2,4200-4250,seq,GA,228,0.57
T500,2,4200-4250,seq,SWAP,144,0.36
T500,2,4200-4250,seq,VNS,27,0.0675
T500,2,4200-4250,seq,RESAMPLE,1,0.0025
T500,2,4200-4250,dev,DE,228,0.57
T500,2,4200-4250,dev,GDE,159,0.3975
T500,2,4200-4250,dev,LEVY,13,0.0325
T500,2,4200-4250,dev,RESAMPLE,0,0.0
T500,2,4250-4300,offload,GA,242,0.605
T500,2,4250-4300,offload,DE,156,0.39
T500,2,4250-4300,offload,BITFLIP,2,0.005
T500,2,4250-4300,offload,RESAMPLE,0,0.0
T500,2,4250-4300,seq,GA,147,0.3675
T500,2,4250-4300,seq,SWAP,216,0.54
T500,2,4250-4300,seq,VNS,36,0.09
T500,2,4250-4300,seq,RESAMPLE,1,0.0025
T500,2,4250-4300,dev,DE,257,0.6425
T500,2,4250-4300,dev,GDE,137,0.3425
T500,2,4250-4300,dev,LEVY,6,0.015
T500,2,4250-4300,dev,RESAMPLE,0,0.0
T500,2,4300-4350,offload,GA,258,0.645
T500,2,4300-4350,offload,DE,140,0.35
T500,2,4300-4350,offload,BITFLIP,2,0.005
T500,2,4300-4350,offload,RESAMPLE,0,0.0
T500,2,4300-4350,seq,GA,231,0.5775
T500,2,4300-4350,seq,SWAP,152,0.38
T500,2,4300-4350,seq,VNS,17,0.0425
T500,2,4300-4350,seq,RESAMPLE,0,0.0
T500,2,4300-4350,dev,DE,187,0.4675
T500,2,4300-4350,dev,GDE,190,0.475
T500,2,4300-4350,dev,LEVY,23,0.0575
T500,2,4300-4350,dev,RESAMPLE,0,0.0
T500,2,4350-4400,offload,GA,193,0.4825
T500,2,4350-4400,offload,DE,193,0.4825
T500,2,4350-4400,offload,BITFLIP,14,0.035
T500,2,4350-4400,offload,RESAMPLE,0,0.0
T500,2,4350-4400,seq,GA,230,0.575
T500,2,4350-4400,seq,SWAP,153,0.3825
T500,2,4350-4400,seq,VNS,17,0.0425
T500,2,4350-4400,seq,RESAMPLE,0,0.0
T500,2,4350-4400,dev,DE,299,0.7475
T500,2,4350-4400,dev,GDE,89,0.2225
T500,2,4350-4400,dev,LEVY,12,0.03
T500,2,4350-4400,dev,RESAMPLE,0,0.0
T500,2,4400-4450,offload,GA,108,0.27
T500,2,4400-4450,offload,DE,291,0.7275
T500,2,4400-4450,offload,BITFLIP,1,0.0025
T500,2,4400-4450,offload,RESAMPLE,0,0.0
T500,2,4400-4450,seq,GA,393,0.9825
T500,2,4400-4450,seq,SWAP,1,0.0025
T500,2,4400-4450,seq,VNS,2,0.005
T500,2,4400-4450,seq,RESAMPLE,4,0.01
T500,2,4400-4450,dev,DE,383,0.9575
T500,2,4400-4450,dev,GDE,14,0.035
T500,2,4400-4450,dev,LEVY,2,0.005
T500,2,4400-4450,dev,RESAMPLE,1,0.0025
T500,2,4450-4500,offload,GA,102,0.255
T500,2,4450-4500,offload,DE,296,0.74
T500,2,4450-4500,offload,BITFLIP,1,0.0025
T500,2,4450-4500,offload,RESAMPLE,1,0.0025
T500,2,4450-4500,seq,GA,397,0.9925
T500,2,4450-4500,seq,SWAP,0,0.0
T500,2,4450-4500,seq,VNS,2,0.005
T500,2,4450-4500,seq,RESAMPLE,1,0.0025
T500,2,4450-4500,dev,DE,392,0.98
T500,2,4450-4500,dev,GDE,3,0.0075
T500,2,4450-4500,dev,LEVY,1,0.0025
T500,2,4450-4500,dev,RESAMPLE,4,0.01
T500,2,4500-4550,offload,GA,105,0.2625
T500,2,4500-4550,offload,DE,288,0.72
T500,2,4500-4550,offload,BITFLIP,6,0.015
T500,2,4500-4550,offload,RESAMPLE,1,0.0025
T500,2,4500-4550,seq,GA,385,0.9625
T500,2,4500-4550,seq,SWAP,12,0.03
T500,2,4500-4550,seq,VNS,2,0.005
T500,2,4500-4550,seq,RESAMPLE,1,0.0025
T500,2,4500-4550,dev,DE,383,0.9575
T500,2,4500-4550,dev,GDE,14,0.035
T500,2,4500-4550,dev,LEVY,1,0.0025
T500,2,4500-4550,dev,RESAMPLE,2,0.005
T500,2,4550-4600,offload,GA,99,0.2475
T500,2,4550-4600,offload,DE,298,0.745
T500,2,4550-4600,offload,BITFLIP,2,0.005
T500,2,4550-4600,offload,RESAMPLE,1,0.0025
T500,2,4550-4600,seq,GA,396,0.99
T500,2,4550-4600,seq,SWAP,2,0.005
T500,2,4550-4600,seq,VNS,1,0.0025
T500,2,4550-4600,seq,RESAMPLE,1,0.0025
T500,2,4550-4600,dev,DE,397,0.9925
T500,2,4550-4600,dev,GDE,1,0.0025
T500,2,4550-4600,dev,LEVY,0,0.0
T500,2,4550-4600,dev,RESAMPLE,2,0.005
T500,2,4600-4650,offload,GA,100,0.25
T500,2,4600-4650,offload,DE,298,0.745
T500,2,4600-4650,offload,BITFLIP,0,0.0
T500,2,4600-4650,offload,RESAMPLE,2,0.005
T500,2,4600-4650,seq,GA,395,0.9875
T500,2,4600-4650,seq,SWAP,4,0.01
T500,2,4600-4650,seq,VNS,0,0.0
T500,2,4600-4650,seq,RESAMPLE,1,0.0025
T500,2,4600-4650,dev,DE,392,0.98
T500,2,4600-4650,dev,GDE,4,0.01
T500,2,4600-4650,dev,LEVY,1,0.0025
T500,2,4600-4650,dev,RESAMPLE,3,0.0075
T500,2,4650-4700,offload,GA,99,0.2475
T500,2,4650-4700,offload,DE,297,0.7425
T500,2,4650-4700,offload,BITFLIP,3,0.0075
T500,2,4650-4700,offload,RESAMPLE,1,0.0025
T500,2,4650-4700,seq,GA,395,0.9875
T500,2,4650-4700,seq,SWAP,1,0.0025
T500,2,4650-4700,seq,VNS,2,0.005
T500,2,4650-4700,seq,RESAMPLE,2,0.005
T500,2,4650-4700,dev,DE,397,0.9925
T500,2,4650-4700,dev,GDE,0,0.0
T500,2,4650-4700,dev,LEVY,1,0.0025
T500,2,4650-4700,dev,RESAMPLE,2,0.005
T500,2,4700-4750,offload,GA,101,0.2525
T500,2,4700-4750,offload,DE,295,0.7375
T500,2,4700-4750,offload,BITFLIP,2,0.005
T500,2,4700-4750,offload,RESAMPLE,2,0.005
T500,2,4700-4750,seq,GA,394,0.985
T500,2,4700-4750,seq,SWAP,2,0.005
T500,2,4700-4750,seq,VNS,3,0.0075
T500,2,4700-4750,seq,RESAMPLE,1,0.0025
T500,2,4700-4750,dev,DE,390,0.975
T500,2,4700-4750,dev,GDE,2,0.005
T500,2,4700-4750,dev,LEVY,3,0.0075
T500,2,4700-4750,dev,RESAMPLE,5,0.0125
T500,2,4750-4800,offload,GA,102,0.255
T500,2,4750-4800,offload,DE,292,0.73
T500,2,4750-4800,offload,BITFLIP,4,0.01
T500,2,4750-4800,offload,RESAMPLE,2,0.005
T500,2,4750-4800,seq,GA,399,0.9975
T500,2,4750-4800,seq,SWAP,0,0.0
T500,2,4750-4800,seq,VNS,0,0.0
T500,2,4750-4800,seq,RESAMPLE,1,0.0025
T500,2,4750-4800,dev,DE,396,0.99
T500,2,4750-4800,dev,GDE,3,0.0075
T500,2,4750-4800,dev,LEVY,0,0.0
T500,2,4750-4800,dev,RESAMPLE,1,0.0025
T500,2,4800-4850,offload,GA,109,0.2725
T500,2,4800-4850,offload,DE,287,0.7175
T500,2,4800-4850,offload,BITFLIP,3,0.0075
T500,2,4800-4850,offload,RESAMPLE,1,0.0025
T500,2,4800-4850,seq,GA,393,0.9825
T500,2,4800-4850,seq,SWAP,1,0.0025
T500,2,4800-4850,seq,VNS,2,0.005
T500,2,4800-4850,seq,RESAMPLE,4,0.01
T500,2,4800-4850,dev,DE,382,0.955
T500,2,4800-4850,dev,GDE,13,0.0325
T500,2,4800-4850,dev,LEVY,3,0.0075
T500,2,4800-4850,dev,RESAMPLE,2,0.005
T500,2,4850-4900,offload,GA,141,0.3525
T500,2,4850-4900,offload,DE,256,0.64
T500,2,4850-4900,offload,BITFLIP,2,0.005
T500,2,4850-4900,offload,RESAMPLE,1,0.0025
T500,2,4850-4900,seq,GA,353,0.8825
T500,2,4850-4900,seq,SWAP,43,0.1075
T500,2,4850-4900,seq,VNS,3,0.0075
T500,2,4850-4900,seq,RESAMPLE,1,0.0025
T500,2,4850-4900,dev,DE,372,0.93
T500,2,4850-4900,dev,GDE,24,0.06
T500,2,4850-4900,dev,LEVY,4,0.01
T500,2,4850-4900,dev,RESAMPLE,0,0.0
T500,2,4900-4950,offload,GA,156,0.39
T500,2,4900-4950,offload,DE,215,0.5375
T500,2,4900-4950,offload,BITFLIP,28,0.07
T500,2,4900-4950,offload,RESAMPLE,1,0.0025
T500,2,4900-4950,seq,GA,262,0.655
T500,2,4900-4950,seq,SWAP,108,0.27
T500,2,4900-4950,seq,VNS,28,0.07
T500,2,4900-4950,seq,RESAMPLE,2,0.005
T500,2,4900-4950,dev,DE,291,0.7275
T500,2,4900-4950,dev,GDE,96,0.24
T500,2,4900-4950,dev,LEVY,12,0.03
T500,2,4900-4950,dev,RESAMPLE,1,0.0025
T500,2,4950-5000,offload,GA,120,0.3
T500,2,4950-5000,offload,DE,278,0.695
T500,2,4950-5000,offload,BITFLIP,1,0.0025
T500,2,4950-5000,offload,RESAMPLE,1,0.0025
T500,2,4950-5000,seq,GA,382,0.955
T500,2,4950-5000,seq,SWAP,12,0.03
T500,2,4950-5000,seq,VNS,5,0.0125
T500,2,4950-5000,seq,RESAMPLE,1,0.0025
T500,2,4950-5000,dev,DE,376,0.94
T500,2,4950-5000,dev,GDE,21,0.0525
T500,2,4950-5000,dev,LEVY,2,0.005
T500,2,4950-5000,dev,RESAMPLE,1,0.0025
T500,2,5000-5050,offload,GA,153,0.3825
T500,2,5000-5050,offload,DE,240,0.6
T500,2,5000-5050,offload,BITFLIP,4,0.01
T500,2,5000-5050,offload,RESAMPLE,3,0.0075
T500,2,5000-5050,seq,GA,297,0.7425
T500,2,5000-5050,seq,SWAP,87,0.2175
T500,2,5000-5050,seq,VNS,14,0.035
T500,2,5000-5050,seq,RESAMPLE,2,0.005
T500,2,5000-5050,dev,DE,326,0.815
T500,2,5000-5050,dev,GDE,72,0.18
T500,2,5000-5050,dev,LEVY,2,0.005
T500,2,5000-5050,dev,RESAMPLE,0,0.0
T500,2,5050-5100,offload,GA,102,0.255
T500,2,5050-5100,offload,DE,292,0.73
T500,2,5050-5100,offload,BITFLIP,5,0.0125
T500,2,5050-5100,offload,RESAMPLE,1,0.0025
T500,2,5050-5100,seq,GA,386,0.965
T500,2,5050-5100,seq,SWAP,9,0.0225
T500,2,5050-5100,seq,VNS,1,0.0025
T500,2,5050-5100,seq,RESAMPLE,4,0.01
T500,2,5050-5100,dev,DE,387,0.9675
T500,2,5050-5100,dev,GDE,1,0.0025
T500,2,5050-5100,dev,LEVY,5,0.0125
T500,2,5050-5100,dev,RESAMPLE,7,0.0175
T500,2,5100-5150,offload,GA,111,0.2775
T500,2,5100-5150,offload,DE,288,0.72
T500,2,5100-5150,offload,BITFLIP,0,0.0
T500,2,5100-5150,offload,RESAMPLE,1,0.0025
T500,2,5100-5150,seq,GA,393,0.9825
T500,2,5100-5150,seq,SWAP,3,0.0075
T500,2,5100-5150,seq,VNS,3,0.0075
T500,2,5100-5150,seq,RESAMPLE,1,0.0025
T500,2,5100-5150,dev,DE,379,0.9475
T500,2,5100-5150,dev,GDE,16,0.04
T500,2,5100-5150,dev,LEVY,1,0.0025
T500,2,5100-5150,dev,RESAMPLE,4,0.01
T500,2,5150-5200,offload,GA,153,0.3825
T500,2,5150-5200,offload,DE,240,0.6
T500,2,5150-5200,offload,BITFLIP,5,0.0125
T500,2,5150-5200,offload,RESAMPLE,2,0.005
T500,2,5150-5200,seq,GA,312,0.78
T500,2,5150-5200,seq,SWAP,75,0.1875
T500,2,5150-5200,seq,VNS,12,0.03
T500,2,5150-5200,seq,RESAMPLE,1,0.0025
T500,2,5150-5200,dev,DE,327,0.8175
T500,2,5150-5200,dev,GDE,69,0.1725
T500,2,5150-5200,dev,LEVY,3,0.0075
T500,2,5150-5200,dev,RESAMPLE,1,0.0025
T500,2,5200-5250,offload,GA,100,0.25
T500,2,5200-5250,offload,DE,292,0.73
T500,2,5200-5250,offload,BITFLIP,4,0.01
T500,2,5200-5250,offload,RESAMPLE,4,0.01
T500,2,5200-5250,seq,GA,376,0.94
T500,2,5200-5250,seq,SWAP,10,0.025
T500,2,5200-5250,seq,VNS,12,0.03
T500,2,5200-5250,seq,RESAMPLE,2,0.005
T500,2,5200-5250,dev,DE,393,0.9825
T500,2,5200-5250,dev,GDE,5,0.0125
T500,2,5200-5250,dev,LEVY,1,0.0025
T500,2,5200-5250,dev,RESAMPLE,1,0.0025
T500,2,5250-5300,offload,GA,100,0.25
T500,2,5250-5300,offload,DE,295,0.7375
T500,2,5250-5300,offload,BITFLIP,2,0.005
T500,2,5250-5300,offload,RESAMPLE,3,0.0075
T500,2,5250-5300,seq,GA,396,0.99
T500,2,5250-5300,seq,SWAP,2,0.005
T500,2,5250-5300,seq,VNS,0,0.0
T500,2,5250-5300,seq,RESAMPLE,2,0.005
T500,2,5250-5300,dev,DE,396,0.99
T500,2,5250-5300,dev,GDE,1,0.0025
T500,2,5250-5300,dev,LEVY,1,0.0025
T500,2,5250-5300,dev,RESAMPLE,2,0.005
T500,2,5300-5350,offload,GA,101,0.2525
T500,2,5300-5350,offload,DE,298,0.745
T500,2,5300-5350,offload,BITFLIP,1,0.0025
T500,2,5300-5350,offload,RESAMPLE,0,0.0
T500,2,5300-5350,seq,GA,394,0.985
T500,2,5300-5350,seq,SWAP,2,0.005
T500,2,5300-5350,seq,VNS,2,0.005
T500,2,5300-5350,seq,RESAMPLE,2,0.005
T500,2,5300-5350,dev,DE,395,0.9875
T500,2,5300-5350,dev,GDE,1,0.0025
T500,2,5300-5350,dev,LEVY,1,0.0025
T500,2,5300-5350,dev,RESAMPLE,3,0.0075
T500,2,5350-5400,offload,GA,114,0.285
T500,2,5350-5400,offload,DE,279,0.6975
T500,2,5350-5400,offload,BITFLIP,3,0.0075
T500,2,5350-5400,offload,RESAMPLE,4,0.01
T500,2,5350-5400,seq,GA,378,0.945
T500,2,5350-5400,seq,SWAP,16,0.04
T500,2,5350-5400,seq,VNS,4,0.01
T500,2,5350-5400,seq,RESAMPLE,2,0.005
T500,2,5350-5400,dev,DE,384,0.96
T500,2,5350-5400,dev,GDE,14,0.035
T500,2,5350-5400,dev,LEVY,2,0.005
T500,2,5350-5400,dev,RESAMPLE,0,0.0
T500,2,5400-5450,offload,GA,120,0.3
T500,2,5400-5450,offload,DE,278,0.695
T500,2,5400-5450,offload,BITFLIP,2,0.005
T500,2,5400-5450,offload,RESAMPLE,0,0.0
T500,2,5400-5450,seq,GA,371,0.9275
T500,2,5400-5450,seq,SWAP,23,0.0575
T500,2,5400-5450,seq,VNS,2,0.005
T500,2,5400-5450,seq,RESAMPLE,4,0.01
T500,2,5400-5450,dev,DE,373,0.9325
T500,2,5400-5450,dev,GDE,25,0.0625
T500,2,5400-5450,dev,LEVY,1,0.0025
T500,2,5400-5450,dev,RESAMPLE,1,0.0025
T500,2,5450-5500,offload,GA,159,0.3975
T500,2,5450-5500,offload,DE,240,0.6
T500,2,5450-5500,offload,BITFLIP,1,0.0025
T500,2,5450-5500,offload,RESAMPLE,0,0.0
T500,2,5450-5500,seq,GA,311,0.7775
T500,2,5450-5500,seq,SWAP,81,0.2025
T500,2,5450-5500,seq,VNS,8,0.02
T500,2,5450-5500,seq,RESAMPLE,0,0.0
T500,2,5450-5500,dev,DE,358,0.895
T500,2,5450-5500,dev,GDE,41,0.1025
T500,2,5450-5500,dev,LEVY,1,0.0025
T500,2,5450-5500,dev,RESAMPLE,0,0.0
T500,2,5500-5550,offload,GA,131,0.3275
T500,2,5500-5550,offload,DE,264,0.66
T500,2,5500-5550,offload,BITFLIP,4,0.01
T500,2,5500-5550,offload,RESAMPLE,1,0.0025
T500,2,5500-5550,seq,GA,353,0.8825
T500,2,5500-5550,seq,SWAP,44,0.11
T500,2,5500-5550,seq,VNS,3,0.0075
T500,2,5500-5550,seq,RESAMPLE,0,0.0
T500,2,5500-5550,dev,DE,376,0.94
T500,2,5500-5550,dev,GDE,20,0.05
T500,2,5500-5550,dev,LEVY,3,0.0075
T500,2,5500-5550,dev,RESAMPLE,1,0.0025
T500,2,5550-5600,offload,GA,102,0.255
T500,2,5550-5600,offload,DE,293,0.7325
T500,2,5550-5600,offload,BITFLIP,3,0.0075
T500,2,5550-5600,offload,RESAMPLE,2,0.005
T500,2,5550-5600,seq,GA,380,0.95
T500,2,5550-5600,seq,SWAP,19,0.0475
T500,2,5550-5600,seq,VNS,0,0.0
T500,2,5550-5600,seq,RESAMPLE,1,0.0025
T500,2,5550-5600,dev,DE,393,0.9825
T500,2,5550-5600,dev,GDE,6,0.015
T500,2,5550-5600,dev,LEVY,1,0.0025
T500,2,5550-5600,dev,RESAMPLE,0,0.0
T500,2,5600-5650,offload,GA,113,0.2825
T500,2,5600-5650,offload,DE,281,0.7025
T500,2,5600-5650,offload,BITFLIP,4,0.01
T500,2,5600-5650,offload,RESAMPLE,2,0.005
T500,2,5600-5650,seq,GA,367,0.9175
T500,2,5600-5650,seq,SWAP,29,0.0725
T500,2,5600-5650,seq,VNS,0,0.0
T500,2,5600-5650,seq,RESAMPLE,4,0.01
T500,2,5600-5650,dev,DE,381,0.9525
T500,2,5600-5650,dev,GDE,15,0.0375
T500,2,5600-5650,dev,LEVY,4,0.01
T500,2,5600-5650,dev,RESAMPLE,0,0.0
T500,2,5650-5700,offload,GA,101,0.2525
T500,2,5650-5700,offload,DE,294,0.735
T500,2,5650-5700,offload,BITFLIP,2,0.005
T500,2,5650-5700,offload,RESAMPLE,3,0.0075
T500,2,5650-5700,seq,GA,391,0.9775
T500,2,5650-5700,seq,SWAP,4,0.01
T500,2,5650-5700,seq,VNS,4,0.01
T500,2,5650-5700,seq,RESAMPLE,1,0.0025
T500,2,5650-5700,dev,DE,395,0.9875
T500,2,5650-5700,dev,GDE,1,0.0025
T500,2,5650-5700,dev,LEVY,3,0.0075
T500,2,5650-5700,dev,RESAMPLE,1,0.0025
T500,2,5700-5750,offload,GA,100,0.25
T500,2,5700-5750,offload,DE,296,0.74
T500,2,5700-5750,offload,BITFLIP,0,0.0
T500,2,5700-5750,offload,RESAMPLE,4,0.01
T500,2,5700-5750,seq,GA,391,0.9775
T500,2,5700-5750,seq,SWAP,2,0.005
T500,2,5700-5750,seq,VNS,4,0.01
T500,2,5700-5750,seq,RESAMPLE,3,0.0075
T500,2,5700-5750,dev,DE,392,0.98
T500,2,5700-5750,dev,GDE,4,0.01
T500,2,5700-5750,dev,LEVY,1,0.0025
T500,2,5700-5750,dev,RESAMPLE,3,0.0075
T500,2,5750-5800,offload,GA,118,0.295
T500,2,5750-5800,offload,DE,280,0.7
T500,2,5750-5800,offload,BITFLIP,1,0.0025
T500,2,5750-5800,offload,RESAMPLE,1,0.0025
T500,2,5750-5800,seq,GA,378,0.945
T500,2,5750-5800,seq,SWAP,15,0.0375
T500,2,5750-5800,seq,VNS,6,0.015
T500,2,5750-5800,seq,RESAMPLE,1,0.0025
T500,2,5750-5800,dev,DE,377,0.9425
T500,2,5750-5800,dev,GDE,17,0.0425
T500,2,5750-5800,dev,LEVY,4,0.01
T500,2,5750-5800,dev,RESAMPLE,2,0.005
T500,2,5800-5850,offload,GA,244,0.61
T500,2,5800-5850,offload,DE,150,0.375
T500,2,5800-5850,offload,BITFLIP,6,0.015
T500,2,5800-5850,offload,RESAMPLE,0,0.0
T500,2,5800-5850,seq,GA,170,0.425
T500,2,5800-5850,seq,SWAP,190,0.475
T500,2,5800-5850,seq,VNS,40,0.1
T500,2,5800-5850,seq,RESAMPLE,0,0.0
T500,2,5800-5850,dev,DE,225,0.5625
T500,2,5800-5850,dev,GDE,172,0.43
T500,2,5800-5850,dev,LEVY,3,0.0075
T500,2,5800-5850,dev,RESAMPLE,0,0.0
T500,2,5850-5900,offload,GA,226,0.565
T500,2,5850-5900,offload,DE,162,0.405
T500,2,5850-5900,offload,BITFLIP,12,0.03
T500,2,5850-5900,offload,RESAMPLE,0,0.0
T500,2,5850-5900,seq,GA,166,0.415
T500,2,5850-5900,seq,SWAP,192,0.48
T500,2,5850-5900,seq,VNS,42,0.105
T500,2,5850-5900,seq,RESAMPLE,0,0.0
T500,2,5850-5900,dev,DE,192,0.48
T500,2,5850-5900,dev,GDE,195,0.4875
T500,2,5850-5900,dev,LEVY,13,0.0325
T500,2,5850-5900,dev,RESAMPLE,0,0.0
T500,2,5900-5950,offload,GA,110,0.275
T500,2,5900-5950,offload,DE,287,0.7175
T500,2,5900-5950,offload,BITFLIP,3,0.0075
T500,2,5900-5950,offload,RESAMPLE,0,0.0
T500,2,5900-5950,seq,GA,349,0.8725
T500,2,5900-5950,seq,SWAP,39,0.0975
T500,2,5900-5950,seq,VNS,11,0.0275
T500,2,5900-5950,seq,RESAMPLE,1,0.0025
T500,2,5900-5950,dev,DE,383,0.9575
T500,2,5900-5950,dev,GDE,10,0.025
T500,2,5900-5950,dev,LEVY,6,0.015
T500,2,5900-5950,dev,RESAMPLE,1,0.0025
T500,2,5950-6000,offload,GA,99,0.2475
T500,2,5950-6000,offload,DE,298,0.745
T500,2,5950-6000,offload,BITFLIP,2,0.005
T500,2,5950-6000,offload,RESAMPLE,1,0.0025
T500,2,5950-6000,seq,GA,398,0.995
T500,2,5950-6000,seq,SWAP,1,0.0025
T500,2,5950-6000,seq,VNS,0,0.0
T500,2,5950-6000,seq,RESAMPLE,1,0.0025
T500,2,5950-6000,dev,DE,397,0.9925
T500,2,5950-6000,dev,GDE,3,0.0075
T500,2,5950-6000,dev,LEVY,0,0.0
T500,2,5950-6000,dev,RESAMPLE,0,0.0
T500,2,6000-6050,offload,GA,102,0.255
T500,2,6000-6050,offload,DE,295,0.7375
T500,2,6000-6050,offload,BITFLIP,1,0.0025
T500,2,6000-6050,offload,RESAMPLE,2,0.005
T500,2,6000-6050,seq,GA,394,0.985
T500,2,6000-6050,seq,SWAP,4,0.01
T500,2,6000-6050,seq,VNS,1,0.0025
T500,2,6000-6050,seq,RESAMPLE,1,0.0025
T500,2,6000-6050,dev,DE,392,0.98
T500,2,6000-6050,dev,GDE,1,0.0025
T500,2,6000-6050,dev,LEVY,3,0.0075
T500,2,6000-6050,dev,RESAMPLE,4,0.01
T500,2,6050-6100,offload,GA,197,0.4925
T500,2,6050-6100,offload,DE,197,0.4925
T500,2,6050-6100,offload,BITFLIP,6,0.015
T500,2,6050-6100,offload,RESAMPLE,0,0.0
T500,2,6050-6100,seq,GA,218,0.545
T500,2,6050-6100,seq,SWAP,141,0.3525
T500,2,6050-6100,seq,VNS,41,0.1025
T500,2,6050-6100,seq,RESAMPLE,0,0.0
T500,2,6050-6100,dev,DE,280,0.7
T500,2,6050-6100,dev,GDE,111,0.2775
T500,2,6050-6100,dev,LEVY,8,0.02
T500,2,6050-6100,dev,RESAMPLE,1,0.0025
T500,2,6100-6150,offload,GA,201,0.5025
T500,2,6100-6150,offload,DE,190,0.475
T500,2,6100-6150,offload,BITFLIP,9,0.0225
T500,2,6100-6150,offload,RESAMPLE,0,0.0
T500,2,6100-6150,seq,GA,159,0.3975
T500,2,6100-6150,seq,SWAP,192,0.48
T500,2,6100-6150,seq,VNS,49,0.1225
T500,2,6100-6150,seq,RESAMPLE,0,0.0
T500,2,6100-6150,dev,DE,264,0.66
T500,2,6100-6150,dev,GDE,128,0.32
T500,2,6100-6150,dev,LEVY,8,0.02
T500,2,6100-6150,dev,RESAMPLE,0,0.0
T500,2,6150-6200,offload,GA,150,0.375
T500,2,6150-6200,offload,DE,249,0.6225
T500,2,6150-6200,offload,BITFLIP,0,0.0
T500,2,6150-6200,offload,RESAMPLE,1,0.0025
T500,2,6150-6200,seq,GA,296,0.74
T500,2,6150-6200,seq,SWAP,76,0.19
T500,2,6150-6200,seq,VNS,27,0.0675
T500,2,6150-6200,seq,RESAMPLE,1,0.0025
T500,2,6150-6200,dev,DE,340,0.85
T500,2,6150-6200,dev,GDE,54,0.135
T500,2,6150-6200,dev,LEVY,5,0.0125
T500,2,6150-6200,dev,RESAMPLE,1,0.0025
T500,2,6200-6250,offload,GA,98,0.245
T500,2,6200-6250,offload,DE,301,0.7525
T500,2,6200-6250,offload,BITFLIP,0,0.0
T500,2,6200-6250,offload,RESAMPLE,1,0.0025
T500,2,6200-6250,seq,GA,394,0.985
T500,2,6200-6250,seq,SWAP,1,0.0025
T500,2,6200-6250,seq,VNS,3,0.0075
T500,2,6200-6250,seq,RESAMPLE,2,0.005
T500,2,6200-6250,dev,DE,394,0.985
T500,2,6200-6250,dev,GDE,1,0.0025
T500,2,6200-6250,dev,LEVY,2,0.005
T500,2,6200-6250,dev,RESAMPLE,3,0.0075
T500,2,6250-6300,offload,GA,99,0.2475
T500,2,6250-6300,offload,DE,292,0.73
T500,2,6250-6300,offload,BITFLIP,5,0.0125
T500,2,6250-6300,offload,RESAMPLE,4,0.01
T500,2,6250-6300,seq,GA,394,0.985
T500,2,6250-6300,seq,SWAP,0,0.0
T500,2,6250-6300,seq,VNS,0,0.0
T500,2,6250-6300,seq,RESAMPLE,6,0.015
T500,2,6250-6300,dev,DE,395,0.9875
T500,2,6250-6300,dev,GDE,2,0.005
T500,2,6250-6300,dev,LEVY,1,0.0025
T500,2,6250-6300,dev,RESAMPLE,2,0.005
T500,2,6300-6350,offload,GA,114,0.285
T500,2,6300-6350,offload,DE,279,0.6975
T500,2,6300-6350,offload,BITFLIP,4,0.01
T500,2,6300-6350,offload,RESAMPLE,3,0.0075
T500,2,6300-6350,seq,GA,395,0.9875
T500,2,6300-6350,seq,SWAP,4,0.01
