problem,algorithm,seed,final_fitness
T200,CCHIHH-noCC,4,0.0536944
T200,CCHIHH-noCC,5,0.0593619
T200,CCHIHH-noCC,6,0.0601585
T200,CCHIHH-noCC,7,0.0539274
T200,CCHIHH-noCC,8,0.0602201
T200,CCHIHH-noCC,9,0.0560422
T200,CCHIHH-noCC,10,0.0575964
T200,CCHIHH-noHI,1,REQUIRES RERUN
T200,CCHIHH-noHI,2,REQUIRES RERUN
T200,CCHIHH-noHI,3,REQUIRES RERUN
T200,CCHIHH-noHI,4,REQUIRES RERUN
T200,CCHIHH-noHI,5,REQUIRES RERUN
T200,CCHIHH-noHI,6,REQUIRES RERUN
T200,CCHIHH-noHI,7,REQUIRES RERUN
T200,CCHIHH-noHI,8,REQUIRES RERUN
T200,CCHIHH-noHI,9,REQUIRES RERUN
T200,CCHIHH-noHI,10,REQUIRES RERUN
T200,CCHIHH-noCB,1,0.0480908
T200,CCHIHH-noCB,2,0.0486941
T200,CCHIHH-noCB,3,0.0465974
T200,CCHIHH-noCB,4,0.0465011
T200,CCHIHH-noCB,5,0.045255
T200,CCHIHH-noCB,6,0.0501723
T200,CCHIHH-noCB,7,0.0478699
T200,CCHIHH-noCB,8,0.047253
T200,CCHIHH-noCB,9,0.0495471
T200,CCHIHH-noCB,10,0.0479016
T200,CCHIHH-noMig,1,0.0447738
T200,CCHIHH-noMig,2,0.0528554
T200,CCHIHH-noMig,3,0.0398658
T200,CCHIHH-noMig,4,0.0471413
T200,CCHIHH-noMig,5,0.0439247
T200,CCHIHH-noMig,6,0.0456305
T200,CCHIHH-noMig,7,0.0481957
T200,CCHIHH-noMig,8,0.0439191
T200,CCHIHH-noMig,9,0.0462242
T200,CCHIHH-noMig,10,0.0399262
T200,CCHIHH-noGate,1,0.0370968
T200,CCHIHH-noGate,2,0.0403411
T200,CCHIHH-noGate,3,NOT FOUND
T200,CCHIHH-noGate,4,NOT FOUND
T200,CCHIHH-noGate,5,NOT FOUND
T200,CCHIHH-noGate,6,NOT FOUND
T200,CCHIHH-noGate,7,0.0353499
T200,CCHIHH-noGate,8,0.037337
T200,CCHIHH-noGate,9,NOT FOUND
T200,CCHIHH-noGate,10,0.0384223
T200,GA,1,REQUIRES RERUN
T200,GA,2,REQUIRES RERUN
T200,GA,3,REQUIRES RERUN
T200,GA,4,REQUIRES RERUN
T200,GA,5,REQUIRES RERUN
T200,GA,6,REQUIRES RERUN
T200,GA,7,REQUIRES RERUN
T200,GA,8,REQUIRES RERUN
T200,GA,9,REQUIRES RERUN
T200,GA,10,REQUIRES RERUN
T200,DE,1,REQUIRES RERUN
T200,DE,2,REQUIRES RERUN
T200,DE,3,REQUIRES RERUN
T200,DE,4,REQUIRES RERUN
T200,DE,5,REQUIRES RERUN
T200,DE,6,REQUIRES RERUN
T200,DE,7,REQUIRES RERUN
T200,DE,8,REQUIRES RERUN
T200,DE,9,REQUIRES RERUN
T200,DE,10,REQUIRES RERUN
T200,Gbest-DE,1,0.0379374
T200,Gbest-DE,2,0.0378293
T200,Gbest-DE,3,0.0365826
T200,Gbest-DE,4,0.0358775
T200,Gbest-DE,5,0.0364941
T200,Gbest-DE,6,0.0358536
T200,Gbest-DE,7,0.0373607
T200,Gbest-DE,8,0.0396272
T200,Gbest-DE,9,0.0339033
T200,Gbest-DE,10,NOT FOUND
T200,CGA,1,0.0496065
T200,CGA,2,NOT FOUND
T200,CGA,3,0.050054
T200,CGA,4,NOT FOUND
T200,CGA,5,NOT FOUND
T200,CGA,6,NOT FOUND
T200,CGA,7,0.0496817
T200,CGA,8,0.0497441
T200,CGA,9,0.0507641
T200,CGA,10,0.04808
T200,IMOMA,1,0.0561089
T200,IMOMA,2,0.0576837
T200,IMOMA,3,0.0604564
T200,IMOMA,4,0.0559108
T200,IMOMA,5,0.056316
T200,IMOMA,6,0.0581088
T200,IMOMA,7,0.0598028
T200,IMOMA,8,0.0579043
T200,IMOMA,9,0.0558003
T200,IMOMA,10,0.05789
