gen,nsubpop=1 mean,nsubpop=1 var,nsubpop=8 mean,nsubpop=8 var
50,55.232420000000005,0.0004842256000000319,55.221320000000006,0.00021935360000000805
100,55.18678,0.0013428075999999554,55.11598,0.00012588359999998874
150,55.15715,0.002115190499999998,55.04006,0.00016525639999997514
200,55.12717,0.0024219561000001365,54.9884,0.0002998740000000384
250,55.103570000000005,0.0017468701000000226,54.95022,0.00022137959999998666
300,55.079510000000006,0.0017940549000000233,54.924170000000004,0.00015786009999998817
350,55.053869999999996,0.001983200099999977,54.90041,0.00023225490000005218
400,55.037659999999995,0.0017646783999999873,54.87753,0.000253204100000038
450,55.01835,0.0015534365000000217,54.85873,0.00029513210000003205
500,55.00253,0.0015795000999999985,54.84492,0.00027835559999996116
550,54.99234,0.0017320083999999968,54.83394,0.0002638723999999599
600,54.98107,0.0017852580999999264,54.82191,0.00030519090000000074
650,54.97247,0.001763886100000079,54.80978,0.00040879159999994766
700,54.963589999999996,0.0013767528999999669,54.79964,0.00044480439999999263
750,54.955639999999995,0.001476352400000033,54.78857000000001,0.0004619761000000264
800,54.951769999999996,0.0016505480999999462,54.780499999999996,0.0004401779999999928
850,54.942550000000004,0.001683078500000032,54.77174,0.00044833040000000126
900,54.93648,0.0016999316000000345,54.76615,0.0005245805000000053
950,54.92833,0.0018123561000000059,54.759389999999996,0.0005282348999999626
1000,54.92361,0.0017319729000000305,54.752390000000005,0.000517936899999983
1050,54.9207,0.0016947160000001019,54.745540000000005,0.0005388104000000162
1100,54.916669999999996,0.001560498100000015,54.73932,0.0004868876000000143
1150,54.91369999999999,0.0016003659999999404,54.735,0.0004526819999999804
1200,54.90996,0.0016588484000000549,54.73106,0.0005494403999999839
1250,54.907000000000004,0.0016340280000000647,54.72567,0.0004631281000000372
1300,54.90186,0.001524722399999986,54.72301,0.0004171049000000564
1350,54.9006,0.0015525179999999856,54.72019,0.0004068209000000414
1400,54.89681,0.001695006900000023,54.71707,0.0003829900999999928
1450,54.893060000000006,0.0015983243999999452,54.713620000000006,0.00034254360000001414
1500,54.89063,0.0016199620999999306,54.71052999999999,0.0003095980999999381
1550,54.88369,0.001514376900000015,54.708569999999995,0.0003537020999999554
1600,54.8812,0.00161183799999998,54.70653,0.00029948409999999026
1650,54.879690000000004,0.0016582488999999593,54.70447,0.00033048409999998017
1700,54.87802000000001,0.001617295599999974,54.70093000000001,0.0002963601000000168
1750,54.87716,0.0016024243999999271,54.69901,0.0002684729000000009
1800,54.874559999999995,0.0014598943999999494,54.697140000000005,0.0002789863999999958
1850,54.87317,0.0014100500999999477,54.694539999999996,0.0002891623999999607
1900,54.87112,0.0014023995999999316,54.69322,0.00029616359999996747
1950,54.870129999999996,0.0013837840999999314,54.69181,0.00028038689999999985
2000,54.867470000000004,0.0013977640999999295,54.691089999999996,0.000274580900000008
2050,54.86456,0.001473148399999914,54.68929000000001,0.000271826900000006
2100,54.86103000000001,0.0014207640999999581,54.688390000000005,0.0002826729000000196
2150,54.85873,0.001415936099999969,54.68766000000001,0.0002634324000000194
2200,54.85621,0.001313572900000039,54.68663,0.00024234210000001014
2250,54.8547,0.0012975659999999384,54.68552,0.00023494760000000205
2300,54.852740000000004,0.0012669963999999256,54.68485,0.0002307644999999902
2350,54.85085,0.001117152499999978,54.68338,0.000212181599999992
2400,54.84827,0.0010966680999999901,54.68215,0.00021758049999998772
2450,54.846810000000005,0.0011193529000000546,54.682010000000005,0.00021827889999998597
2500,54.84555,0.0011142325000000506,54.68094,0.00021492239999998768
2550,54.844809999999995,0.0011179789000000519,54.680809999999994,0.00021038289999998915
2600,54.84304999999999,0.0010990984999999782,54.68057,0.0002049060999999855
2650,54.84207,0.0011725600999999627,54.67983,0.00018325809999999299
2700,54.84084,0.0011665364000000848,54.6798,0.00018454599999997482
2750,54.83979000000001,0.001190256900000064,54.67974,0.00018543039999998327
2800,54.838530000000006,0.0011995321000000682,54.679089999999995,0.0001686128999999965
2850,54.837019999999995,0.0012233976000000342,54.67906000000001,0.00016826639999999312
2900,54.83506,0.0012380023999999158,54.677369999999996,0.00016719409999998346
2950,54.83139,0.00126578489999993,54.67731,0.00016782289999997446
3000,54.8278,0.0012985799999999208,54.67691,0.00015519089999998305
3050,54.82691,0.0012366408999999771,54.67682,0.00015450359999997647
3100,54.82567,0.0012776640999999647,54.67617,0.00014183809999997692
3150,54.82417,0.001297082099999955,54.67508,0.00014926559999998843
3200,54.823159999999994,0.0012739143999999458,54.674350000000004,0.00015358849999998742
3250,54.82235000000001,0.0012039324999999874,54.674040000000005,0.00015411239999998735
3300,54.821799999999996,0.0012075379999999998,54.6733,0.00014852599999998697
3350,54.82032,0.0011210396000000205,54.67268,0.00013381960000000254
3400,54.81813,0.0011365840999999774,54.67225,0.00014537449999999373
3450,54.8177,0.001079449999999971,54.67193999999999,0.00015854640000000902
3500,54.8172,0.0010855759999999787,54.67184999999999,0.0001600365000000207
3550,54.816280000000006,0.0010886235999999726,54.6712,0.00015053000000001232
3600,54.815020000000004,0.0010930215999999876,54.670860000000005,0.00016080640000000113
3650,54.81403,0.0010152241000000507,54.670860000000005,0.00016080640000000113
3700,54.81354,0.0009818443999999908,54.67083,0.0001619041000000115
3750,54.811890000000005,0.0009576509000000334,54.67083,0.0001619041000000115
3800,54.811580000000006,0.000960695600000039,54.670489999999994,0.0001678868999999969
3850,54.81022,0.0009884116000000154,54.670489999999994,0.0001678868999999969
3900,54.80952,0.000990469600000013,54.67018,0.0001671955999999961
