gen,CCHIHH_Full mean,CCHIHH_Full var,CGA mean,CGA var,IMOMA mean,IMOMA var,DSAC_DE mean,DSAC_DE var
50,0.03582238,3.961969916000005e-07,0.035759410000000005,5.242140429000011e-07,0.035886280000000007,1.700444523599998e-06,0.037748000000000004,1.1187056560000008e-06
100,0.03321399,1.1497342548999987e-06,0.03527846,3.1143070639999987e-07,0.03529327,1.212850334099999e-06,0.03765614,1.1381517843999998e-06
150,0.03152432,7.952709815999998e-07,0.034950629999999996,2.978002681000006e-07,0.03501591,9.65130274899999e-07,0.037621379999999996,1.1556182536e-06
200,0.03038361,7.625172588999986e-07,0.0344533,1.510857020000002e-07,0.034783980000000006,1.313421261600002e-06,0.037577490000000005,1.1847374349000025e-06
250,0.029554530000000002,9.251029680999992e-07,0.03423989,3.4454037690000107e-07,0.034703090000000006,1.2585670528999994e-06,0.03753027,1.1565122601000008e-06
300,0.02897129,8.697001789000001e-07,0.03408382,3.491308255999989e-07,0.03461459,1.283594828900001e-06,0.03743709,1.3665046309000011e-06
350,0.02845263,7.870175041000004e-07,0.03404493,3.508927861000007e-07,0.034527829999999995,1.2224310981000004e-06,0.03743262,1.3636824676000007e-06
400,0.027977170000000003,7.335422681000006e-07,0.03387228,4.1726065160000177e-07,0.03446778,1.4994870535999995e-06,0.03737377,1.262649720099999e-06
450,0.02762286,7.277715404000002e-07,0.03366077,3.3241497809999965e-07,0.03440287,1.4702551980999997e-06,0.03734172,1.217927431600002e-06
500,0.02725277,8.919599841000002e-07,0.03356505,4.283797064999999e-07,0.03429055,1.6538447165000001e-06,0.03733565,1.2175935844999993e-06
550,0.02700342,9.408185196000009e-07,0.03348368,4.5756334560000086e-07,0.03425375,1.6669683005000007e-06,0.03733085,1.2185379485e-06
600,0.026751340000000002,1.060132120400001e-06,0.03333933,4.347208600999986e-07,0.03412998,1.4397920115999993e-06,0.03732126,1.2184266763999982e-06
650,0.026516069999999996,1.2229134280999992e-06,0.03325297,5.026073881000007e-07,0.03386689,1.4108783848999988e-06,0.03731761,1.2165457068999995e-06
700,0.02635886,1.2865424263999997e-06,0.033120529999999995,5.001584421000014e-07,0.03377691,1.265067282899998e-06,0.03731178,1.2143236296e-06
750,0.02619875,1.3449463585e-06,0.03307267,4.905263741000011e-07,0.03367722,1.203855499599998e-06,0.03729548,1.1988443215999983e-06
800,0.026027679999999997,1.4505578856000019e-06,0.03302868,4.6885742159999933e-07,0.033656979999999996,1.228017695599999e-06,0.03728222,1.1941321255999997e-06
850,0.025901619999999997,1.5435347556000012e-06,0.0329078,5.335692139999991e-07,0.03346275,1.262673588499998e-06,0.03720535,1.0312095604999999e-06
900,0.02578241,1.5866780068999992e-06,0.03284345,5.215514305000003e-07,0.03341329,1.2274982488999984e-06,0.03718396,1.0167398224000013e-06
950,0.02568186,1.6187473944000005e-06,0.032689449999999995,4.0404478650000075e-07,0.03341306,1.2278925224000002e-06,0.03715909,1.0194975909000001e-06
1000,0.02558665,1.6431560685000007e-06,0.032554349999999996,3.100493384999997e-07,0.03341259,1.2293309468999992e-06,0.03715271,1.0166784469000006e-06
1050,0.02549363,1.6621208800999997e-06,0.03248168,3.0865929759999923e-07,0.03333213,1.2922773500999995e-06,0.03713092999999999,9.977641660999984e-07
1100,0.025356240000000002,1.6941354443999997e-06,0.03241545,3.400012224999992e-07,0.03333105,1.2920711024999992e-06,0.03702831,1.0974768329000006e-06
1150,0.025275540000000003,1.749397630400001e-06,0.03238321,3.3203934090000013e-07,0.03327454,1.2832218683999994e-06,0.03701063,1.1156145541000007e-06
1200,0.025176070000000002,1.8036495221000001e-06,0.03231538,3.0660138959999946e-07,0.033221299999999995,1.2896754139999992e-06,0.0369826,1.0762726179999985e-06
1250,0.02508535,1.8627996085000002e-06,0.03220994,2.9986679039999966e-07,0.033191280000000004,1.1982882656000004e-06,0.03696534,1.082599274400002e-06
1300,0.02500002,1.9118155515999986e-06,0.03214031,2.7391068290000097e-07,0.03318062,1.184996245599999e-06,0.03695216,1.0850097584000001e-06
1350,0.024935279999999997,1.942176855600001e-06,0.03210602,2.6720234560000086e-07,0.03310973,1.3519299201000012e-06,0.03681657,1.2718049621000022e-06
1400,0.02485657,1.969892282100001e-06,0.03203338,2.3532661560000059e-07,0.03306617,1.3658273721000002e-06,0.03680119,1.2852800408999984e-06
1450,0.02470233,1.6377649521000006e-06,0.0319942,2.2716078600000045e-07,0.03305005,1.3722000184999998e-06,0.03677984,1.3043929324000015e-06
1500,0.02459927,1.5459155401e-06,0.0319693,2.2308179199999976e-07,0.03294225,1.4129385485000003e-06,0.03673476,1.3820227663999985e-06
1550,0.024389639999999997,1.2452451004e-06,0.03188372,2.543888676000002e-07,0.03288807,1.4825464120999997e-06,0.03672623,1.3844083661000012e-06
1600,0.02432291,1.2620710828999995e-06,0.031845219999999994,2.7523987960000014e-07,0.03288469,1.4810530629000018e-06,0.03670382,1.4436649796e-06
1650,0.02422533,1.2010835261e-06,0.0317969,2.5433194800000016e-07,0.03276732,1.704764525600001e-06,0.03670036,1.445903090399999e-06
1700,0.024149979999999998,1.199242783599998e-06,0.03170112,2.9605226959999963e-07,0.032753779999999996,1.7075093416000011e-06,0.03669428,1.4519982095999987e-06
1750,0.02408446,1.1741769723999988e-06,0.03164537,3.010210001000003e-07,0.03268128,1.8538162575999993e-06,0.03669073,1.4519947420999988e-06
1800,0.02402079,1.1264462369000004e-06,0.031575360000000004,2.5291929240000045e-07,0.03266062,1.8510599235999993e-06,0.03667526,1.4442679203999994e-06
1850,0.02395916,1.1152547183999997e-06,0.031530409999999995,2.6580257490000054e-07,0.03263857,1.805502464099999e-06,0.03654941,1.4990673568999983e-06
1900,0.02389634,1.0894870844e-06,0.03149459,2.657917709e-07,0.03262334,1.7766452443999983e-06,0.03653812,1.4956897056000013e-06
1950,0.02384497,1.0883699900999995e-06,0.0314473,2.4215494400000023e-07,0.032621159999999996,1.7750415643999986e-06,0.03652616,1.4986325263999975e-06
2000,0.02380161,1.0875561068999994e-06,0.03139399,2.475901988999999e-07,0.03259481,1.7770649968999983e-06,0.03651217,1.4988952340999993e-06
2050,0.02374193,1.0879777541e-06,0.031361690000000005,2.4167856090000125e-07,0.032591539999999995,1.7763895783999981e-06,0.036507200000000004,1.4968424079999988e-06
2100,0.02367708,1.0848393396000007e-06,0.031332879999999994,2.5678935559999934e-07,0.03255823,1.6596920840999986e-06,0.03649362,1.4924080876000025e-06
2150,0.02363676,1.0806603864e-06,0.031283450000000004,2.622677664999995e-07,0.03255037,1.6506041620999986e-06,0.03648737,1.4869237561000012e-06
2200,0.02359781,1.0801952569000002e-06,0.031226370000000003,2.5202047810000033e-07,0.03255037,1.6506041620999986e-06,0.03647277,1.4751357080999978e-06
2250,0.02353916,1.0218964463999994e-06,0.031137039999999998,3.4782658840000016e-07,0.03248239,1.4669125089000006e-06,0.03646623,1.4673828081000012e-06
2300,0.0234876,1.0319928459999989e-06,0.03110972,3.4150563559999975e-07,0.03232537,1.8354270721000007e-06,0.03646103,1.4670166061000005e-06
2350,0.02343614,1.0148031643999997e-06,0.03107744,3.399491903999992e-07,0.03230505,1.8234303524999993e-06,0.036452410000000005,1.4482438728999997e-06
2400,0.02337759,9.786608448999993e-07,0.03105697,3.376433241000007e-07,0.03230405,1.8210110525e-06,0.03644634,1.4431859943999988e-06
2450,0.02333908,9.692327876000002e-07,0.03098552,3.9079308960000056e-07,0.03229759,1.812489970899999e-06,0.03643777,1.4431603520999998e-06
2500,0.02330981,9.766155589000005e-07,0.0309547,3.768848679999999e-07,0.03229267,1.8037970540999987e-06,0.03642303,1.4506889681000009e-06
2550,0.023279920000000003,9.783729596000001e-07,0.030927529999999998,3.643503881e-07,0.03229239,1.8031532388999991e-06,0.03639371,1.5157550589000028e-06
2600,0.023247709999999998,9.883653149000008e-07,0.030878620000000002,4.2558979159999957e-07,0.03229111,1.8080421988999995e-06,0.03638258,1.4982917875999993e-06
2650,0.02321393,9.873511861000005e-07,0.030849389999999997,4.212959809000001e-07,0.0322911,1.8080192059999986e-06,0.03636537,1.5232276241000013e-06
2700,0.02315768,9.359392996000002e-07,0.0308137,4.044296500000006e-07,0.03229076,1.8077688943999994e-06,0.03634559,1.5426642968999987e-06
2750,0.02312026,9.544629384000007e-07,0.03076007,4.163743921000002e-07,0.03229063,1.8077649040999984e-06,0.03626873,1.4179397281000004e-06
2800,0.023079250000000003,9.572357624999996e-07,0.03074569,4.1466357690000007e-07,0.03229063,1.8077649040999984e-06,0.03617345,1.3020665744999988e-06
2850,0.02305518,9.686674576000014e-07,0.03070774,4.1280038440000036e-07,0.032289080000000005,1.806652329599999e-06,0.03615759,1.3153566069000014e-06
2900,0.02302358,9.652008436000007e-07,0.030662000000000002,4.25507105999999e-07,0.03228861,1.8063235128999987e-06,0.03614112,1.3141108735999981e-06
2950,0.02299767,9.699264981000003e-07,0.03061738,4.129507755999997e-07,0.032264360000000006,1.7194481463999988e-06,0.036103249999999996,1.3802923125000002e-06
3000,0.02296505,9.508901805000008e-07,0.03057337,4.001872940999998e-07,0.032196220000000005,1.9245592196000006e-06,0.03609542,1.3751323976000003e-06
3050,0.02293044,9.525216764000004e-07,0.03053057,4.023672320999996e-07,0.032196220000000005,1.9245592196000006e-06,0.03608745,1.375059066500002e-06
3100,0.02289389,9.671995148999996e-07,0.030505860000000003,4.029686824000002e-07,0.03219617,1.9244478041000006e-06,0.036052640000000004,1.3861707084000005e-06
3150,0.02287456,9.723865624000007e-07,0.03048659,4.028619168999996e-07,0.032190380000000005,1.9184773156000016e-06,0.03602816,1.3603985604000003e-06
3200,0.02285552,9.791670956e-07,0.03044345,4.0673598449999983e-07,0.03219031,1.9188086389000012e-06,0.03602185,1.3523254305000022e-06
3250,0.02283865,9.871493865e-07,0.0304187,4.0192371799999966e-07,0.03219028,1.918795159600001e-06,0.03600389,1.3517318328999998e-06
3300,0.022823219999999998,9.924167495999995e-07,0.030385139999999998,3.867498424000012e-07,0.0321745,1.9952091760000002e-06,0.03599599,1.3448257468999986e-06
3350,0.022799,9.99371463999999e-07,0.03036547,3.9014589610000063e-07,0.0321745,1.9952091760000002e-06,0.035993330000000004,1.3458469621000015e-06
