Problem,CCHIHH-full (Mean+-Std),CGA (Mean+-Std),IMOMA (Mean+-Std),DSAC-DE (Mean+-Std)
T100,0.342314 +- 0.000912,0.353245 +- 0.001514,0.377472 +- 0.001463,0.324761 +- 0.001021
T200,0.038271 +- 0.001931,0.049487 +- 0.001094,0.057598 +- 0.001613,0.047151 +- 0.001726
T500,0.026043 +- 0.000936,0.039213 +- 0.000877,0.046502 +- 0.001374,0.037228 +- 0.001159
