config,mean,std,best,median,worst,mean±std
stable_true_gate15,0.038271,0.0019312648601370035,0.0364965,0.03758,0.0419295,0.038271 ± 0.001931
stable_false,0.03750463,0.0015636590172839258,0.0353499,0.0372169,0.0403411,0.037505 ± 0.001564
