Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver GDE --seed 2 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T300_E150_D500.txt --cnum 150 --enum 150 --dnum 500 --tnum 300 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T300_E150_D500.txt
Generations: 10000
Population size: 40
Random seed: 2
Pini (heuristic prob): 0.4
Solver: GDE
Cnum/Enum/Dnum/Tnum/Mopt: 150/150/500/300/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T300_E150_D500.txt"
Gen 7600: best_fit = 1168.55
Gen 7650: best_fit = 1168.43
Gen 7700: best_fit = 1168.38
Gen 7750: best_fit = 1168.07
Gen 7800: best_fit = 1167.44
Gen 7850: best_fit = 1166.11
Gen 7900: best_fit = 1166.08
Gen 7950: best_fit = 1166
Gen 8000: best_fit = 1165.96
Gen 8050: best_fit = 1165.95
Gen 8100: best_fit = 1165.94
Gen 8150: best_fit = 1165.88
Gen 8200: best_fit = 1165.82
Gen 8250: best_fit = 1165.79
Gen 8300: best_fit = 1165.65
Gen 8350: best_fit = 1165.62
Gen 8400: best_fit = 1165.55
Gen 8450: best_fit = 1165.54
Gen 8500: best_fit = 1165.53
Gen 8550: best_fit = 1165.52
Gen 8600: best_fit = 1165.52
Gen 8650: best_fit = 1165.45
Gen 8700: best_fit = 1165.39
Gen 8750: best_fit = 1165.38
Gen 8800: best_fit = 1165.33
Gen 8850: best_fit = 1165.32
Gen 8900: best_fit = 1165.29
Gen 8950: best_fit = 1165.24
Gen 9000: best_fit = 1164.85
Gen 9050: best_fit = 1164.78
Gen 9100: best_fit = 1164.77
Gen 9150: best_fit = 1163.89
Gen 9200: best_fit = 1163.88
Gen 9250: best_fit = 1163.47
Gen 9300: best_fit = 1162.55
Gen 9350: best_fit = 1162.53
Gen 9400: best_fit = 1162.53
Gen 9450: best_fit = 1161.54
Gen 9500: best_fit = 1161.44
Gen 9550: best_fit = 1161.42
Gen 9600: best_fit = 1160.72
Gen 9650: best_fit = 1160.45
Gen 9700: best_fit = 1157.94
Gen 9750: best_fit = 1157.93
Gen 9800: best_fit = 1157.12
Gen 9850: best_fit = 1156.54
Gen 9900: best_fit = 1156.51
Gen 9950: best_fit = 1156.48
Gen 10000: best_fit = 1156.42

=== Final Results ===
Solver: GDE
Generation = 10000
The best solution = 1156.42
Time = 788.864 s

exit code 0
