Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CCHIHH' '--stable' '--resample_gate' '15' '--seed' '4' '--alpha' '0.2' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_T200_E100_D300.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '200' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 4
Pini (heuristic prob): 0.4
Objective alpha: 0.2
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH op mode: bandit
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 3190.71
[Normalization] alpha = 0.2

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.0706669
Gen 50: best_fit = 0.0530917
Gen 100: best_fit = 0.0477829
Gen 150: best_fit = 0.044643
Gen 200: best_fit = 0.0424976
Gen 250: best_fit = 0.0407424
Gen 300: best_fit = 0.0393369
Gen 350: best_fit = 0.0382232
Gen 400: best_fit = 0.0374953
Gen 450: best_fit = 0.0364845
Gen 500: best_fit = 0.0359087
Gen 550: best_fit = 0.0353025
Gen 600: best_fit = 0.0348674
Gen 650: best_fit = 0.0343902
Gen 700: best_fit = 0.0339575
Gen 750: best_fit = 0.0334942
Gen 800: best_fit = 0.0331565
Gen 850: best_fit = 0.0327813
Gen 900: best_fit = 0.0325165
Gen 950: best_fit = 0.0321167
Gen 1000: best_fit = 0.031624
Gen 1050: best_fit = 0.031419
Gen 1100: best_fit = 0.0311743
Gen 1150: best_fit = 0.0310136
Gen 1200: best_fit = 0.0308244
Gen 1250: best_fit = 0.0306161
Gen 1300: best_fit = 0.0304732
Gen 1350: best_fit = 0.0304267
Gen 1400: best_fit = 0.0304267
Gen 1450: best_fit = 0.030246
Gen 1500: best_fit = 0.0302349
Gen 1550: best_fit = 0.0302349
Gen 1600: best_fit = 0.0302349
Gen 1650: best_fit = 0.0301991
Gen 1700: best_fit = 0.0301991
Gen 1750: best_fit = 0.0300939
Gen 1800: best_fit = 0.0300306
Gen 1850: best_fit = 0.0299311
Gen 1900: best_fit = 0.0298586
Gen 1950: best_fit = 0.029696
Gen 2000: best_fit = 0.0296289
Gen 2050: best_fit = 0.0295001
Gen 2100: best_fit = 0.029426
Gen 2150: best_fit = 0.0292888
Gen 2200: best_fit = 0.0292072
Gen 2250: best_fit = 0.0290748
Gen 2300: best_fit = 0.0290183
Gen 2350: best_fit = 0.0289031
Gen 2400: best_fit = 0.0288351
Gen 2450: best_fit = 0.028742
Gen 2500: best_fit = 0.0285977
Gen 2550: best_fit = 0.0285473
Gen 2600: best_fit = 0.028441
Gen 2650: best_fit = 0.0284017
Gen 2700: best_fit = 0.0283316
Gen 2750: best_fit = 0.0282937
Gen 2800: best_fit = 0.0282349
Gen 2850: best_fit = 0.0281561
Gen 2900: best_fit = 0.0281143
Gen 2950: best_fit = 0.0280757
Gen 3000: best_fit = 0.0280201
Gen 3050: best_fit = 0.0279673
Gen 3100: best_fit = 0.0278932
Gen 3150: best_fit = 0.0278492
Gen 3200: best_fit = 0.0278077
Gen 3250: best_fit = 0.0277555
Gen 3300: best_fit = 0.0277141
Gen 3350: best_fit = 0.0276629
Gen 3400: best_fit = 0.0276191
Gen 3450: best_fit = 0.0275551
Gen 3500: best_fit = 0.0275217
Gen 3550: best_fit = 0.0275017
Gen 3600: best_fit = 0.0274416
Gen 3650: best_fit = 0.0274152
Gen 3700: best_fit = 0.0274141
Gen 3750: best_fit = 0.0273449
Gen 3800: best_fit = 0.0272964
Gen 3850: best_fit = 0.0272449
Gen 3900: best_fit = 0.0271559
Gen 3950: best_fit = 0.027131
Gen 4000: best_fit = 0.0271071
