Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '6' '--alpha' '0.2' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_T200_E100_D300.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '200' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 6
Pini (heuristic prob): 0.4
Objective alpha: 0.2
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 70
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 3188.16
[Normalization] alpha = 0.2

=== Running CGA Solver ===
CGA mode: objective-compatible with CED_Schedule (best_fit smaller is better)
CGA params: pop=300, gen=10000, pc=0.75, pm(early/late)=0.03/0.01, cat=150, cat_apply_gen<=5000
Gen 50: best_fit = 0.0626603
Gen 100: best_fit = 0.0611931
Gen 150: best_fit = 0.0588931
Gen 200: best_fit = 0.0578397
Gen 250: best_fit = 0.0576785
Gen 300: best_fit = 0.0576785
Gen 350: best_fit = 0.0576785
Gen 400: best_fit = 0.0575417
Gen 450: best_fit = 0.057236
Gen 500: best_fit = 0.0564083
Gen 550: best_fit = 0.055887
Gen 600: best_fit = 0.0556008
Gen 650: best_fit = 0.0555024
Gen 700: best_fit = 0.0552413
Gen 750: best_fit = 0.0551675
Gen 800: best_fit = 0.054328
Gen 850: best_fit = 0.0540201
Gen 900: best_fit = 0.0539479
Gen 950: best_fit = 0.0537782
Gen 1000: best_fit = 0.0533057
Gen 1050: best_fit = 0.0532279
Gen 1100: best_fit = 0.0530213
Gen 1150: best_fit = 0.0528053
Gen 1200: best_fit = 0.0526806
Gen 1250: best_fit = 0.052504
Gen 1300: best_fit = 0.0522875
Gen 1350: best_fit = 0.0518144
Gen 1400: best_fit = 0.051601
Gen 1450: best_fit = 0.0514113
Gen 1500: best_fit = 0.0510062
Gen 1550: best_fit = 0.0508183
Gen 1600: best_fit = 0.0506075
Gen 1650: best_fit = 0.0503228
Gen 1700: best_fit = 0.0501343
Gen 1750: best_fit = 0.0500278
Gen 1800: best_fit = 0.0499336
Gen 1850: best_fit = 0.0498697
Gen 1900: best_fit = 0.0496543
Gen 1950: best_fit = 0.0495109
Gen 2000: best_fit = 0.049177
Gen 2050: best_fit = 0.0490162
Gen 2100: best_fit = 0.0488053
Gen 2150: best_fit = 0.0487044
Gen 2200: best_fit = 0.0486293
Gen 2250: best_fit = 0.0484135
Gen 2300: best_fit = 0.0481308
Gen 2350: best_fit = 0.0480932
Gen 2400: best_fit = 0.0477849
Gen 2450: best_fit = 0.0476491
Gen 2500: best_fit = 0.0475452
Gen 2550: best_fit = 0.0474397
Gen 2600: best_fit = 0.0472019
Gen 2650: best_fit = 0.0470637
Gen 2700: best_fit = 0.0469404
Gen 2750: best_fit = 0.0468655
Gen 2800: best_fit = 0.0467114
Gen 2850: best_fit = 0.0466723
Gen 2900: best_fit = 0.0464379
Gen 2950: best_fit = 0.0463525
Gen 3000: best_fit = 0.0461739
Gen 3050: best_fit = 0.0461148
Gen 3100: best_fit = 0.0459154
Gen 3150: best_fit = 0.0457388
Gen 3200: best_fit = 0.0456642
Gen 3250: best_fit = 0.0456081
Gen 3300: best_fit = 0.0455353
Gen 3350: best_fit = 0.0454212
Gen 3400: best_fit = 0.0453571
Gen 3450: best_fit = 0.0452992
Gen 3500: best_fit = 0.0448672
Gen 3550: best_fit = 0.0447985
Gen 3600: best_fit = 0.0447317
Gen 3650: best_fit = 0.0446547
Gen 3700: best_fit = 0.0444627
Gen 3750: best_fit = 0.0443866
Gen 3800: best_fit = 0.0442966
Gen 3850: best_fit = 0.044198
Gen 3900: best_fit = 0.0441284
Gen 3950: best_fit = 0.0440916
Gen 4000: best_fit = 0.0440097
Gen 4050: best_fit = 0.0438487
Gen 4100: best_fit = 0.0437032
Gen 4150: best_fit = 0.0436371
