Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '7' '--alpha' '0.2' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_T200_E100_D300.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '200' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 7
Pini (heuristic prob): 0.4
Objective alpha: 0.2
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 70
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 3192.24
[Normalization] alpha = 0.2

=== Running CGA Solver ===
CGA mode: objective-compatible with CED_Schedule (best_fit smaller is better)
CGA params: pop=300, gen=10000, pc=0.75, pm(early/late)=0.03/0.01, cat=150, cat_apply_gen<=5000
Gen 50: best_fit = 0.0607089
Gen 100: best_fit = 0.0602977
Gen 150: best_fit = 0.0596954
Gen 200: best_fit = 0.0596301
Gen 250: best_fit = 0.0591066
Gen 300: best_fit = 0.0581474
Gen 350: best_fit = 0.0575389
Gen 400: best_fit = 0.0573969
Gen 450: best_fit = 0.0569425
Gen 500: best_fit = 0.0565135
Gen 550: best_fit = 0.0562706
Gen 600: best_fit = 0.0560807
Gen 650: best_fit = 0.0557797
Gen 700: best_fit = 0.0556963
Gen 750: best_fit = 0.0554447
Gen 800: best_fit = 0.0552828
Gen 850: best_fit = 0.0550075
Gen 900: best_fit = 0.0547627
Gen 950: best_fit = 0.0547198
Gen 1000: best_fit = 0.0544
Gen 1050: best_fit = 0.0541924
Gen 1100: best_fit = 0.0537298
Gen 1150: best_fit = 0.0536435
Gen 1200: best_fit = 0.053554
Gen 1250: best_fit = 0.0533723
Gen 1300: best_fit = 0.0532497
Gen 1350: best_fit = 0.0530074
Gen 1400: best_fit = 0.0527964
Gen 1450: best_fit = 0.0527016
Gen 1500: best_fit = 0.0523681
Gen 1550: best_fit = 0.0521174
Gen 1600: best_fit = 0.0517944
Gen 1650: best_fit = 0.0515882
Gen 1700: best_fit = 0.0514178
Gen 1750: best_fit = 0.0512516
Gen 1800: best_fit = 0.0512305
Gen 1850: best_fit = 0.0511491
Gen 1900: best_fit = 0.0510552
Gen 1950: best_fit = 0.0508392
Gen 2000: best_fit = 0.0506793
Gen 2050: best_fit = 0.0504986
Gen 2100: best_fit = 0.0504178
Gen 2150: best_fit = 0.0503645
Gen 2200: best_fit = 0.0502771
Gen 2250: best_fit = 0.0501204
Gen 2300: best_fit = 0.0500102
Gen 2350: best_fit = 0.0498557
Gen 2400: best_fit = 0.0496758
Gen 2450: best_fit = 0.0495027
Gen 2500: best_fit = 0.0494457
Gen 2550: best_fit = 0.0493002
Gen 2600: best_fit = 0.0492732
Gen 2650: best_fit = 0.0491052
Gen 2700: best_fit = 0.0487184
Gen 2750: best_fit = 0.0485784
Gen 2800: best_fit = 0.0485165
Gen 2850: best_fit = 0.0480437
Gen 2900: best_fit = 0.0479313
Gen 2950: best_fit = 0.0478425
Gen 3000: best_fit = 0.0476402
Gen 3050: best_fit = 0.0475351
Gen 3100: best_fit = 0.0474317
Gen 3150: best_fit = 0.0473858
Gen 3200: best_fit = 0.0473277
Gen 3250: best_fit = 0.0473011
Gen 3300: best_fit = 0.0472086
Gen 3350: best_fit = 0.0470074
Gen 3400: best_fit = 0.0466578
Gen 3450: best_fit = 0.04655
Gen 3500: best_fit = 0.0463215
Gen 3550: best_fit = 0.0459891
Gen 3600: best_fit = 0.0457416
Gen 3650: best_fit = 0.0455138
Gen 3700: best_fit = 0.0454784
Gen 3750: best_fit = 0.0452905
Gen 3800: best_fit = 0.0451423
Gen 3850: best_fit = 0.0450032
Gen 3900: best_fit = 0.0447535
Gen 3950: best_fit = 0.0447155
Gen 4000: best_fit = 0.0446094
Gen 4050: best_fit = 0.0445705
Gen 4100: best_fit = 0.0444331
Gen 4150: best_fit = 0.0443446
Gen 4200: best_fit = 0.0443165
Gen 4250: best_fit = 0.0440815
Gen 4300: best_fit = 0.0439483
Gen 4350: best_fit = 0.0439076
Gen 4400: best_fit = 0.0438628
Gen 4450: best_fit = 0.0437239
Gen 4500: best_fit = 0.0436261
Gen 4550: best_fit = 0.0434816
Gen 4600: best_fit = 0.0433427
Gen 4650: best_fit = 0.0432279
Gen 4700: best_fit = 0.0432259
Gen 4750: best_fit = 0.0430967
Gen 4800: best_fit = 0.0430236
Gen 4850: best_fit = 0.0429789
Gen 4900: best_fit = 0.0429014
Gen 4950: best_fit = 0.042817
Gen 5000: best_fit = 0.0426651
Gen 5050: best_fit = 0.0426193
Gen 5100: best_fit = 0.0424376
Gen 5150: best_fit = 0.0422544
Gen 5200: best_fit = 0.0420817
Gen 5250: best_fit = 0.0419052
Gen 5300: best_fit = 0.0417635
Gen 5350: best_fit = 0.0417635
Gen 5400: best_fit = 0.0417373
Gen 5450: best_fit = 0.0417156
Gen 5500: best_fit = 0.0415227
Gen 5550: best_fit = 0.0414819
Gen 5600: best_fit = 0.0413956
Gen 5650: best_fit = 0.0413366
Gen 5700: best_fit = 0.0412874
Gen 5750: best_fit = 0.0411889
Gen 5800: best_fit = 0.0410741
Gen 5850: best_fit = 0.0410559
Gen 5900: best_fit = 0.0409982
Gen 5950: best_fit = 0.0409711
Gen 6000: best_fit = 0.0408137
Gen 6050: best_fit = 0.0407828
Gen 6100: best_fit = 0.0407165
Gen 6150: best_fit = 0.0404996
Gen 6200: best_fit = 0.0403231
Gen 6250: best_fit = 0.0401572
