gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
1600,0.2975,0.3725,0.08,0.25,0,0.4875,0.51,0.0025,0.125,0.1775,0.675,0.0225,0.0991667,0.165833,0.0591667,0.0266667,0.1625,0.17,0.225,0.0916667
1650,0.3175,0.435,0.005,0.2425,0.0075,0.5225,0.465,0.005,0.1275,0.125,0.7425,0.005,0.108333,0.1875,0.0416667,0.00166667,0.174167,0.155,0.2475,0.0841667
1700,0.265,0.4025,0.0875,0.245,0.0025,0.5475,0.44,0.01,0.1,0.1725,0.7225,0.005,0.0891667,0.1675,0.0575,0.0291667,0.1825,0.146667,0.240833,0.0866667
1750,0.28,0.4,0.07,0.25,0.0075,0.5525,0.4325,0.0075,0.11,0.15,0.73,0.01,0.0958333,0.17,0.05,0.0233333,0.184167,0.144167,0.243333,0.0891667
1800,0.23,0.5125,0.0075,0.25,0.01,0.52,0.4625,0.0075,0.13,0.1275,0.7375,0.005,0.08,0.214167,0.0425,0.0025,0.173333,0.154167,0.245833,0.0875
1850,0.19,0.545,0.0175,0.2475,0.0025,0.5225,0.47,0.005,0.1275,0.125,0.6825,0.065,0.0641667,0.224167,0.0416667,0.00583333,0.174167,0.156667,0.2275,0.105833
1900,0.0925,0.5925,0.12,0.195,0.0025,0.48,0.51,0.0075,0.0875,0.1475,0.6975,0.0675,0.0316667,0.226667,0.0491667,0.04,0.16,0.17,0.2325,0.09
1950,0.0925,0.605,0.1075,0.195,0.0125,0.325,0.6575,0.005,0.1175,0.135,0.6875,0.06,0.035,0.240833,0.045,0.0358333,0.108333,0.219167,0.229167,0.0866667
2000,0.1225,0.6225,0.01,0.245,0.01,0.2525,0.7325,0.005,0.13,0.1325,0.675,0.0625,0.0441667,0.250833,0.0441667,0.00333333,0.0841667,0.244167,0.225,0.104167
2050,0.1025,0.575,0.075,0.2475,0.0025,0.2175,0.775,0.005,0.0975,0.1525,0.6875,0.0625,0.035,0.224167,0.0508333,0.025,0.0725,0.258333,0.229167,0.105
2100,0.1325,0.615,0.0075,0.245,0.005,0.2475,0.7425,0.005,0.1325,0.1225,0.68,0.065,0.0458333,0.249167,0.0408333,0.0025,0.0825,0.2475,0.226667,0.105
2150,0.125,0.6125,0.0075,0.255,0,0.2425,0.7575,0,0.1275,0.1225,0.6875,0.0625,0.0416667,0.246667,0.0408333,0.0025,0.0808333,0.2525,0.229167,0.105833
2200,0.135,0.6125,0.005,0.2475,0.0025,0.225,0.765,0.0075,0.055,0.125,0.7525,0.0675,0.0458333,0.2225,0.0416667,0.00166667,0.075,0.255,0.250833,0.1075
2250,0.1275,0.62,0.005,0.2475,0.005,0.26,0.735,0,0.0525,0.125,0.765,0.0575,0.0441667,0.224167,0.0416667,0.00166667,0.0866667,0.245,0.255,0.101667
2300,0.13,0.6225,0,0.2475,0.005,0.2875,0.7,0.0075,0.0525,0.13,0.755,0.0625,0.045,0.225,0.0433333,0,0.0958333,0.233333,0.251667,0.105833
2350,0.13,0.615,0.0025,0.2525,0,0.3275,0.6675,0.005,0.055,0.13,0.75,0.065,0.0433333,0.223333,0.0433333,0.000833333,0.109167,0.2225,0.25,0.1075
2400,0.1025,0.57,0.0825,0.245,0.0075,0.3325,0.6575,0.0025,0.11,0.21,0.6725,0.0075,0.0366667,0.226667,0.07,0.0275,0.110833,0.219167,0.224167,0.085
2450,0.1275,0.6225,0.005,0.245,0.005,0.3075,0.6825,0.005,0.1275,0.125,0.71,0.0375,0.0441667,0.25,0.0416667,0.00166667,0.1025,0.2275,0.236667,0.0958333
2500,0.1275,0.625,0,0.2475,0.005,0.2975,0.6925,0.005,0.125,0.1275,0.6825,0.065,0.0441667,0.25,0.0425,0,0.0991667,0.230833,0.2275,0.105833
2550,0.1275,0.6125,0.0125,0.2475,0.0025,0.2925,0.7,0.005,0.1275,0.125,0.6875,0.06,0.0433333,0.246667,0.0416667,0.00416667,0.0975,0.233333,0.229167,0.104167
2600,0.0175,0.7225,0.01,0.25,0.005,0.285,0.71,0,0.06,0.1275,0.755,0.0575,0.0075,0.260833,0.0425,0.00333333,0.095,0.236667,0.251667,0.1025
2650,0.0125,0.7425,0.0025,0.2425,0.005,0.27,0.715,0.01,0.0325,0.1275,0.78,0.06,0.00583333,0.258333,0.0425,0.000833333,0.09,0.238333,0.26,0.104167
2700,0.01,0.7375,0.0025,0.25,0.005,0.2625,0.7225,0.01,0.0325,0.135,0.775,0.0575,0.005,0.256667,0.045,0.000833333,0.0875,0.240833,0.258333,0.105833
2750,0.005,0.7425,0.005,0.2475,0.005,0.25,0.7375,0.0075,0.0275,0.1275,0.79,0.055,0.00333333,0.256667,0.0425,0.00166667,0.0833333,0.245833,0.263333,0.103333
2800,0.0075,0.735,0.0125,0.245,0,0.2375,0.7575,0.005,0.0175,0.125,0.8,0.0575,0.0025,0.250833,0.0416667,0.00416667,0.0791667,0.2525,0.266667,0.1025
2850,0,0.7525,0,0.2475,0,0.225,0.775,0,0.0175,0.1275,0.8,0.055,0,0.256667,0.0425,0,0.075,0.258333,0.266667,0.100833
2900,0.0025,0.6725,0.1125,0.2125,0.0075,0.2925,0.695,0.005,0.0275,0.27,0.6175,0.085,0.00333333,0.233333,0.09,0.0375,0.0975,0.231667,0.205833,0.100833
