gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
1650,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166667,0.166667,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.25
1700,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166667,0.166667,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.25
1750,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166667,0.166667,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.25
1800,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166667,0.166667,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.25
1850,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166667,0.166667,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.25
1900,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166667,0.166667,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.25
1950,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166667,0.166667,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.25
2000,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166667,0.166667,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.25
2050,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166667,0.166667,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.25
2100,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166667,0.166667,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.25
2150,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166667,0.166667,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.25
2200,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166667,0.166667,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.25
