gen,full_mean,full_var,full_ci95,nocc_mean,nocc_var,nocc_ci95
50,0.07382252,2.461394113600003e-06,0.0009724038063893915,0.08090701,1.3285858168999967e-06,0.0007144155145433943
100,0.06699785,4.6889317705000035e-06,0.0013421251912378671,0.07664620999999999,2.417430846900005e-06,0.0009636805664457004
150,0.06294854,5.634959544400004e-06,0.0014713008049262754,0.07456867,3.4819070480999937e-06,0.0011565506524135005
200,0.05992538,4.439338629600006e-06,0.0013059158961997279,0.07318213,3.5389128000999973e-06,0.0011659797345093161
250,0.05732275,5.1131178805000026e-06,0.001401518949202215,0.07224355,2.969065432500003e-06,0.001067986973960451
300,0.05531967,3.668798712100005e-06,0.0011871839424623034,0.07119522,2.9606660315999975e-06,0.0010664752517988662
350,0.05371009,3.4082482289e-06,0.0011442520000481643,0.07037243,2.6606217660999973e-06,0.001010991818792306
400,0.0522924,3.377941024000002e-06,0.0011391531169161768,0.0698201,2.8251246380000005e-06,0.0010417772703097722
450,0.05126693,2.816177216100001e-06,0.0010401262612476315,0.06915304,3.6581964103999976e-06,0.001185467305757212
500,0.05047984,2.468153602399998e-06,0.0009737381002600152,0.06874111,4.1698785488999956e-06,0.001265662096827357
550,0.04974381,2.3708023028999987e-06,0.0009543413501897858,0.06805286,4.233002500400004e-06,0.0012752059600525968
600,0.04900595,2.0988347624999974e-06,0.0008979356114789072,0.06737315,4.969296310499996e-06,0.0013816674240357838
650,0.04847997,2.0588595360999987e-06,0.0008893432854574073,0.066951,5.481597695999995e-06,0.001451141127146274
700,0.048013230000000004,2.0241728721000006e-06,0.0008818198515263398,0.06643258,6.22046067560001e-06,0.001545849984034188
750,0.04746081,1.9788544908999993e-06,0.0008718926202372307,0.06602325,6.7802514145000055e-06,0.0016139087283345121
800,0.0470363,1.9901399819999994e-06,0.000874375305852767,0.06554638,7.498213385600005e-06,0.0016972076049240699
850,0.04668785,1.9606505144999997e-06,0.0008678729755271331,0.06514844,8.125962906400003e-06,0.0017668248102521726
900,0.04629883,1.7509124501000002e-06,0.0008201405530946607,0.06466122,8.381724043600005e-06,0.0017944144194107943
950,0.04597802,1.674562083600002e-06,0.0008020597047824911,0.06432365,9.058622354500009e-06,0.0018654651869452624
1000,0.04562256,1.6852504263999985e-06,0.0008046153141755527,0.06396467,1.0089203734100008e-05,0.0019687225570130134
1050,0.04533001,1.6595880789000004e-06,0.0007984656263047422,0.06361362,1.0792002903600008e-05,0.002036137479505492
1100,0.04506657,1.7093785781000015e-06,0.0008103547831430975,0.06332414,1.1371215062400007e-05,0.002090063630220761
1150,0.04481198,1.6993017255999956e-06,0.0008079627162849126,0.06281347,1.32278006221e-05,0.0022542386490755446
