gen,bandit_adaptive mean,bandit_adaptive var,fixed_ops mean,fixed_ops var
50,0.07382252,2.461394113600003e-06,0.07707252,2.3678645596000056e-06
100,0.06699785,4.6889317705000035e-06,0.07065114,3.825940234399998e-06
150,0.06294854,5.634959544400004e-06,0.06693095,5.354586010499991e-06
200,0.05992538000000001,4.439338629600005e-06,0.06403834,4.9654835863999915e-06
250,0.05732275,5.1131178805000026e-06,0.06167494999999999,4.154705260500001e-06
300,0.05531967,3.668798712100005e-06,0.05968016,3.6456276763999947e-06
350,0.05371009,3.4082482289e-06,0.05818725,2.6139633084999974e-06
400,0.052292399999999996,3.377941024000002e-06,0.057152760000000004,2.403210618399998e-06
450,0.05126693,2.816177216100001e-06,0.05623416,2.061734848399997e-06
500,0.05047984,2.468153602399998e-06,0.055462540000000005,1.970345234399997e-06
550,0.04974381,2.3708023028999987e-06,0.05481951,1.7546434408999987e-06
600,0.04900595,2.0988347624999974e-06,0.054317630000000006,1.8868643121000026e-06
650,0.04847997,2.0588595360999987e-06,0.05385372000000001,1.8491133856000015e-06
700,0.048013230000000004,2.0241728721000006e-06,0.05342937,1.8174806781000024e-06
750,0.04746081,1.9788544908999993e-06,0.052994969999999995,1.9841836321e-06
800,0.047036299999999996,1.9901399819999994e-06,0.05273002,2.002787023599998e-06
850,0.04668785,1.9606505144999997e-06,0.05246163,2.0015007161000006e-06
900,0.04629883,1.7509124501000002e-06,0.052234159999999995,2.081649304400001e-06
950,0.045978019999999994,1.674562083600002e-06,0.052130029999999994,1.983071282099999e-06
1000,0.04562256,1.6852504263999985e-06,0.05198324,2.0048722284000013e-06
1050,0.04533001,1.6595880789000004e-06,0.05185066000000001,2.1181883324000036e-06
1100,0.04506657,1.7093785781000015e-06,0.051758519999999995,2.145990129600002e-06
1150,0.04481198,1.6993017255999956e-06,0.051636930000000004,2.311903278100002e-06
1200,0.04457671,1.713151800899998e-06,0.05158296,2.379440128399998e-06
1250,0.04431561,1.8057977309000006e-06,0.05146901,2.4506977388999972e-06
1300,0.04412695,1.8038821185000003e-06,0.05140074,2.6750301043999988e-06
1350,0.04390264,1.755418716399999e-06,0.051285210000000005,2.7057798268999986e-06
1400,0.04369948,1.7236282335999989e-06,0.051225469999999995,2.624237492100001e-06
1450,0.04352571,1.8043481129000003e-06,0.051171829999999995,2.508023792100001e-06
1500,0.043349280000000004,1.8040803455999991e-06,0.051094799999999996,2.4486266220000016e-06
1550,0.043230950000000004,1.7372123084999983e-06,0.05103668,2.4732486896e-06
1600,0.04310656,1.752389814400002e-06,0.05096879,2.4374163349e-06
1650,0.04296609,1.7300457388999992e-06,0.0508909,2.446667169999997e-06
1700,0.04282128,1.7449984995999996e-06,0.0508536,2.492344527999998e-06
1750,0.04271727,1.740699980099999e-06,0.05077446,2.4872840603999957e-06
1800,0.042643310000000004,1.7265984548999977e-06,0.05074159,2.5592976569000002e-06
1850,0.0425663,1.7389218440000009e-06,0.050691980000000005,2.5667986795999997e-06
1900,0.042464550000000004,1.736743266500003e-06,0.050654639999999994,2.5741018704e-06
1950,0.04238779,1.7447482749e-06,0.050559089999999994,2.5465531248999976e-06
2000,0.04228464,1.7883261144000039e-06,0.05049601,2.4777275029e-06
2050,0.04217557,1.8746162421000012e-06,0.0504255,2.4616353239999976e-06
2100,0.04211975,1.8751259805000023e-06,0.05039551,2.412797652899999e-06
2150,0.042073929999999995,1.7976758601000016e-06,0.050369,2.4288939319999985e-06
2200,0.041992089999999996,1.7655003809000038e-06,0.05032867,2.3934163781000013e-06
2250,0.04192134,1.714500314400004e-06,0.05029736,2.4365802384000018e-06
2300,0.04181123,1.7487500581000032e-06,0.05026463,2.4335277581e-06
2350,0.04175179,1.7108710909000008e-06,0.05022839,2.4499932949e-06
2400,0.04168794,1.7001771943999994e-06,0.05018323,2.4744423240999984e-06
2450,0.04160494,1.5690523883999997e-06,0.05012813000000001,2.4567550120999996e-06
2500,0.04151546,1.586923278399999e-06,0.05007081,2.448696992899997e-06
2550,0.041446489999999996,1.5563550229000004e-06,0.050027239999999994,2.4446023983999976e-06
2600,0.041411340000000005,1.5078348063999997e-06,0.0499834,2.4538661899999995e-06
2650,0.04136495,1.5102143264999996e-06,0.04997034,2.4254169943999987e-06
2700,0.0413192,1.508517267999999e-06,0.04991423,2.393620614099997e-06
2750,0.04126201,1.4475871928999999e-06,0.04989442,2.4139233155999986e-06
2800,0.04120278,1.457811745599998e-06,0.049885479999999996,2.446583711600001e-06
2850,0.04112946,1.4805591743999996e-06,0.04982889,2.458036944900005e-06
2900,0.04107594,1.4432862703999992e-06,0.04975321,2.3471508489e-06
2950,0.04103578,1.4378309215999992e-06,0.04973484,2.323309104400002e-06
3000,0.04098702,1.4537126196e-06,0.04972683,2.306826228100001e-06
3050,0.04095939,1.4748538229000003e-06,0.04971223,2.315643866100003e-06
3100,0.040904100000000006,1.5022462799999976e-06,0.0496711,2.3598743320000027e-06
3150,0.04086148,1.498728977599998e-06,0.04965271,2.3460123369000033e-06
3200,0.04082302,1.4974811156e-06,0.04963923,2.3056100281000028e-06
3250,0.04078127,1.5192490280999996e-06,0.04961659,2.355244218899999e-06
3300,0.04074394,1.563647764400001e-06,0.04961098,2.3421216996000005e-06
3350,0.040690330000000004,1.6283549581e-06,0.049595299999999995,2.330334505999998e-06
3400,0.04066347,1.6471504100999992e-06,0.04959136,2.3320639444e-06
3450,0.04063165,1.6475690664999988e-06,0.04954916,2.2687551844e-06
3500,0.04061446,1.658593072400001e-06,0.04953432,2.248039503600002e-06
3550,0.04058986,1.6784386663999984e-06,0.04951219,2.2458362029e-06
3600,0.040570659999999995,1.6989649423999972e-06,0.049488500000000005,2.284796867999999e-06
3650,0.0405166,1.6861970279999982e-06,0.04946513,2.2426188700999986e-06
3700,0.0404729,1.7077576980000011e-06,0.04942257,2.2072144281e-06
3750,0.040421429999999994,1.7918447141000025e-06,0.04937833,2.1639856560999978e-06
3800,0.040392460000000005,1.8139506184000013e-06,0.04931993,2.1538172320999985e-06
3850,0.04032615,1.8500685385000017e-06,0.0493084,2.1609841239999997e-06
3900,0.04028484,1.8861454344000023e-06,0.04928713,2.1783490100999974e-06
3950,0.04025539,1.914243146900002e-06,0.04927035,2.1744801844999987e-06
4000,0.04023605,1.9278613905000016e-06,0.04926445,2.1761591845e-06
4050,0.04019298,1.9011576415999984e-06,0.04921567,2.1925686461000002e-06
4100,0.04016037,1.918850212100002e-06,0.04919576,2.1904027483999974e-06
4150,0.040135330000000004,1.9387169821000013e-06,0.049178719999999995,2.1642413356e-06
4200,0.04008071,1.9474515388999994e-06,0.04916893,2.1261850781000028e-06
4250,0.04004216,1.9496729104000007e-06,0.04915913,2.1306711541000015e-06
4300,0.039995249999999996,1.9504471565e-06,0.04913998,2.121068833599998e-06
4350,0.039956210000000006,1.976541680900001e-06,0.04912074,2.1354168384000043e-06
4400,0.03990085,2.020707780499999e-06,0.049107,2.1313107600000033e-06
4450,0.03986231,2.0636471289000008e-06,0.04909708,2.1428299596000017e-06
4500,0.03983169,2.1144293629e-06,0.04908397,2.143042728100003e-06
4550,0.03981392,2.144316933600002e-06,0.04906603,2.1406038881000016e-06
4600,0.03980207,2.1598528881000003e-06,0.04905384,2.1505931264000004e-06
4650,0.039764129999999995,2.1829181321000033e-06,0.049045290000000005,2.1070467069000006e-06
4700,0.0397285,2.241857543999998e-06,0.04900628,2.141812265600002e-06
4750,0.039713530000000004,2.2616896920999988e-06,0.04898743,2.1446077981000027e-06
4800,0.039693259999999994,2.2782540223999975e-06,0.04895824,2.0432198184e-06
4850,0.03968319,2.2978809928999964e-06,0.048918699999999996,2.1038589080000037e-06
4900,0.03965328,2.350596587599998e-06,0.04890284,2.073369954399999e-06
4950,0.03963466,2.3781434323999988e-06,0.04888587,2.0312288620999973e-06
5000,0.03961806,2.403917562400001e-06,0.048875270000000005,2.0077815260999996e-06
5050,0.03958968,2.4385274476000006e-06,0.048871540000000005,2.0098035104000008e-06
5100,0.03957931,2.4573769108999995e-06,0.04886517,2.023578984100001e-06
5150,0.039560490000000004,2.4913674169000004e-06,0.04886371,2.0262645849000024e-06
5200,0.039533620000000005,2.533133931600001e-06,0.04884292,2.0076044576000005e-06
5250,0.03951883,2.5647762361000034e-06,0.04882511,2.0574410329000028e-06
5300,0.03950152,2.589183491600001e-06,0.04881928,2.053926319600002e-06
5350,0.0394836,2.6078120540000023e-06,0.04880661,2.0449947969000027e-06
5400,0.03946003,2.622703476100003e-06,0.048785129999999996,2.0404564341000028e-06
5450,0.03942159,2.6702975069000027e-06,0.04876509,2.0438619549000025e-06
5500,0.0394025,2.697228754000002e-06,0.04874997,2.054594606099999e-06
5550,0.03937678,2.722136097600002e-06,0.04874026,2.090024768399998e-06
5600,0.039362350000000004,2.749460338500001e-06,0.04873155,2.0644037344999954e-06
5650,0.039350829999999996,2.770273956100001e-06,0.04872133,2.0741532280999953e-06
5700,0.03933031,2.788971708900003e-06,0.048713400000000004,2.079222797999996e-06
5750,0.039311780000000004,2.8220813396000036e-06,0.04869358,2.1252144855999974e-06
5800,0.0392966,2.851486742000002e-06,0.04868584,2.1259978383999974e-06
5850,0.03927833,2.8625783381e-06,0.04866892,2.1318897155999974e-06
5900,0.039255620000000005,2.898373379600001e-06,0.04866068,2.1321316555999967e-06
5950,0.03922445,2.9434662465000023e-06,0.048626829999999996,2.1046843140999994e-06
6000,0.03920631,2.9812197528999988e-06,0.04862644,2.1044247963999993e-06
6050,0.03919125,3.015438328499998e-06,0.04860709,2.1130238428999994e-06
6100,0.03917738,3.044940749599999e-06,0.04859824,2.1052454644000002e-06
6150,0.03916113,3.0659087921000014e-06,0.04859604,2.1003385364000004e-06
6200,0.039151000000000005,3.079739926000002e-06,0.04857412,2.0488236296000007e-06
6250,0.039136080000000004,3.111072411600001e-06,0.04857184,2.0438830724000008e-06
6300,0.03912684,3.1331118204000022e-06,0.04855222,2.021480247600001e-06
6350,0.03911196,3.1568796803999996e-06,0.048546469999999994,2.019620522100001e-06
6400,0.03910379,3.1684035808999986e-06,0.04853731,2.039812066899998e-06
6450,0.03908342,3.1896362935999994e-06,0.04853345,2.056340992499998e-06
6500,0.039074359999999995,3.1576421504e-06,0.048527310000000004,2.080506978899999e-06
6550,0.03906371,3.1729557308999997e-06,0.04851068,2.087451123599998e-06
6600,0.03905124,3.1927138464000007e-06,0.04848749,2.0865516728999967e-06
6650,0.039038630000000005,3.2033933381e-06,0.04847946,2.092878622399997e-06
6700,0.03901554,3.197488134399999e-06,0.04845729,2.124943682899998e-06
6750,0.039001469999999996,3.200186168099997e-06,0.04844743,2.136973326099998e-06
6800,0.03899049,3.180241338899997e-06,0.04842771,2.1616964688999986e-06
6850,0.0389799,3.1752466419999997e-06,0.04841846,2.1497184484000002e-06
6900,0.03896508,3.1622749635999968e-06,0.04841837,2.1495707961e-06
6950,0.03895269,3.1403664849000043e-06,0.04840314,2.1739368604000024e-06
7000,0.038929389999999994,3.1099409448999996e-06,0.04839181,2.170644170900002e-06
7050,0.038918140000000004,3.106514634400002e-06,0.048389100000000004,2.1721022960000023e-06
7100,0.03889318,3.1227104495999974e-06,0.04838408,2.1694332836000014e-06
7150,0.038883829999999994,3.127552286099999e-06,0.04837837,2.177941550099999e-06
7200,0.0388625,3.126822107999995e-06,0.04837633,2.1770795060999993e-06
7250,0.038845210000000005,3.1238470269e-06,0.04837174,2.1696860003999997e-06
7300,0.0388301,3.0825162519999977e-06,0.04836622,2.1543761556000014e-06
7350,0.038821220000000004,3.0722725556000016e-06,0.04834334,2.1510173224000034e-06
7400,0.03880486,3.0358337504e-06,0.048334909999999995,2.1723184868999978e-06
7450,0.03879746,3.0274257504000003e-06,0.04832458,2.1290243055999977e-06
7500,0.03878569,3.0200311828999993e-06,0.04831351,2.125866604900002e-06
7550,0.03877768,3.0039864415999994e-06,0.04829906,2.099796740399999e-06
