gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
1650,0.4825,0.3925,0.0025,0.1225,0.615,0.2825,0.0925,0.01,0.475,0.46,0.065,0,0.365833,0.289167,0.153333,0.000833333,0.0941667,0.0308333,0.0216667,0.0441667
1700,0.395,0.375,0.0175,0.2125,0.57,0.33,0.095,0.005,0.535,0.42,0.045,0,0.321667,0.303333,0.14,0.00583333,0.11,0.0316667,0.015,0.0725
1750,0.46,0.4,0.015,0.125,0.6025,0.2675,0.1225,0.0075,0.5,0.4225,0.0775,0,0.354167,0.3,0.140833,0.005,0.0891667,0.0408333,0.0258333,0.0441667
1800,0.4175,0.405,0.015,0.1625,0.6225,0.295,0.0725,0.01,0.595,0.3025,0.1,0.0025,0.346667,0.333333,0.100833,0.005,0.0983333,0.0241667,0.0333333,0.0583333
1850,0.435,0.2825,0.0325,0.25,0.605,0.305,0.0775,0.0125,0.4875,0.465,0.0475,0,0.346667,0.256667,0.155,0.0108333,0.101667,0.0258333,0.0158333,0.0875
1900,0.5025,0.3125,0.1125,0.0725,0.385,0.475,0.135,0.005,0.43,0.49,0.08,0,0.295833,0.2475,0.163333,0.0375,0.158333,0.045,0.0266667,0.0258333
1950,0.5025,0.335,0.1625,0,0.4475,0.44,0.1125,0,0.4425,0.4975,0.06,0,0.316667,0.259167,0.165833,0.0541667,0.146667,0.0375,0.02,0
2000,0.52,0.37,0.11,0,0.3725,0.49,0.13,0.0075,0.365,0.515,0.12,0,0.2975,0.245,0.171667,0.0366667,0.163333,0.0433333,0.04,0.0025
2050,0.535,0.3475,0.1175,0,0.3875,0.4625,0.1425,0.0075,0.4125,0.465,0.1225,0,0.3075,0.253333,0.155,0.0391667,0.154167,0.0475,0.0408333,0.0025
2100,0.525,0.3425,0.1325,0,0.515,0.4075,0.0725,0.005,0.4575,0.4325,0.11,0,0.346667,0.266667,0.144167,0.0441667,0.135833,0.0241667,0.0366667,0.00166667
