gen,blocks mean,blocks var,no_blocks mean,no_blocks var
50,55.221320000000006,0.00021935360000000805,55.33022,5.656159999999692e-05
100,55.11598,0.00012588359999998874,55.318799999999996,0.0001367299999999992
150,55.04006,0.00016525639999997514,55.30934,0.0006235564000000498
200,54.9884,0.0002998740000000384,55.30636,0.0005589503999999817
250,54.95022,0.00022137959999998666,55.3042,0.0006471219999999859
300,54.924170000000004,0.00015786009999998817,55.300929999999994,0.0006434340999999651
350,54.90041,0.00023225490000005218,55.299749999999996,0.0006500084999999747
400,54.87753,0.000253204100000038,55.29828,0.000669513599999956
450,54.85873,0.00029513210000003205,55.29384,0.0009440603999999955
500,54.84492,0.00027835559999996116,55.29111,0.0011969149000000117
550,54.83394,0.0002638723999999599,55.28855,0.0014349485000000274
600,54.82191,0.00030519090000000074,55.28592999999999,0.0018049381000000172
650,54.80978,0.00040879159999994766,55.28471999999999,0.0019932555999999857
700,54.79964,0.00044480439999999263,55.282849999999996,0.0022037164999999985
750,54.78857000000001,0.0004619761000000264,55.28171,0.002328178899999966
800,54.780499999999996,0.0004401779999999928,55.2799,0.002452543999999943
850,54.77174,0.00044833040000000126,55.278980000000004,0.0026199796000000546
900,54.76615,0.0005245805000000053,55.277930000000005,0.0028271820999999477
950,54.759389999999996,0.0005282348999999626,55.27586,0.003259794400000048
1000,54.752390000000005,0.000517936899999983,55.27431,0.003506382899999961
1050,54.745540000000005,0.0005388104000000162,55.272059999999996,0.003873942399999897
1100,54.73932,0.0004868876000000143,55.26984,0.004192110400000084
1150,54.735,0.0004526819999999804,55.26907,0.0044486821000000835
1200,54.73106,0.0005494403999999839,55.26618,0.004839745600000157
1250,54.72567,0.0004631281000000372,55.26393,0.005374866100000151
1300,54.72301,0.0004171049000000564,55.26189000000001,0.005894858899999999
1350,54.72019,0.0004068209000000414,55.2602,0.006316966000000046
1400,54.71707,0.0003829900999999928,55.258810000000004,0.006688066900000143
1450,54.713620000000006,0.00034254360000001414,55.257000000000005,0.007063888000000081
