generation,block_id,reward_mean,reward_variance,reward_min,reward_max
1,0,0.03186796942193857,0.0001032667173991491,0.005074878728375348,0.03719245739845645
1,1,0.2,7.703719777548943e-34,0.2,0.2
1,2,0.2,7.703719777548943e-34,0.2,0.2
2,0,0.003014492888500985,0.0001192663186452764,-0.001460217633342442,0.03190212268367956
2,1,0.003110205084380231,4.845802194872817e-06,0,0.006068640944641688
2,2,-0.0001595084487718206,1.031293170343337e-06,-0.001885545515666347,0.00120272943786928
3,0,2.432759810277133e-05,4.357209088394148e-09,-4.310727441910953e-06,0.0001989315122640816
3,1,0.0003175639313670409,2.792718598082934e-07,-6.024737910843847e-06,0.001604711283313906
3,2,0.001325124891794706,2.949651564563284e-06,-4.241291281385784e-06,0.005075622920697458
4,0,0.001239189259394893,1.043583640474023e-05,-0.0008216226948357338,0.006841954677410103
4,1,0.000245943708554524,3.838132675129152e-07,0,0.001884091679899058
4,2,-2.863535797169683e-05,6.58455755391505e-06,-0.003505158749988262,0.004060614491422528
5,0,-0.0004080444603881357,6.900209394303907e-08,-0.0009602170931207447,-6.264153322208801e-05
5,1,0.0003627366372766994,2.762330987711914e-07,0,0.001531251192105443
5,2,-0.0004500904467603476,4.943822040249881e-07,-0.002068854439886032,0.000366839227965991
