scale	seeds	mean	std	mean+-std
T200	1-1	0.0996154380	0.0000000000	0.0996154380 +- 0.0000000000
T200	2-2	0.1039215762	0.0000000000	0.1039215762 +- 0.0000000000
T200	3-3	0.0980658057	0.0000000000	0.0980658057 +- 0.0000000000
T200	4-4	0.1018696214	0.0000000000	0.1018696214 +- 0.0000000000
T200	5-5	0.1057334524	0.0000000000	0.1057334524 +- 0.0000000000
T200	6-6	0.1014593174	0.0000000000	0.1014593174 +- 0.0000000000
T200	7-7	0.1069396457	0.0000000000	0.1069396457 +- 0.0000000000
T200	8-8	0.1014908650	0.0000000000	0.1014908650 +- 0.0000000000
T200	9-9	0.1013998832	0.0000000000	0.1013998832 +- 0.0000000000
T200	10-10	0.1020364293	0.0000000000	0.1020364293 +- 0.0000000000
