time_seconds,generation,best_fitness,best_f1,best_f2
0.0000000000,0,0.1117153675,0.0704026540,0.1220435459
0.0155687000,1,0.0891168733,0.0774027537,0.0920454032
0.0310245000,2,0.0891168733,0.0774027537,0.0920454032
0.0549068000,3,0.0871063410,0.0725810650,0.0907376600
0.0727876000,4,0.0849046346,0.0717766037,0.0881866423
0.0868934000,5,0.0849046346,0.0717766037,0.0881866423
0.1015925000,6,0.0849046346,0.0717766037,0.0881866423
0.1185090000,7,0.0834258099,0.0774899113,0.0849097845
0.1363683000,8,0.0834258099,0.0774899113,0.0849097845
0.1540278000,9,0.0834258099,0.0774899113,0.0849097845
0.1704081000,10,0.0834258099,0.0774899113,0.0849097845
0.1883959000,11,0.0834258099,0.0774899113,0.0849097845
0.2034717000,12,0.0834258099,0.0774899113,0.0849097845
0.2205049000,13,0.0834258099,0.0774899113,0.0849097845
0.2396430000,14,0.0834258099,0.0774899113,0.0849097845
0.2627203000,15,0.0822841664,0.0785136678,0.0832267911
0.2803346000,16,0.0822841664,0.0785136678,0.0832267911
0.2992450000,17,0.0822841664,0.0785136678,0.0832267911
0.3161492000,18,0.0822841664,0.0785136678,0.0832267911
0.3335443000,19,0.0822841664,0.0785136678,0.0832267911
0.3488299000,20,0.0822841664,0.0785136678,0.0832267911
0.3671302000,21,0.0822841664,0.0785136678,0.0832267911
0.3848181000,22,0.0822841664,0.0785136678,0.0832267911
0.4046475000,23,0.0822841664,0.0785136678,0.0832267911
0.4210884000,24,0.0822841664,0.0785136678,0.0832267911
0.4401308000,25,0.0801492532,0.0765090889,0.0810592943
0.4575663000,26,0.0801492532,0.0765090889,0.0810592943
0.4741897000,27,0.0788925473,0.0736067488,0.0802139970
0.4932122000,28,0.0788925473,0.0736067488,0.0802139970
0.5117780000,29,0.0788925473,0.0736067488,0.0802139970
0.5296966000,30,0.0788925473,0.0736067488,0.0802139970
0.5536933000,31,0.0788925473,0.0736067488,0.0802139970
0.5709096000,32,0.0788925473,0.0736067488,0.0802139970
0.5874570000,33,0.0762358208,0.0666070044,0.0786430249
0.6034320000,34,0.0762358208,0.0666070044,0.0786430249
0.6214550000,35,0.0762358208,0.0666070044,0.0786430249
0.6386169000,36,0.0762358208,0.0666070044,0.0786430249
0.6581027000,37,0.0762358208,0.0666070044,0.0786430249
0.6767145000,38,0.0762358208,0.0666070044,0.0786430249
0.6952441000,39,0.0762358208,0.0666070044,0.0786430249
0.7136256000,40,0.0762358208,0.0666070044,0.0786430249
0.7332904000,41,0.0762358208,0.0666070044,0.0786430249
0.7523864000,42,0.0762358208,0.0666070044,0.0786430249
0.7706362000,43,0.0762358208,0.0666070044,0.0786430249
0.7857475000,44,0.0762358208,0.0666070044,0.0786430249
0.8095495000,45,0.0762358208,0.0666070044,0.0786430249
0.8273519000,46,0.0762358208,0.0666070044,0.0786430249
0.8445721000,47,0.0762358208,0.0666070044,0.0786430249
0.8624843000,48,0.0762358208,0.0666070044,0.0786430249
0.8824145000,49,0.0762358208,0.0666070044,0.0786430249
0.8998836000,50,0.0762358208,0.0666070044,0.0786430249
0.9179161000,51,0.0754065383,0.0655256943,0.0778767493
0.9360823000,52,0.0754065383,0.0655256943,0.0778767493
0.9538589000,53,0.0754065383,0.0655256943,0.0778767493
0.9720293000,54,0.0750397160,0.0649507134,0.0775619666
0.9914450000,55,0.0750397160,0.0649507134,0.0775619666
1.0094839000,56,0.0748331092,0.0643882917,0.0774443135
1.0274185000,57,0.0745853608,0.0639054348,0.0772553423
1.0421264000,58,0.0745853608,0.0639054348,0.0772553423
1.0596169000,59,0.0745853608,0.0639054348,0.0772553423
1.0782208000,60,0.0745853608,0.0639054348,0.0772553423
1.1008885000,61,0.0745853608,0.0639054348,0.0772553423
1.1169692000,62,0.0745853608,0.0639054348,0.0772553423
1.1360192000,63,0.0745853608,0.0639054348,0.0772553423
1.1536259000,64,0.0745853608,0.0639054348,0.0772553423
1.1766246000,65,0.0745853608,0.0639054348,0.0772553423
1.2011868000,66,0.0745853608,0.0639054348,0.0772553423
1.2265121000,67,0.0745853608,0.0639054348,0.0772553423
1.2433103000,68,0.0745853608,0.0639054348,0.0772553423
1.2612360000,69,0.0745853608,0.0639054348,0.0772553423
1.2794438000,70,0.0745853608,0.0639054348,0.0772553423
1.3007001000,71,0.0745853608,0.0639054348,0.0772553423
1.3183607000,72,0.0745853608,0.0639054348,0.0772553423
1.3375846000,73,0.0745853608,0.0639054348,0.0772553423
1.3550513000,74,0.0745853608,0.0639054348,0.0772553423
1.3741425000,75,0.0745853608,0.0639054348,0.0772553423
1.3931235000,76,0.0745853608,0.0639054348,0.0772553423
1.4140162000,77,0.0745853608,0.0639054348,0.0772553423
1.4328657000,78,0.0745853608,0.0639054348,0.0772553423
1.4525497000,79,0.0745853608,0.0639054348,0.0772553423
1.4696048000,80,0.0745853608,0.0639054348,0.0772553423
1.4888442000,81,0.0745853608,0.0639054348,0.0772553423
1.5076029000,82,0.0745853608,0.0639054348,0.0772553423
1.5282283000,83,0.0745853608,0.0639054348,0.0772553423
1.5486877000,84,0.0745853608,0.0639054348,0.0772553423
1.5667833000,85,0.0745853608,0.0639054348,0.0772553423
1.5891597000,86,0.0745853608,0.0639054348,0.0772553423
1.6058414000,87,0.0745853608,0.0639054348,0.0772553423
1.6253128000,88,0.0745853608,0.0639054348,0.0772553423
1.6431720000,89,0.0745853608,0.0639054348,0.0772553423
1.6612870000,90,0.0745853608,0.0639054348,0.0772553423
1.6846804000,91,0.0745853608,0.0639054348,0.0772553423
1.7035218000,92,0.0745853608,0.0639054348,0.0772553423
1.7207893000,93,0.0745853608,0.0639054348,0.0772553423
1.7405857000,94,0.0745853608,0.0639054348,0.0772553423
1.7605250000,95,0.0745853608,0.0639054348,0.0772553423
1.7830595000,96,0.0745853608,0.0639054348,0.0772553423
1.8033840000,97,0.0745853608,0.0639054348,0.0772553423
1.8234615000,98,0.0745853608,0.0639054348,0.0772553423
1.8409954000,99,0.0745853608,0.0639054348,0.0772553423
1.8637616000,100,0.0745280775,0.0656208364,0.0767548877
1.8832475000,101,0.0745280775,0.0656208364,0.0767548877
1.9014236000,102,0.0745280775,0.0656208364,0.0767548877
1.9233722000,103,0.0745280775,0.0656208364,0.0767548877
1.9408314000,104,0.0745280775,0.0656208364,0.0767548877
1.9608465000,105,0.0745280775,0.0656208364,0.0767548877
1.9801735000,106,0.0745280775,0.0656208364,0.0767548877
1.9979481000,107,0.0745280775,0.0656208364,0.0767548877
2.0228823000,108,0.0745280775,0.0656208364,0.0767548877
2.0429520000,109,0.0745280775,0.0656208364,0.0767548877
2.0647277000,110,0.0745280775,0.0656208364,0.0767548877
2.0815447000,111,0.0745280775,0.0656208364,0.0767548877
2.0988960000,112,0.0745280775,0.0656208364,0.0767548877
2.1212284000,113,0.0745280775,0.0656208364,0.0767548877
2.1408080000,114,0.0745280775,0.0656208364,0.0767548877
2.1642213000,115,0.0745280775,0.0656208364,0.0767548877
2.1828125000,116,0.0745280775,0.0656208364,0.0767548877
2.1997629000,117,0.0745280775,0.0656208364,0.0767548877
2.2195512000,118,0.0745280775,0.0656208364,0.0767548877
2.2388037000,119,0.0745280775,0.0656208364,0.0767548877
2.2621218000,120,0.0745280775,0.0656208364,0.0767548877
2.2826788000,121,0.0745280775,0.0656208364,0.0767548877
2.3029954000,122,0.0745280775,0.0656208364,0.0767548877
2.3196309000,123,0.0745280775,0.0656208364,0.0767548877
2.3402981000,124,0.0745280775,0.0656208364,0.0767548877
2.3639253000,125,0.0744263159,0.0656208364,0.0766276858
2.3832450000,126,0.0744074697,0.0680587174,0.0759946577
2.4040091000,127,0.0743500091,0.0680587174,0.0759228320
2.4212996000,128,0.0734896071,0.0697893077,0.0744146820
2.4389160000,129,0.0733217594,0.0697893077,0.0742048724
2.4554445000,130,0.0733079996,0.0680587174,0.0746203202
2.4712318000,131,0.0733079996,0.0680587174,0.0746203202
2.4886661000,132,0.0731145874,0.0680587174,0.0743785549
2.5061753000,133,0.0729792860,0.0680587174,0.0742094281
2.5240010000,134,0.0729792860,0.0680587174,0.0742094281
2.5431733000,135,0.0729252420,0.0680587174,0.0741418732
2.5586397000,136,0.0728821973,0.0680587174,0.0740880673
2.5762289000,137,0.0728552485,0.0680587174,0.0740543813
2.5990168000,138,0.0726653181,0.0680587174,0.0738169682
2.6175065000,139,0.0726653181,0.0680587174,0.0738169682
2.6350203000,140,0.0726074586,0.0680587174,0.0737446440
2.6533078000,141,0.0725161950,0.0680587174,0.0736305644
2.6728023000,142,0.0724528733,0.0680587174,0.0735514122
2.6902439000,143,0.0724528733,0.0680587174,0.0735514122
2.7096345000,144,0.0724528733,0.0680587174,0.0735514122
2.7297014000,145,0.0724528733,0.0680587174,0.0735514122
2.7522256000,146,0.0724415978,0.0680587174,0.0735373179
2.7705840000,147,0.0724415978,0.0680587174,0.0735373179
2.7868189000,148,0.0723894585,0.0680587174,0.0734721438
2.8037088000,149,0.0723894585,0.0680587174,0.0734721438
2.8223158000,150,0.0723781831,0.0680587174,0.0734580495
2.8384807000,151,0.0723781831,0.0680587174,0.0734580495
2.8573476000,152,0.0723781831,0.0680587174,0.0734580495
2.8753317000,153,0.0723781831,0.0680587174,0.0734580495
2.8943068000,154,0.0723781831,0.0680587174,0.0734580495
2.9170460000,155,0.0723781831,0.0680587174,0.0734580495
2.9532051000,156,0.0723781831,0.0680587174,0.0734580495
2.9902672000,157,0.0723781831,0.0680587174,0.0734580495
3.0293822000,158,0.0723781831,0.0680587174,0.0734580495
3.0659449000,159,0.0723781831,0.0680587174,0.0734580495
3.1056390000,160,0.0723781831,0.0680587174,0.0734580495
3.1397120000,161,0.0723781831,0.0680587174,0.0734580495
3.1794896000,162,0.0723781831,0.0680587174,0.0734580495
3.2251742000,163,0.0723781831,0.0680587174,0.0734580495
3.2680750000,164,0.0723781831,0.0680587174,0.0734580495
3.3050631000,165,0.0723781831,0.0680587174,0.0734580495
3.3411325000,166,0.0723781831,0.0680587174,0.0734580495
3.3759406000,167,0.0723781831,0.0680587174,0.0734580495
3.4121680000,168,0.0723781831,0.0680587174,0.0734580495
3.4506862000,169,0.0723781831,0.0680587174,0.0734580495
3.4867745000,170,0.0723781831,0.0680587174,0.0734580495
3.5246961000,171,0.0723781831,0.0680587174,0.0734580495
3.5640366000,172,0.0723781831,0.0680587174,0.0734580495
3.5974000000,173,0.0723781831,0.0680587174,0.0734580495
3.6355865000,174,0.0723781831,0.0680587174,0.0734580495
3.6755070000,175,0.0723781831,0.0680587174,0.0734580495
3.7128978000,176,0.0723781831,0.0680587174,0.0734580495
3.7469097000,177,0.0723781831,0.0680587174,0.0734580495
3.7838706000,178,0.0723781831,0.0680587174,0.0734580495
3.8178512000,179,0.0723781831,0.0680587174,0.0734580495
3.8579546000,180,0.0723781831,0.0680587174,0.0734580495
3.9005371000,181,0.0723781831,0.0680587174,0.0734580495
3.9355711000,182,0.0723781831,0.0680587174,0.0734580495
3.9727827000,183,0.0723781831,0.0680587174,0.0734580495
4.0123621000,184,0.0723781831,0.0680587174,0.0734580495
4.0591903000,185,0.0723781831,0.0680587174,0.0734580495
4.1020303000,186,0.0723781831,0.0680587174,0.0734580495
4.1422471000,187,0.0723781831,0.0680587174,0.0734580495
4.1874636000,188,0.0723781831,0.0680587174,0.0734580495
4.2234464000,189,0.0723781831,0.0680587174,0.0734580495
4.2689945000,190,0.0723781831,0.0680587174,0.0734580495
4.3023413000,191,0.0723781831,0.0680587174,0.0734580495
4.3382334000,192,0.0723781831,0.0680587174,0.0734580495
4.3882199000,193,0.0723781831,0.0680587174,0.0734580495
4.4296958000,194,0.0723781831,0.0680587174,0.0734580495
4.4695754000,195,0.0719715446,0.0668069819,0.0732626852
4.5133260000,196,0.0719715446,0.0668069819,0.0732626852
4.5524239000,197,0.0718442134,0.0668069819,0.0731035212
4.5931478000,198,0.0718442134,0.0668069819,0.0731035212
4.6365518000,199,0.0718442134,0.0668069819,0.0731035212
4.6752786000,200,0.0718442134,0.0668069819,0.0731035212
4.7122383000,201,0.0718442134,0.0668069819,0.0731035212
4.7479518000,202,0.0718442134,0.0668069819,0.0731035212
4.7901590000,203,0.0718442134,0.0668069819,0.0731035212
4.8403188000,204,0.0718442134,0.0668069819,0.0731035212
4.8847944000,205,0.0718442134,0.0668069819,0.0731035212
4.9227807000,206,0.0718442134,0.0668069819,0.0731035212
4.9608843000,207,0.0718442134,0.0668069819,0.0731035212
5.0086653000,208,0.0718442134,0.0668069819,0.0731035212
5.0556267000,209,0.0718442134,0.0668069819,0.0731035212
5.0948152000,210,0.0718442134,0.0668069819,0.0731035212
5.1361778000,211,0.0718442134,0.0668069819,0.0731035212
5.1738333000,212,0.0718442134,0.0668069819,0.0731035212
5.2106458000,213,0.0718442134,0.0668069819,0.0731035212
5.2452594000,214,0.0718442134,0.0668069819,0.0731035212
5.2846939000,215,0.0718442134,0.0668069819,0.0731035212
5.3264929000,216,0.0718442134,0.0668069819,0.0731035212
5.3662734000,217,0.0718442134,0.0668069819,0.0731035212
5.4067608000,218,0.0718442134,0.0668069819,0.0731035212
5.4480675000,219,0.0718442134,0.0668069819,0.0731035212
5.4848864000,220,0.0718442134,0.0668069819,0.0731035212
5.5282160000,221,0.0718442134,0.0668069819,0.0731035212
5.5645869000,222,0.0718442134,0.0668069819,0.0731035212
5.6021759000,223,0.0718442134,0.0668069819,0.0731035212
5.6435668000,224,0.0718442134,0.0668069819,0.0731035212
5.6923935000,225,0.0717815173,0.0639111484,0.0737491095
5.7290511000,226,0.0717815173,0.0639111484,0.0737491095
5.7648949000,227,0.0717815173,0.0639111484,0.0737491095
5.7991331000,228,0.0714031618,0.0666704924,0.0725863292
5.8327655000,229,0.0712806283,0.0668514556,0.0723879215
5.8725603000,230,0.0710876801,0.0636118805,0.0729566300
5.9079267000,231,0.0710876801,0.0636118805,0.0729566300
5.9358850000,232,0.0704758634,0.0635990760,0.0721950602
5.9735583000,233,0.0704758634,0.0635990760,0.0721950602
6.0114552000,234,0.0704758634,0.0635990760,0.0721950602
6.0479942000,235,0.0700565049,0.0634230631,0.0717148654
6.0883283000,236,0.0699482278,0.0634230631,0.0715795190
6.1238383000,237,0.0698889599,0.0634230631,0.0715054342
6.1549309000,238,0.0698715600,0.0634230631,0.0714836842
6.1965876000,239,0.0698190502,0.0630688621,0.0715065972
6.2379563000,240,0.0698127984,0.0630688621,0.0714987825
6.2746696000,241,0.0697091405,0.0630688621,0.0713692102
6.3110624000,242,0.0696609947,0.0630682887,0.0713091711
6.3485771000,243,0.0696570719,0.0630688621,0.0713041244
6.3961387000,244,0.0696054659,0.0630688621,0.0712396169
6.4294573000,245,0.0696054659,0.0630688621,0.0712396169
6.4747235000,246,0.0696054659,0.0630688621,0.0712396169
6.5150447000,247,0.0696054659,0.0630688621,0.0712396169
6.5555939000,248,0.0695577557,0.0630688621,0.0711799791
6.5964033000,249,0.0695577557,0.0630688621,0.0711799791
6.6370199000,250,0.0695577557,0.0630688621,0.0711799791
6.6755204000,251,0.0695577557,0.0630688621,0.0711799791
6.7131232000,252,0.0695577557,0.0630688621,0.0711799791
6.7490697000,253,0.0695577557,0.0630688621,0.0711799791
6.7863222000,254,0.0695577557,0.0630688621,0.0711799791
6.8258726000,255,0.0695577557,0.0630688621,0.0711799791
6.8657780000,256,0.0695577557,0.0630688621,0.0711799791
6.9035872000,257,0.0695577557,0.0630688621,0.0711799791
6.9458485000,258,0.0695577557,0.0630688621,0.0711799791
6.9828148000,259,0.0695577557,0.0630688621,0.0711799791
7.0184229000,260,0.0695577557,0.0630688621,0.0711799791
7.0645194000,261,0.0695577557,0.0630688621,0.0711799791
7.1064640000,262,0.0695577557,0.0630688621,0.0711799791
7.1508237000,263,0.0695577557,0.0630688621,0.0711799791
7.1895241000,264,0.0695577557,0.0630688621,0.0711799791
7.2258180000,265,0.0695577557,0.0630688621,0.0711799791
7.2649738000,266,0.0695577557,0.0630688621,0.0711799791
7.3035934000,267,0.0695577557,0.0630688621,0.0711799791
7.3538590000,268,0.0695577557,0.0630688621,0.0711799791
7.4061166000,269,0.0695577557,0.0630688621,0.0711799791
7.4493965000,270,0.0695577557,0.0630688621,0.0711799791
7.4850725000,271,0.0695577557,0.0630688621,0.0711799791
7.5229130000,272,0.0695577557,0.0630688621,0.0711799791
7.5623361000,273,0.0695577557,0.0630688621,0.0711799791
7.6030092000,274,0.0695577557,0.0630688621,0.0711799791
7.6425056000,275,0.0695577557,0.0630688621,0.0711799791
