Scale,Threshold,Config,N,HitGen_Mean,HitGen_Std,Mean+-Std
T200,995.7999,CCHIHH_stable_migration_on,10,8450.00,1399.21,8450.00+-1399.21
T200,995.7999,CCHIHH_stable_migration_off,10,10000.00,0.00,10000.00+-0.00
