config,mean,std,best,median,worst,mean±std
migration_true,0.038271,0.0019312648601370035,0.0364965,0.03758,0.0419295,0.038271 ± 0.001931
migration_false,0.04524567,0.003833722721686816,0.0398658,0.045202149999999996,0.0528554,0.045246 ± 0.003834
