gen,use_blocks_true mean,use_blocks_true var,use_blocks_false mean,use_blocks_false var
50,0.3790931,7.578122900000046e-07,0.3867969,1.8062168999999828e-07
100,0.3720408,1.0811355600000012e-06,0.3854796,5.241730400000034e-07
150,0.3662324,6.473916400000139e-07,0.3845014,2.0042766399999826e-06
200,0.36261329999999997,5.324316099999934e-07,0.3833719,7.246035889999977e-06
250,0.3604811,8.054466900000105e-07,0.3827041,1.1211471090000048e-05
300,0.3590311,7.993192900000049e-07,0.3824592,1.238888516000002e-05
350,0.35797310000000004,5.076078899999986e-07,0.3823182,1.270241335999998e-05
400,0.3569559,6.323494900000035e-07,0.38195870000000004,1.2627811010000006e-05
450,0.3561105,7.834638499999995e-07,0.3815195,1.3996059649999988e-05
500,0.3552281,6.858166899999904e-07,0.3813316,1.4732620239999992e-05
550,0.3543784,6.176646400000001e-07,0.3810866,1.5732833639999965e-05
600,0.35377200000000003,6.916287999999968e-07,0.3809211,1.670735888999992e-05
650,0.353145,6.216430000000102e-07,0.38067609999999996,1.810247529e-05
700,0.35246900000000003,6.113990000000077e-07,0.3805964,1.846897703999994e-05
750,0.3520114,4.804270399999938e-07,0.3803718,1.934452535999998e-05
800,0.3516376,5.569380400000003e-07,0.3801676,2.0265624239999955e-05
850,0.3511149,9.262774900000228e-07,0.3799675,2.1203332249999977e-05
900,0.35073889999999996,1.0266842900000066e-06,0.3796815,2.2948589450000032e-05
950,0.35031219999999996,9.960919599999938e-07,0.3793812,2.3725637559999953e-05
1000,0.3498833,1.2407640100000033e-06,0.37924440000000004,2.518750563999995e-05
1050,0.3496464,1.2639290399999866e-06,0.3790523,2.6936828409999907e-05
1100,0.3493215,1.1387444499999732e-06,0.3787581,2.8109213889999907e-05
1150,0.34910929999999996,8.921698099999989e-07,0.3786518,2.91187577599999e-05
1200,0.3488294,8.587440400000075e-07,0.378511,3.0226219599999946e-05
1250,0.3485598,6.846549600000035e-07,0.3784375,3.123165384999992e-05
1300,0.34834740000000003,5.869806400000052e-07,0.3782905,3.2838458849999954e-05
1350,0.3481675,6.319600499999995e-07,0.37822089999999997,3.3914290889999995e-05
1400,0.3479285,5.412292499999972e-07,0.3781577,3.467861760999994e-05
