=== CED_Schedule Configuration ===
Data directory: ".\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 8
Pini (heuristic prob): 0.4
Solver: CCHIHH
Migration: disabled
=================================
[Initial] Loading data from: ".\\data\\data_matrix_100.txt"
Gen 2400: best_fit = 55.595
Gen 2450: best_fit = 55.5907
Gen 2500: best_fit = 55.5793
Gen 2550: best_fit = 55.562
Gen 2600: best_fit = 55.5469
Gen 2650: best_fit = 55.5395
Gen 2700: best_fit = 55.5395
Gen 2750: best_fit = 55.5386
Gen 2800: best_fit = 55.5377
Gen 2850: best_fit = 55.5337
Gen 2900: best_fit = 55.5294
Gen 2950: best_fit = 55.5294
Gen 3000: best_fit = 55.5294
Gen 3050: best_fit = 55.5294
Gen 3100: best_fit = 55.5223
Gen 3150: best_fit = 55.5189
Gen 3200: best_fit = 55.5109
Gen 3250: best_fit = 55.5038
Gen 3300: best_fit = 55.5004
Gen 3350: best_fit = 55.5004
Gen 3400: best_fit = 55.4964
Gen 3450: best_fit = 55.4946
Gen 3500: best_fit = 55.4912
Gen 3550: best_fit = 55.4909
Gen 3600: best_fit = 55.4878
Gen 3650: best_fit = 55.4869
Gen 3700: best_fit = 55.4798
Gen 3750: best_fit = 55.4721
Gen 3800: best_fit = 55.4715
Gen 3850: best_fit = 55.4647
Gen 3900: best_fit = 55.4582
Gen 3950: best_fit = 55.4462
Gen 4000: best_fit = 55.4391
Gen 4050: best_fit = 55.4345
Gen 4100: best_fit = 55.4299
Gen 4150: best_fit = 55.425
Gen 4200: best_fit = 55.42
Gen 4250: best_fit = 55.412
Gen 4300: best_fit = 55.4043
Gen 4350: best_fit = 55.396
Gen 4400: best_fit = 55.3883
Gen 4450: best_fit = 55.3787
Gen 4500: best_fit = 55.375
Gen 4550: best_fit = 55.3707
Gen 4600: best_fit = 55.3643
Gen 4650: best_fit = 55.3612
Gen 4700: best_fit = 55.3535
Gen 4750: best_fit = 55.3529
Gen 4800: best_fit = 55.3482
Gen 4850: best_fit = 55.3442
Gen 4900: best_fit = 55.3433
Gen 4950: best_fit = 55.339
Gen 5000: best_fit = 55.3347
Gen 5050: best_fit = 55.3279
Gen 5100: best_fit = 55.3248
Gen 5150: best_fit = 55.3214
Gen 5200: best_fit = 55.3214
Gen 5250: best_fit = 55.3178
Gen 5300: best_fit = 55.3171
Gen 5350: best_fit = 55.3141
Gen 5400: best_fit = 55.3131
Gen 5450: best_fit = 55.3094
Gen 5500: best_fit = 55.3054
Gen 5550: best_fit = 55.3014
Gen 5600: best_fit = 55.3014
Gen 5650: best_fit = 55.2983
Gen 5700: best_fit = 55.2983
Gen 5750: best_fit = 55.2922
Gen 5800: best_fit = 55.2885
Gen 5850: best_fit = 55.2836
Gen 5900: best_fit = 55.2799
Gen 5950: best_fit = 55.2728
Gen 6000: best_fit = 55.2728
Gen 6050: best_fit = 55.2725
Gen 6100: best_fit = 55.2685
Gen 6150: best_fit = 55.262
Gen 6200: best_fit = 55.262
Gen 6250: best_fit = 55.2586
Gen 6300: best_fit = 55.25
Gen 6350: best_fit = 55.2457
Gen 6400: best_fit = 55.2457
Gen 6450: best_fit = 55.2417
Gen 6500: best_fit = 55.2383
Gen 6550: best_fit = 55.2346
Gen 6600: best_fit = 55.2343
Gen 6650: best_fit = 55.2333
Gen 6700: best_fit = 55.233
Gen 6750: best_fit = 55.2287
Gen 6800: best_fit = 55.2232
Gen 6850: best_fit = 55.217
Gen 6900: best_fit = 55.217
Gen 6950: best_fit = 55.2167
Gen 7000: best_fit = 55.2158
Gen 7050: best_fit = 55.2149
Gen 7100: best_fit = 55.2121
Gen 7150: best_fit = 55.2047
Gen 7200: best_fit = 55.2047
Gen 7250: best_fit = 55.2004
Gen 7300: best_fit = 55.2001
Gen 7350: best_fit = 55.1964
Gen 7400: best_fit = 55.1964
Gen 7450: best_fit = 55.1961
Gen 7500: best_fit = 55.1921
Gen 7550: best_fit = 55.1921
Gen 7600: best_fit = 55.1921
Gen 7650: best_fit = 55.1911
Gen 7700: best_fit = 55.1908
Gen 7750: best_fit = 55.1865
Gen 7800: best_fit = 55.1828
Gen 7850: best_fit = 55.1785
Gen 7900: best_fit = 55.1782
Gen 7950: best_fit = 55.1745
Gen 8000: best_fit = 55.1745
Gen 8050: best_fit = 55.1727
Gen 8100: best_fit = 55.172
Gen 8150: best_fit = 55.172
Gen 8200: best_fit = 55.172
Gen 8250: best_fit = 55.1717
Gen 8300: best_fit = 55.1683
Gen 8350: best_fit = 55.1683
Gen 8400: best_fit = 55.1647
Gen 8450: best_fit = 55.1647
Gen 8500: best_fit = 55.1613
Gen 8550: best_fit = 55.1613
Gen 8600: best_fit = 55.1613
Gen 8650: best_fit = 55.161
Gen 8700: best_fit = 55.161
Gen 8750: best_fit = 55.161
Gen 8800: best_fit = 55.161
Gen 8850: best_fit = 55.1579
Gen 8900: best_fit = 55.1579
Gen 8950: best_fit = 55.1579
Gen 9000: best_fit = 55.1579
Gen 9050: best_fit = 55.1579
Gen 9100: best_fit = 55.1579
Gen 9150: best_fit = 55.1579
Gen 9200: best_fit = 55.1514
Gen 9250: best_fit = 55.1514
Gen 9300: best_fit = 55.1514
Gen 9350: best_fit = 55.1508
Gen 9400: best_fit = 55.1508
Gen 9450: best_fit = 55.1477
Gen 9500: best_fit = 55.1477
Gen 9550: best_fit = 55.1474
Gen 9600: best_fit = 55.1465
Gen 9650: best_fit = 55.1462
Gen 9700: best_fit = 55.1462
Gen 9750: best_fit = 55.1462
Gen 9800: best_fit = 55.1425
Gen 9850: best_fit = 55.1425
Gen 9900: best_fit = 55.1425
Gen 9950: best_fit = 55.1422
Gen 10000: best_fit = 55.1422

=== Final Results (CC-HIHH-UCB) ===
Solver: CCHIHH
Subpopulations per block: 8
Generations = 10000
The best solution = 55.1422
Time = 76.02 s

