gen,blocks mean,blocks var,no_blocks mean,no_blocks var
50,2000.1950000000002,1025.1686850000017,2076.105,1700.0774249999981
100,1877.6599999999999,877.3297799999997,2053.541,1955.304808999997
150,1800.357,664.5560410000004,2041.063,2415.556781000002
200,1750.616,728.5405239999985,2030.685,2588.5193050000025
250,1704.941,782.1005889999994,2024.771,2350.4345089999997
300,1668.86,964.276299999999,2018.673,2328.531540999996
350,1634.4540000000002,916.8672640000004,2012.0549999999998,1872.2568849999964
400,1607.249,1167.5550490000007,2001.839,1824.646728999997
450,1584.9119999999998,1060.3761559999996,1991.1259999999997,3242.3993639999967
500,1566.018,1256.296415999998,1986.882,3242.7413959999985
550,1548.566,1324.195384,1979.5759999999998,3120.5551040000023
600,1533.002,1306.8766760000008,1975.381,3074.3588690000015
650,1520.133,1451.4036409999985,1969.752,3158.531616000003
700,1507.3899999999999,1648.1124600000028,1965.7459999999999,3246.4417439999997
750,1495.202,1986.8508560000005,1962.757,3215.3702610000023
800,1485.3709999999999,2058.6929490000025,1960.4720000000002,3278.3351960000014
850,1475.797,2159.5306009999986,1955.8080000000002,3419.1625759999974
900,1468.224,2292.515864000003,1951.56,3392.231319999998
950,1460.581,2473.4560290000004,1945.2810000000002,3735.3525889999983
1000,1456.054,2586.468863999997,1936.89,3764.788439999998
1050,1449.875,2695.138565000001,1934.868,3812.3203959999983
1100,1444.864,2741.1204839999973,1931.8080000000002,3805.5273160000033
1150,1440.45,2803.1997400000005,1929.9239999999998,3864.299764000003
1200,1434.977,3003.4914609999987,1927.5760000000002,3942.421604000005
1250,1428.645,3219.1102649999975,1924.306,4002.782284000001
1300,1422.8229999999999,3255.6099810000005,1920.44,4124.386380000002
1350,1417.133,3185.0780609999993,1910.839,4412.723429000003
1400,1411.4789999999998,3537.4777290000006,1906.984,4561.742644000002
1450,1407.102,3716.7254760000033,1904.941,4608.605349000004
1500,1403.739,3848.1903690000013,1899.7920000000001,4573.962516000001
1550,1399.993,3932.198461000006,1894.839,4548.315829000004
1600,1397.492,3978.769235999999,1889.5420000000001,4708.934976000005
1650,1393.5459999999998,4166.408643999997,1886.55,4833.220640000004
1700,1390.718,4307.849636000003,1882.607,4907.8934810000055
1750,1387.902,4419.5086360000005,1879.791,4982.024369000004
1800,1385.5430000000001,4471.050341000006,1877.1080000000002,5019.436776000002
1850,1382.345,4536.783685000003,1874.744,5083.035744000008
1900,1379.048,4647.736595999998,1871.484,5203.8284440000025
1950,1374.326,4916.562364000003,1869.4150000000002,5277.946885000004
2000,1369.091,5028.939209000001,1867.35,5316.848160000003
2050,1366.455,5182.554105000005,1865.716,5354.549544000004
2100,1364.231,5269.131148999997,1863.128,5378.836556000006
2150,1362.318,5255.6718759999985,1861.0189999999998,5553.858749000006
2200,1360.227,5306.7125609999985,1858.8229999999999,5724.209861000005
2250,1358.3200000000002,5374.761819999998,1855.3139999999999,5929.988364000004
2300,1356.138,5379.557635999993,1852.1299999999999,5937.614060000003
