gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
1650,0.3475,0.485,0.1675,0,0,0.1025,0.8975,0,0.08,0.8,0.1175,0.0025,0.115833,0.188333,0.266667,0.0558333,0.0341667,0.299167,0.0391667,0.000833333
1700,0.51,0.46,0.025,0.005,0.005,0.025,0.9575,0.0125,0.14,0.79,0.06,0.01,0.171667,0.2,0.263333,0.00833333,0.00833333,0.319167,0.02,0.00916667
1750,0.3,0.56,0.14,0,0.0025,0.0675,0.9275,0.0025,0.1175,0.745,0.135,0.0025,0.100833,0.225833,0.248333,0.0466667,0.0225,0.309167,0.045,0.00166667
1800,0.62,0.3775,0.0025,0,0.0075,0.0025,0.99,0,0.1475,0.8125,0.04,0,0.209167,0.175,0.270833,0.000833333,0.000833333,0.33,0.0133333,0
1850,0.49,0.44,0.065,0.005,0.0025,0.03,0.965,0.0025,0.12,0.7875,0.09,0.0025,0.164167,0.186667,0.2625,0.0216667,0.01,0.321667,0.03,0.00333333
1900,0.465,0.4475,0.085,0.0025,0.0075,0.0525,0.9325,0.0075,0.1725,0.7175,0.11,0,0.1575,0.206667,0.239167,0.0283333,0.0175,0.310833,0.0366667,0.00333333
1950,0.46,0.4875,0.0475,0.005,0.0075,0.03,0.96,0.0025,0.1775,0.6875,0.1325,0.0025,0.155833,0.221667,0.229167,0.0158333,0.01,0.32,0.0441667,0.00333333
2000,0.505,0.48,0.005,0.01,0.01,0.005,0.98,0.005,0.225,0.745,0.0275,0.0025,0.171667,0.235,0.248333,0.00166667,0.00166667,0.326667,0.00916667,0.00583333
2050,0.365,0.5475,0.085,0.0025,0.0025,0,0.9925,0.005,0.1275,0.7,0.17,0.0025,0.1225,0.225,0.233333,0.0283333,0,0.330833,0.0566667,0.00333333
2100,0.44,0.4775,0.08,0.0025,0.0075,0.03,0.96,0.0025,0.1425,0.7225,0.135,0,0.149167,0.206667,0.240833,0.0266667,0.01,0.32,0.045,0.00166667
