gen,op_id,w0,w1,w2,w3,w4,w5,w6,norm
50,0,-2.011649801327341e-05,-1.905276649551676e-05,-5.443776227214818e-07,0.000528114656178118,-0.0004834248681083773,0.002431957529923759,0.004862761047806434,0.005483998095034551
50,1,-3.614274539192216e-07,-1.833303052354422e-07,0.0001105371068574854,4.767986451192622e-06,0.0001945507634326222,7.200491569166518e-05,0.0001032231684365939,0.0002567704809067751
50,2,1.541666228322101e-08,-5.503233181666267e-09,2.459122583544509e-05,5.795217605641529e-06,9.1408970602237e-05,4.795798507554529e-05,9.545658537755372e-05,0.0001428490151669052
50,3,0,0,0,0,0,0,0,0
100,0,-4.741711796753311e-05,-2.5182583935267e-05,-1.56363228619571e-06,0.0005277895752065239,-0.001314498823576813,0.000328832782732095,0.0006574991556061516,0.001596806225582671
100,1,-4.822390729909542e-07,-2.10291791038397e-07,0.000110533685964306,4.76604265753434e-06,0.0001907254439199652,6.356988519285393e-05,8.63544892043405e-05,0.0002451838305033045
100,2,6.883087712614422e-08,-7.925870148732126e-09,2.459359170623085e-05,5.796411259031552e-06,9.353748601592424e-05,5.082196866060302e-05,0.000101188767854877,0.0001490293543759498
100,3,0,0,0,0,0,0,0,0
150,0,-5.181744100891116e-05,-2.585788441617955e-05,-1.614813177787881e-06,0.000527685138442563,-0.001365410339244926,0.0001432389106560686,0.0002863839024558677,0.001499562072727459
150,1,-7.635204751318742e-07,-2.365015086916979e-07,0.0001105304012912892,4.763712140531239e-06,0.0001862865078657534,5.278124923480754e-05,6.477898260092555e-05,0.0002322178746993136
150,2,-1.348114581861272e-07,-2.042108206796154e-08,2.458550705110469e-05,5.770130595729337e-06,8.964603598266359e-05,4.267909731067085e-05,8.491760255945092e-05,0.0001330664363928979
150,3,0,0,0,0,0,0,0,0
200,0,-5.2091987685226e-05,-2.586004066677495e-05,-1.614739182131886e-06,0.0005276007563026736,-0.001366425009374453,0.0001353954424825077,0.0002706943667379461,0.001496820682176302
200,1,-1.331104813142547e-06,-2.627300641711578e-07,0.0001105249783463364,4.721352646774215e-06,0.0001783405569162169,3.626692142319985e-05,3.175797535608732e-05,0.0002153348919841008
