gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
1650,0.0025,0.9775,0.015,0.005,0.0225,0.1175,0.855,0.005,0.6025,0.385,0.01,0.0025,0.00833333,0.526667,0.128333,0.005,0.0391667,0.285,0.00333333,0.00416667
1700,0,0.92,0.0775,0.0025,0,0.1375,0.8575,0.005,0.495,0.4775,0.0275,0,0,0.471667,0.159167,0.0258333,0.0458333,0.285833,0.00916667,0.0025
1750,0.0075,0.9825,0,0.01,0.005,0.14,0.8475,0.0075,0.625,0.3675,0.005,0.0025,0.00416667,0.535833,0.1225,0,0.0466667,0.2825,0.00166667,0.00666667
1800,0.0075,0.89,0.1,0.0025,0.0125,0.1625,0.815,0.01,0.435,0.455,0.0425,0.0675,0.00666667,0.441667,0.151667,0.0333333,0.0541667,0.271667,0.0141667,0.0266667
1850,0.01,0.8275,0.16,0.0025,0.0075,0.18,0.81,0.0025,0.33,0.4925,0.1175,0.06,0.00583333,0.385833,0.164167,0.0533333,0.06,0.27,0.0391667,0.0216667
1900,0.01,0.9,0.09,0,0.2025,0.0875,0.71,0,0.4475,0.415,0.07,0.0675,0.0708333,0.449167,0.138333,0.03,0.0291667,0.236667,0.0233333,0.0225
1950,0.0025,0.8925,0.1025,0.0025,0.135,0.09,0.7675,0.0075,0.395,0.45,0.095,0.06,0.0458333,0.429167,0.15,0.0341667,0.03,0.255833,0.0316667,0.0233333
2000,0.0075,0.885,0.105,0.0025,0.18,0.09,0.7225,0.0075,0.39,0.4525,0.095,0.0625,0.0625,0.425,0.150833,0.035,0.03,0.240833,0.0316667,0.0241667
2050,0.0025,0.89,0.1,0.0075,0.1275,0.0875,0.7775,0.0075,0.5025,0.46,0.035,0.0025,0.0433333,0.464167,0.153333,0.0333333,0.0291667,0.259167,0.0116667,0.00583333
2100,0.0075,0.89,0.1,0.0025,0.0275,0.0925,0.8775,0.0025,0.4725,0.4625,0.055,0.01,0.0116667,0.454167,0.154167,0.0333333,0.0308333,0.2925,0.0183333,0.005
2150,0.0025,0.895,0.1,0.0025,0.005,0.0875,0.8925,0.015,0.4,0.4275,0.125,0.0475,0.0025,0.431667,0.1425,0.0333333,0.0291667,0.2975,0.0416667,0.0216667
2200,0,0.9875,0.0075,0.005,0.0025,0.065,0.925,0.0075,0.495,0.37,0.0675,0.0675,0.000833333,0.494167,0.123333,0.0025,0.0216667,0.308333,0.0225,0.0266667
2250,0.0075,0.88,0.1125,0,0.0075,0.18,0.8125,0,0.37,0.46,0.1025,0.0675,0.005,0.416667,0.153333,0.0375,0.06,0.270833,0.0341667,0.0225
2300,0.0025,0.8975,0.095,0.005,0.005,0.1675,0.8225,0.005,0.4125,0.4175,0.11,0.06,0.0025,0.436667,0.139167,0.0316667,0.0558333,0.274167,0.0366667,0.0233333
2350,0.01,0.785,0.205,0,0.0325,0.305,0.6575,0.005,0.4,0.41,0.1275,0.0625,0.0141667,0.395,0.136667,0.0683333,0.101667,0.219167,0.0425,0.0225
2400,0.0025,0.98,0.01,0.0075,0.125,0.0125,0.86,0.0025,0.495,0.37,0.0675,0.0675,0.0425,0.491667,0.123333,0.00333333,0.00416667,0.286667,0.0225,0.0258333
2450,0.005,0.8825,0.1075,0.005,0.13,0.03,0.8375,0.0025,0.3975,0.43,0.11,0.0625,0.045,0.426667,0.143333,0.0358333,0.01,0.279167,0.0366667,0.0233333
2500,0.005,0.98,0.01,0.005,0.0975,0,0.8975,0.005,0.4975,0.375,0.0625,0.065,0.0341667,0.4925,0.125,0.00333333,0,0.299167,0.0208333,0.025
2550,0.01,0.985,0.0025,0.0025,0.005,0.0375,0.9525,0.005,0.4925,0.375,0.07,0.0625,0.005,0.4925,0.125,0.000833333,0.0125,0.3175,0.0233333,0.0233333
2600,0.015,0.8275,0.15,0.0075,0.005,0.415,0.58,0,0.495,0.3525,0.0925,0.06,0.00666667,0.440833,0.1175,0.05,0.138333,0.193333,0.0308333,0.0225
