gen,migration_on mean,migration_on var,migration_off mean,migration_off var
50,1505.8120000000001,3980.5325760000014,1558.5529999999999,1738.9596209999993
100,1399.7450000000001,3143.1185450000025,1519.54,1056.738639999998
150,1339.1709999999998,2647.500789,1499.0620000000001,976.4010960000003
200,1273.029,2014.4618289999974,1467.694,703.3280440000003
250,1239.984,2164.2898040000023,1438.971,833.8318489999999
300,1208.497,1827.1847809999986,1419.604,950.1272440000005
350,1187.261,2042.342248999999,1404.227,1072.1356009999995
400,1170.941,1993.2321289999993,1391.0430000000001,1245.115280999999
450,1156.093,2244.524720999999,1368.584,1662.6787839999974
500,1144.6100000000001,2426.835340000002,1357.5300000000002,1382.943059999999
550,1135.165,2774.0609249999984,1346.478,1211.5279360000002
600,1125.426,2840.1984839999977,1330.912,1033.484535999997
650,1116.71,2988.717459999997,1319.798,910.4155360000007
700,1111.101,3119.8359289999994,1311.5700000000002,712.480200000001
750,1103.486,3218.6939040000007,1302.1309999999999,560.3442490000017
800,1096.466,2507.9277239999988,1290.42,426.01285999999925
850,1091.0610000000001,2029.1571090000004,1285.269,500.63268900000156
900,1084.998,1706.7987159999989,1283.337,446.6788010000014
950,1081.021,1529.353368999999,1276.6299999999999,393.736780000001
1000,1076.033,1170.1257410000032,1272.81,478.97277999999994
1050,1072.724,1120.8127240000003,1267.7540000000001,515.5558440000002
1100,1071.218,1100.1301559999988,1261.545,639.791044999999
1150,1066.187,930.7732610000003,1256.228,624.264016000001
1200,1060.6380000000001,664.5543360000003,1252.8,593.6653799999992
1250,1056.472,612.5873559999993,1247.252,432.3523559999993
1300,1052.4360000000001,627.0014640000004,1243.53,538.619919999999
1350,1049.08,539.7786999999995,1237.801,693.9137289999979
1400,1047.303,538.418281,1233.033,667.415860999999
1450,1044.885,417.20890500000104,1230.4950000000001,702.8460850000004
1500,1043.71,383.60323999999855,1229.481,745.716709
1550,1041.899,333.6022489999997,1228.401,740.5154889999992
1600,1039.667,286.5158209999981,1224.8600000000001,706.2457600000007
1650,1037.792,203.57163599999961,1222.1129999999998,758.0287609999989
1700,1034.46,138.64990000000049,1220.974,758.4394239999984
1750,1033.694,134.96736399999963,1219.847,793.5355409999993
1800,1032.1770000000001,133.90926099999953,1219.6100000000001,780.3390400000006
1850,1031.467,131.2210210000002,1217.896,825.4074640000006
1900,1030.77,117.75824000000034,1216.158,712.4300360000005
1950,1030.214,114.33400400000009,1210.5639999999999,792.892463999999
2000,1029.6299999999999,111.40349999999998,1208.397,820.4731209999993
2050,1028.3120000000001,84.95537599999987,1206.5040000000001,744.0211039999997
2100,1027.599,78.62480900000043,1203.915,830.0522649999996
2150,1026.038,44.14149599999985,1202.567,857.4375609999981
2200,1025.3600000000001,41.16387999999984,1199.508,789.8692959999994
2250,1024.609,45.754308999999566,1197.868,829.6702360000006
2300,1024.085,43.760065000000104,1195.139,769.7579290000004
2350,1023.4010000000001,41.15508900000004,1193.325,741.5852649999995
2400,1022.448,33.82377599999964,1192.601,749.224709
2450,1021.3280000000001,25.456995999999997,1189.941,787.2563090000015
2500,1020.2819999999999,22.642476000000123,1186.5040000000001,741.3986839999995
2550,1019.568,25.5016560000001,1184.5120000000002,847.6324359999999
2600,1019.2539999999999,26.015543999999828,1184.057,853.9135610000006
2650,1018.9119999999999,25.93861599999998,1183.279,871.1394890000001
2700,1018.3460000000001,22.9860840000002,1182.067,895.7819410000009
2750,1017.376,19.28942399999981,1181.075,898.0209449999996
2800,1016.976,22.489263999999928,1179.04,929.9935000000007
2850,1016.631,22.47900899999984,1176.526,951.3323240000003
2900,1016.3209999999999,22.894249,1174.583,1015.7331810000012
2950,1016.108,23.999696000000025,1171.965,1132.4129650000023
3000,1015.7,25.115120000000125,1171.2289999999998,1133.577729000002
3050,1015.3950000000001,25.078285000000008,1170.6200000000001,1125.8043599999994
3100,1015.208,24.887216000000013,1169.825,1125.2078250000013
3150,1014.9200000000001,24.500799999999977,1169.0369999999998,1129.0258810000034
3200,1014.6959999999999,24.02558400000017,1167.975,1162.1797050000011
3250,1014.235,25.978205000000127,1166.036,1191.8974640000004
3300,1013.751,28.863068999999882,1165.3049999999998,1246.2756250000007
3350,1013.2950000000001,30.639645000000094,1164.993,1251.299241000001
3400,1012.402,29.392516000000068,1164.682,1265.109136000001
3450,1011.9540000000001,30.945244000000137,1162.433,1337.2174410000014
3500,1011.6690000000001,30.375709000000064,1161.738,1355.3529360000002
3550,1011.414,30.8683839999999,1161.209,1362.7162090000018
3600,1011.2030000000001,30.091060999999836,1160.268,1397.0924560000017
3650,1010.997,30.248961000000087,1159.572,1446.2665560000003
3700,1010.79,29.57856000000016,1158.6709999999998,1490.0294890000027
3750,1010.5629999999999,29.908680999999945,1158.406,1487.463464000001
3800,1010.2450000000001,30.664244999999898,1157.645,1522.6070050000017
3850,1010.0469999999999,29.970661000000007,1156.875,1554.6244250000004
3900,1009.686,31.96484400000005,1156.67,1561.1524200000013
3950,1009.473,31.322060999999756,1155.3539999999998,1647.0031640000009
4000,1009.3,31.644240000000043,1153.85,1742.4433000000015
4050,1009.122,31.875876000000016,1152.979,1767.2716090000013
4100,1008.924,32.26254400000008,1151.471,1894.881909000003
4150,1008.6299999999999,32.18561999999984,1150.782,1931.4055360000016
4200,1008.269,33.21538900000006,1149.354,1929.9585439999996
4250,1007.902,32.405576000000096,1149.194,1937.6165440000022
4300,1007.71,32.90440000000008,1148.959,1930.5819089999982
4350,1007.5120000000001,32.386095999999974,1147.734,2040.0454239999976
4400,1007.3639999999999,32.556244000000056,1147.375,2058.108545
4450,1007.2239999999999,32.50370400000008,1146.058,1966.6858159999997
4500,1007.0630000000001,33.03952100000017,1145.855,1977.1731249999993
4550,1006.9530000000001,32.885700999999855,1145.1979999999999,2014.427895999997
4600,1006.833,33.053781,1144.328,2037.579575999999
4650,1006.64,32.906999999999854,1143.394,2074.859443999997
4700,1006.524,33.24444400000023,1143.124,2081.188643999997
4750,1006.4033999999999,33.420968039999934,1142.557,2091.208181000001
4800,1006.2446,33.52370344000016,1142.236,2113.2505039999996
4850,1006.1119000000001,33.10065648999996,1141.67,2112.733279999999
4900,1005.9187,32.48475481000001,1140.8049999999998,2088.064084999999
4950,1005.5791999999999,31.39662235999997,1139.795,2053.131925
5000,1005.4404000000001,31.936657439999912,1138.375,2102.546185000001
5050,1005.3335999999999,31.46961004000003,1137.2069999999999,2158.6840809999985
5100,1005.1959,31.059117290000096,1136.8539999999998,2180.268324
5150,1005.1163,31.199705209999916,1136.344,2205.7298040000005
5200,1005.0174,31.56729303999998,1135.827,2195.1445409999988
5250,1004.8698,32.028928960000115,1134.696,2259.5530640000015
5300,1004.7744999999999,32.1982674499999,1133.21,2193.217980000002
5350,1004.6710999999999,32.54411708999977,1132.591,2242.804369000001
5400,1004.5642,32.81635095999984,1131.072,2180.557896
5450,1004.4620000000001,32.77588139999996,1130.7779999999998,2173.381176000002
5500,1004.3662,32.76929055999986,1130.366,2184.3721240000023
5550,1004.259,32.634026399999996,1129.4479999999999,2184.679156000001
5600,1004.1825000000001,32.42890504999975,1129.316,2180.813004
5650,1004.0757,32.5907032100001,1128.408,2201.8031759999994
5700,1003.8758,32.51634055999985,1127.357,2160.846061
5750,1003.7352999999999,32.94053480999991,1127.0790000000002,2176.669609000001
5800,1003.6413,33.276417610000074,1126.983,2176.9659809999994
5850,1003.5726000000001,33.58954703999998,1126.696,2172.5808039999984
5900,1003.4941999999999,33.86352195999986,1126.2540000000001,2202.4785239999987
5950,1003.4183,33.79835080999989,1125.691,2248.3887889999987
6000,1003.2632,34.28842596000009,1125.328,2250.4000959999994
6050,1003.1605999999999,34.45286944000004,1124.73,2283.7190000000023
6100,1003.1047000000001,34.43584481,1124.363,2299.1111409999994
6150,1002.9882,34.30412536000012,1124.019,2321.5214690000034
6200,1002.7987999999999,33.49065455999997,1122.922,2369.2296759999995
6250,1002.4771000000001,32.69467648999993,1122.182,2422.013856
6300,1002.0564,32.860178040000044,1120.5610000000001,2402.3201889999978
6350,1001.9477999999999,33.11482556000007,1120.0279999999998,2431.984955999998
6400,1001.8637999999999,33.18515336000006,1119.904,2428.7163439999995
6450,1001.7370000000001,33.68563440000005,1119.384,2472.511403999997
6500,1001.5971999999999,34.21310236000005,1118.525,2314.869504999999
6550,1001.4791000000001,34.45732929000012,1117.9969999999998,2345.558980999999
6600,1001.4352999999999,34.451133409999954,1117.456,2368.7047039999993
6650,1001.36,34.364042600000296,1117.352,2364.2361159999987
6700,1001.2881,34.78161429000012,1117.343,2363.771580999998
6750,1001.1896,34.499636840000015,1117.224,2358.9634239999996
6800,1000.8422,34.5374133599999,1117.222,2358.861196
6850,1000.7950000000001,34.60152360000004,1116.586,2403.1620039999975
6900,1000.7339,34.87697349,1115.284,2267.719923999998
6950,1000.6385,35.05578965000005,1115.134,2271.1488839999975
7000,1000.5719000000001,34.440860689999994,1114.4270000000001,2270.7891810000024
7050,1000.5022000000001,34.58108476000018,1114.3110000000001,2271.6514890000017
7100,1000.4235000000001,34.86202925000022,1114.243,2275.8160810000013
7150,1000.2926,35.56272943999993,1114.089,2266.629008999998
7200,1000.1414000000001,35.317084439999846,1112.9389999999999,2084.9143690000005
7250,1000.0220999999999,35.618471490000054,1112.854,2077.7761039999987
7300,999.7869999999999,35.41250040000017,1112.411,2012.7330889999998
7350,999.6530999999999,35.3336950900001,1111.666,2073.6297640000016
7400,999.5482,35.37743575999984,1111.441,2078.1200890000005
7450,999.4486,35.649455639999964,1110.645,2119.957945000001
7500,999.3334000000001,35.31868064000011,1110.529,2121.8000290000004
7550,998.9959999999999,36.0424624000002,1109.95,2166.6542800000007
7600,998.8693999999999,36.74573844000013,1109.836,2169.3411640000004
7650,998.8293,36.87002460999986,1109.6950000000002,2180.8460249999994
7700,998.7519,36.929784089999934,1109.6200000000001,2178.472999999999
7750,998.6951999999999,37.01425615999999,1109.585,2178.7947049999993
7800,998.6442,37.12198436000018,1109.453,2174.905640999999
7850,998.5870000000001,36.69471139999974,1109.048,2196.156896000001
7900,998.5200000000001,36.51927320000012,1108.857,2189.391601
7950,998.4415000000001,36.69151284999995,1108.547,2214.193721
8000,998.3736000000001,36.910226239999886,1107.818,2258.6967760000007
8050,998.3396,37.04721243999988,1107.035,2291.8674849999998
8100,998.2759,37.10212209000001,1106.9360000000001,2288.3870639999977
