gen,GA,DE,GDE,CCHIHH (non-stable),CCHIHH (stable)
50,55.80224761904762,55.77220952380952,55.76745238095238,55.746895238095235,55.73631904761905
100,55.801761904761904,55.75592380952381,55.75324285714286,55.71768095238095,55.69401428571429
150,55.80124761904762,55.752338095238095,55.74259523809524,55.69537142857143,55.66950476190476
200,55.80102380952381,55.74899523809524,55.73551428571429,55.68508571428571,55.652366666666666
250,55.80102380952381,55.745404761904766,55.72828095238095,55.67552380952381,55.633495238095236
300,55.80035238095238,55.74326190476191,55.72290952380953,55.666085,55.61770952380952
350,55.799957142857146,55.73915238095238,55.71953809523809,55.658535,55.598838095238094
400,55.798880952380955,55.73459523809524,55.7147,55.65193,55.5812
450,55.79850952380952,55.728614285714286,55.71091428571429,55.645365,55.5656
500,55.79850952380952,55.72127142857143,55.708414285714284,55.64022,55.55104285714286
550,55.79850952380952,55.716971428571426,55.70628095238095,55.633835,55.53480952380952
600,55.79833333333333,55.71398095238095,55.70347619047619,55.626226315789474,55.523895
650,55.79793333333333,55.71301904761905,55.70084761904762,55.62147368421053,55.5111
700,55.79774285714286,55.711842857142855,55.69939047619047,55.61768421052631,55.500385
750,55.797333333333334,55.70879523809524,55.697423809523805,55.61243684210526,55.489825
800,55.796980952380956,55.70731428571428,55.69651428571429,55.607452631578944,55.479214999999996
850,55.796980952380956,55.704790476190475,55.69494761904762,55.60215789473684,55.470815
900,55.79667619047619,55.70108571428572,55.69368095238095,55.597805263157895,55.46192
950,55.7965,55.6983619047619,55.69291904761905,55.5925,55.452335
1000,55.796309523809526,55.69497619047619,55.691738095238094,55.58843684210526,55.444555
1050,55.79611904761905,55.69374285714286,55.69128571428571,55.58522631578948,55.43588
1100,55.79611904761905,55.69199523809524,55.6905,55.582215789473686,55.4271
1150,55.79590952380953,55.691204761904764,55.68984761904762,55.57931578947368,55.41961578947368
1200,55.79590952380953,55.69083809523809,55.68929047619048,55.576815789473685,55.411910526315786
1250,55.79590952380953,55.689328571428575,55.68857142857143,55.57353157894737,55.40399444444444
1300,55.79555714285714,55.68875714285714,55.6876619047619,55.57015263157895,55.39785
1350,55.7954,55.68788095238095,55.68687619047619,55.567642105263154,55.39148333333333
1400,55.7954,55.68685238095238,55.68637619047619,55.565342105263156,55.38560555555556
1450,55.7948619047619,55.68519523809524,55.685833333333335,55.56161052631579,55.37948333333333
1500,55.7948619047619,55.68460952380953,55.68562857142857,55.55853157894737,55.37408888888889
