scale	seeds	mean	std	mean+-std
T500	1-1	0.0634366844	0.0000000000	0.0634366844 +- 0.0000000000
T500	2-2	0.0629726495	0.0000000000	0.0629726495 +- 0.0000000000
T500	3-3	0.0647759434	0.0000000000	0.0647759434 +- 0.0000000000
T500	4-4	0.0624086525	0.0000000000	0.0624086525 +- 0.0000000000
T500	5-5	0.0634743531	0.0000000000	0.0634743531 +- 0.0000000000
T500	6-6	0.0632708704	0.0000000000	0.0632708704 +- 0.0000000000
T500	7-7	0.0623966372	0.0000000000	0.0623966372 +- 0.0000000000
T500	8-8	0.0625779562	0.0000000000	0.0625779562 +- 0.0000000000
T500	9-9	0.1189984830	0.0000000000	0.1189984830 +- 0.0000000000
T500	10-10	0.0645963473	0.0000000000	0.0645963473 +- 0.0000000000
