time_seconds,generation,best_fitness,best_f1,best_f2
0.0000000000,0,0.0609329077,1471.8998385103,529.5192087491
0.0707090000,1,0.0605921324,1442.9607088211,529.1125973516
0.1294460000,2,0.0605921324,1442.9607088211,529.1125973516
0.1877157000,3,0.0596373387,1795.7947658231,474.4383364003
0.2475552000,4,0.0595198953,1783.8427658231,474.5423075882
0.3081498000,5,0.0595198953,1783.8427658231,474.5423075882
0.3689961000,6,0.0595198953,1783.8427658231,474.5423075882
0.4248504000,7,0.0595198953,1783.8427658231,474.5423075882
0.4832542000,8,0.0595198953,1783.8427658231,474.5423075882
0.5435006000,9,0.0595198953,1783.8427658231,474.5423075882
0.6016967000,10,0.0595198953,1783.8427658231,474.5423075882
0.6603109000,11,0.0595198953,1783.8427658231,474.5423075882
0.7155246000,12,0.0595198953,1783.8427658231,474.5423075882
0.7740915000,13,0.0595198953,1783.8427658231,474.5423075882
0.8296294000,14,0.0595198953,1783.8427658231,474.5423075882
0.8838418000,15,0.0595198953,1783.8427658231,474.5423075882
0.9430829000,16,0.0595198953,1783.8427658231,474.5423075882
1.0006944000,17,0.0594595398,1784.7067658231,473.7313323247
1.0673088000,18,0.0590789160,1743.0907658231,474.4236948240
1.1219057000,19,0.0590789160,1743.0907658231,474.4236948240
1.1837465000,20,0.0590789160,1743.0907658231,474.4236948240
1.2380130000,21,0.0590789160,1743.0907658231,474.4236948240
1.3007923000,22,0.0590789160,1743.0907658231,474.4236948240
1.3600536000,23,0.0584030576,1615.0893294636,482.3284383622
1.4160383000,24,0.0584030576,1615.0893294636,482.3284383622
1.4784329000,25,0.0584030576,1615.0893294636,482.3284383622
1.5387122000,26,0.0584030576,1615.0893294636,482.3284383622
1.5962730000,27,0.0584030576,1615.0893294636,482.3284383622
1.6531874000,28,0.0582072752,1582.6626918707,484.0442404911
1.7782857000,29,0.0582072752,1582.6626918707,484.0442404911
1.9132759000,30,0.0580331455,1582.6626918707,482.0120613397
2.0410910000,31,0.0580331455,1582.6626918707,482.0120613397
2.1706923000,32,0.0580331455,1582.6626918707,482.0120613397
2.2919096000,33,0.0580331455,1582.6626918707,482.0120613397
2.4223841000,34,0.0580331455,1582.6626918707,482.0120613397
2.5514063000,35,0.0580331455,1582.6626918707,482.0120613397
2.6773298000,36,0.0580331455,1582.6626918707,482.0120613397
2.8061902000,37,0.0579780830,1568.5720563989,483.1079053532
2.9309505000,38,0.0578766954,1739.4827236082,460.8383413397
3.0577613000,39,0.0578766954,1739.4827236082,460.8383413397
3.1821644000,40,0.0578148140,1738.9573166108,460.1809780931
3.3084665000,41,0.0578148140,1738.9573166108,460.1809780931
3.4318823000,42,0.0578148140,1738.9573166108,460.1809780931
3.5547058000,43,0.0578148140,1738.9573166108,460.1809780931
3.6821703000,44,0.0578148140,1738.9573166108,460.1809780931
3.8096452000,45,0.0563078435,1632.6380000000,455.7111786248
3.9372997000,46,0.0563078435,1632.6380000000,455.7111786248
4.0635001000,47,0.0563078435,1632.6380000000,455.7111786248
4.1878395000,48,0.0563078435,1632.6380000000,455.7111786248
4.3102792000,49,0.0562668984,1632.6380000000,455.2333300972
4.4368077000,50,0.0562668984,1632.6380000000,455.2333300972
4.5615365000,51,0.0562668984,1632.6380000000,455.2333300972
4.7123477000,52,0.0562668984,1632.6380000000,455.2333300972
4.8524317000,53,0.0562668984,1632.6380000000,455.2333300972
4.9826043000,54,0.0562668984,1632.6380000000,455.2333300972
5.1108283000,55,0.0562668984,1632.6380000000,455.2333300972
5.2439480000,56,0.0562668984,1632.6380000000,455.2333300972
5.4119793000,57,0.0562668984,1632.6380000000,455.2333300972
5.5533188000,58,0.0562668984,1632.6380000000,455.2333300972
5.7066536000,59,0.0562668984,1632.6380000000,455.2333300972
5.8508347000,60,0.0562668984,1632.6380000000,455.2333300972
5.9939445000,61,0.0562668984,1632.6380000000,455.2333300972
6.1307059000,62,0.0562668984,1632.6380000000,455.2333300972
6.2694156000,63,0.0562668984,1632.6380000000,455.2333300972
6.4106962000,64,0.0562668984,1632.6380000000,455.2333300972
6.5445540000,65,0.0562668984,1632.6380000000,455.2333300972
6.6766089000,66,0.0562668984,1632.6380000000,455.2333300972
6.8090945000,67,0.0562668984,1632.6380000000,455.2333300972
6.9387038000,68,0.0562668984,1632.6380000000,455.2333300972
7.0615608000,69,0.0562668984,1632.6380000000,455.2333300972
7.1953069000,70,0.0562668984,1632.6380000000,455.2333300972
7.3206103000,71,0.0562668984,1632.6380000000,455.2333300972
7.4461684000,72,0.0562668984,1632.6380000000,455.2333300972
7.5662737000,73,0.0562668984,1632.6380000000,455.2333300972
7.6976771000,74,0.0562668984,1632.6380000000,455.2333300972
7.8232251000,75,0.0562668984,1632.6380000000,455.2333300972
7.9444040000,76,0.0562631594,1632.6380000000,455.1896941680
8.0721082000,77,0.0562631594,1632.6380000000,455.1896941680
8.1988361000,78,0.0562631594,1632.6380000000,455.1896941680
8.3264210000,79,0.0562631594,1632.6380000000,455.1896941680
8.4542623000,80,0.0562631594,1632.6380000000,455.1896941680
8.5844769000,81,0.0562631594,1632.6380000000,455.1896941680
8.7280413000,82,0.0562631594,1632.6380000000,455.1896941680
8.8717730000,83,0.0562631594,1632.6380000000,455.1896941680
9.0050689000,84,0.0562631594,1632.6380000000,455.1896941680
