gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
1600,0.005,0.71,0.1975,0.0875,0,0.37,0.625,0.005,0.0025,0.245,0.75,0.0025,0.00166667,0.2375,0.0816667,0.0658333,0.123333,0.208333,0.25,0.0316667
1650,0.0125,0.68,0.18,0.1275,0.0125,0.365,0.6175,0.005,0.005,0.2225,0.735,0.0375,0.00833333,0.228333,0.0741667,0.06,0.121667,0.205833,0.245,0.0566667
1700,0.01,0.61,0.26,0.12,0.005,0.405,0.585,0.005,0.005,0.2475,0.74,0.0075,0.005,0.205,0.0825,0.0866667,0.135,0.195,0.246667,0.0441667
1750,0.0025,0.6775,0.1975,0.1225,0,0.4225,0.575,0.0025,0.0075,0.225,0.7325,0.035,0.000833333,0.228333,0.075,0.0658333,0.140833,0.191667,0.244167,0.0533333
1800,0.0025,0.73,0.14,0.1275,0.0075,0.4825,0.505,0.005,0.0025,0.205,0.745,0.0475,0.00333333,0.244167,0.0683333,0.0466667,0.160833,0.168333,0.248333,0.06
1850,0.0075,0.5875,0.28,0.125,0.005,0.56,0.4275,0.0075,0.0075,0.2325,0.735,0.025,0.00416667,0.198333,0.0775,0.0933333,0.186667,0.1425,0.245,0.0525
1900,0.005,0.7075,0.165,0.1225,0.0025,0.53,0.465,0.0025,0.0075,0.1925,0.74,0.06,0.0025,0.238333,0.0641667,0.055,0.176667,0.155,0.246667,0.0616667
1950,0,0.635,0.2375,0.1275,0.0075,0.605,0.385,0.0025,0.0125,0.225,0.735,0.0275,0.0025,0.215833,0.075,0.0791667,0.201667,0.128333,0.245,0.0525
2000,0.0025,0.6475,0.215,0.135,0.005,0.5525,0.435,0.0075,0.005,0.235,0.74,0.02,0.0025,0.2175,0.0783333,0.0716667,0.184167,0.145,0.246667,0.0541667
2050,0.0075,0.59,0.2825,0.12,0,0.5575,0.4375,0.005,0.01,0.2325,0.7425,0.015,0.0025,0.2,0.0775,0.0941667,0.185833,0.145833,0.2475,0.0466667
2100,0.005,0.58,0.295,0.12,0.0025,0.675,0.32,0.0025,0.0075,0.2525,0.7325,0.0075,0.0025,0.195833,0.0841667,0.0983333,0.225,0.106667,0.244167,0.0433333
2150,0.0025,0.59,0.2875,0.12,0.0025,0.7025,0.295,0,0.005,0.255,0.7375,0.0025,0.00166667,0.198333,0.085,0.0958333,0.234167,0.0983333,0.245833,0.0408333
2200,0,0.73,0.1425,0.1275,0.0075,0.6425,0.3375,0.0125,0.0075,0.195,0.7425,0.055,0.0025,0.245833,0.065,0.0475,0.214167,0.1125,0.2475,0.065
2250,0.005,0.6525,0.2125,0.13,0.0025,0.6375,0.36,0,0.0125,0.21,0.73,0.0475,0.0025,0.221667,0.07,0.0708333,0.2125,0.12,0.243333,0.0591667
2300,0.005,0.5925,0.2775,0.125,0.01,0.685,0.3,0.005,0.01,0.2325,0.7375,0.02,0.005,0.200833,0.0775,0.0925,0.228333,0.1,0.245833,0.05
2350,0.0025,0.695,0.18,0.1225,0.005,0.8225,0.165,0.0075,0.01,0.2375,0.73,0.0225,0.0025,0.235,0.0791667,0.06,0.274167,0.055,0.243333,0.0508333
2400,0.0075,0.635,0.2275,0.13,0.005,0.7675,0.2225,0.005,0.005,0.23,0.745,0.02,0.00416667,0.213333,0.0766667,0.0758333,0.255833,0.0741667,0.248333,0.0516667
2450,0.0075,0.5775,0.2875,0.1275,0.0025,0.84,0.155,0.0025,0.01,0.25,0.735,0.005,0.00333333,0.195833,0.0833333,0.0958333,0.28,0.0516667,0.245,0.045
2500,0.01,0.6775,0.18,0.1325,0,0.84,0.1525,0.0075,0.0025,0.22,0.75,0.0275,0.00333333,0.226667,0.0733333,0.06,0.28,0.0508333,0.25,0.0558333
2550,0.0125,0.69,0.1675,0.13,0.0025,0.7625,0.2225,0.0125,0.0075,0.225,0.7425,0.025,0.005,0.2325,0.075,0.0558333,0.254167,0.0741667,0.2475,0.0558333
2600,0.005,0.67,0.19,0.135,0.0025,0.775,0.215,0.0075,0.0075,0.23,0.7325,0.03,0.0025,0.225833,0.0766667,0.0633333,0.258333,0.0716667,0.244167,0.0575
2650,0.0025,0.6625,0.2125,0.1225,0,0.7025,0.295,0.0025,0,0.2125,0.745,0.0425,0.000833333,0.220833,0.0708333,0.0708333,0.234167,0.0983333,0.248333,0.0558333
