gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
1600,0.63,0.2025,0.1675,0,0.605,0.2875,0.03,0.0775,0.5825,0.195,0.14,0.0825,0.411667,0.261667,0.065,0.0558333,0.0958333,0.01,0.0466667,0.0533333
1650,0.6025,0.2625,0.135,0,0.6475,0.2825,0.03,0.04,0.5325,0.3,0.0375,0.13,0.416667,0.265,0.1,0.045,0.0941667,0.01,0.0125,0.0566667
1700,0.5375,0.3,0.1625,0,0.6525,0.2725,0.02,0.055,0.5525,0.25,0.0925,0.105,0.396667,0.284167,0.0833333,0.0541667,0.0908333,0.00666667,0.0308333,0.0533333
1750,0.4525,0.2925,0.255,0,0.41,0.3975,0.0625,0.13,0.385,0.21,0.28,0.125,0.2875,0.225833,0.07,0.085,0.1325,0.0208333,0.0933333,0.085
1800,0.35,0.365,0.285,0,0.4525,0.3925,0.04,0.115,0.545,0.145,0.1875,0.1225,0.2675,0.303333,0.0483333,0.095,0.130833,0.0133333,0.0625,0.0791667
1850,0.39,0.355,0.255,0,0.5375,0.335,0.035,0.0925,0.475,0.285,0.075,0.165,0.309167,0.276667,0.095,0.085,0.111667,0.0116667,0.025,0.0858333
1900,0.375,0.435,0.19,0,0.325,0.4975,0.0175,0.16,0.2625,0.2425,0.31,0.185,0.233333,0.2325,0.0808333,0.0633333,0.165833,0.00583333,0.103333,0.115
1950,0.5125,0.31,0.1775,0,0.71,0.2425,0.035,0.0125,0.575,0.18,0.1675,0.0775,0.4075,0.295,0.06,0.0591667,0.0808333,0.0116667,0.0558333,0.03
2000,0.5575,0.205,0.2375,0,0.6025,0.3175,0.025,0.055,0.3675,0.2425,0.22,0.17,0.386667,0.190833,0.0808333,0.0791667,0.105833,0.00833333,0.0733333,0.075
2050,0.6325,0.2225,0.145,0,0.715,0.2275,0.0325,0.025,0.5975,0.18,0.155,0.0675,0.449167,0.273333,0.06,0.0483333,0.0758333,0.0108333,0.0516667,0.0308333
2100,0.5675,0.2675,0.165,0,0.6825,0.2525,0.025,0.04,0.54,0.2025,0.1475,0.11,0.416667,0.269167,0.0675,0.055,0.0841667,0.00833333,0.0491667,0.05
2150,0.5275,0.29,0.1825,0,0.585,0.32,0.0225,0.0725,0.5075,0.225,0.13,0.1375,0.370833,0.265833,0.075,0.0608333,0.106667,0.0075,0.0433333,0.07
2200,0.5725,0.225,0.2025,0,0.65,0.3025,0.0225,0.025,0.55,0.1975,0.13,0.1225,0.4075,0.258333,0.0658333,0.0675,0.100833,0.0075,0.0433333,0.0491667
2250,0.445,0.2625,0.2925,0,0.615,0.2675,0.03,0.0875,0.605,0.135,0.165,0.095,0.353333,0.289167,0.045,0.0975,0.0891667,0.01,0.055,0.0608333
2300,0.49,0.265,0.245,0,0.5725,0.3425,0.03,0.055,0.48,0.185,0.2,0.135,0.354167,0.248333,0.0616667,0.0816667,0.114167,0.01,0.0666667,0.0633333
2350,0.6075,0.22,0.1725,0,0.7325,0.2325,0.0325,0.0025,0.5375,0.205,0.145,0.1125,0.446667,0.2525,0.0683333,0.0575,0.0775,0.0108333,0.0483333,0.0383333
2400,0.4925,0.29,0.2175,0,0.71,0.2325,0.0475,0.01,0.515,0.2475,0.11,0.1275,0.400833,0.268333,0.0825,0.0725,0.0775,0.0158333,0.0366667,0.0458333
2450,0.435,0.32,0.245,0,0.505,0.3625,0.0325,0.1,0.3725,0.235,0.2225,0.17,0.313333,0.230833,0.0783333,0.0816667,0.120833,0.0108333,0.0741667,0.09
2500,0.585,0.23,0.185,0,0.4325,0.4275,0.0325,0.1075,0.4325,0.275,0.1525,0.14,0.339167,0.220833,0.0916667,0.0616667,0.1425,0.0108333,0.0508333,0.0825
