scale	seeds	mean	std	mean+-std
T100	1-1	0.3134712540	0.0000000000	0.3134712540 +- 0.0000000000
T100	2-2	0.3134712540	0.0000000000	0.3134712540 +- 0.0000000000
T100	3-3	0.3134712540	0.0000000000	0.3134712540 +- 0.0000000000
T100	4-4	0.3134712540	0.0000000000	0.3134712540 +- 0.0000000000
T100	5-5	0.3134712540	0.0000000000	0.3134712540 +- 0.0000000000
T100	6-6	0.3134712540	0.0000000000	0.3134712540 +- 0.0000000000
T100	7-7	0.3134712540	0.0000000000	0.3134712540 +- 0.0000000000
T100	8-8	0.3134712540	0.0000000000	0.3134712540 +- 0.0000000000
T100	9-9	0.3134712540	0.0000000000	0.3134712540 +- 0.0000000000
T100	10-10	0.3148437253	0.0000000000	0.3148437253 +- 0.0000000000
