Gen 5050: best_fit = 0.0382839
Gen 5100: best_fit = 0.0382634
Gen 5150: best_fit = 0.0382562
Gen 5200: best_fit = 0.0381914
Gen 5250: best_fit = 0.0381533
Gen 5300: best_fit = 0.0381216
Gen 5350: best_fit = 0.0380987
Gen 5400: best_fit = 0.0380162
Gen 5450: best_fit = 0.0379806
Gen 5500: best_fit = 0.0379376
Gen 5550: best_fit = 0.0379348
Gen 5600: best_fit = 0.0379146
Gen 5650: best_fit = 0.0379073
Gen 5700: best_fit = 0.0378921
Gen 5750: best_fit = 0.0378892
Gen 5800: best_fit = 0.0378541
Gen 5850: best_fit = 0.0378405
Gen 5900: best_fit = 0.0378268
Gen 5950: best_fit = 0.0378086
Gen 6000: best_fit = 0.0377774
Gen 6050: best_fit = 0.0377574
Gen 6100: best_fit = 0.0377458
Gen 6150: best_fit = 0.0376906
Gen 6200: best_fit = 0.0376807
Gen 6250: best_fit = 0.0376779
Gen 6300: best_fit = 0.0376622
Gen 6350: best_fit = 0.0376552
Gen 6400: best_fit = 0.037648
Gen 6450: best_fit = 0.0376279
Gen 6500: best_fit = 0.0376264
Gen 6550: best_fit = 0.0376179
Gen 6600: best_fit = 0.0376172
Gen 6650: best_fit = 0.037614
Gen 6700: best_fit = 0.0376128
Gen 6750: best_fit = 0.0376025
Gen 6800: best_fit = 0.0376001
Gen 6850: best_fit = 0.0375914
Gen 6900: best_fit = 0.0375705
Gen 6950: best_fit = 0.037568
Gen 7000: best_fit = 0.0375521
Gen 7050: best_fit = 0.0375494
Gen 7100: best_fit = 0.0375071
Gen 7150: best_fit = 0.0375009
Gen 7200: best_fit = 0.0374999
Gen 7250: best_fit = 0.0374903
Gen 7300: best_fit = 0.0374877
Gen 7350: best_fit = 0.0374832
Gen 7400: best_fit = 0.0374814
Gen 7450: best_fit = 0.0374779
Gen 7500: best_fit = 0.0374664
Gen 7550: best_fit = 0.0374473
Gen 7600: best_fit = 0.0374405
Gen 7650: best_fit = 0.0374378
Gen 7700: best_fit = 0.0374244
Gen 7750: best_fit = 0.0374141
Gen 7800: best_fit = 0.0374031
Gen 7850: best_fit = 0.0373972
Gen 7900: best_fit = 0.0373967
Gen 7950: best_fit = 0.0373782
Gen 8000: best_fit = 0.0373744
Gen 8050: best_fit = 0.0373711
Gen 8100: best_fit = 0.0373598
Gen 8150: best_fit = 0.0373562
Gen 8200: best_fit = 0.0373476
Gen 8250: best_fit = 0.037346
Gen 8300: best_fit = 0.0373439
Gen 8350: best_fit = 0.037341
Gen 8400: best_fit = 0.0373326
Gen 8450: best_fit = 0.0373289
Gen 8500: best_fit = 0.0373127
Gen 8550: best_fit = 0.0373124
Gen 8600: best_fit = 0.0373066
Gen 8650: best_fit = 0.0372978
Gen 8700: best_fit = 0.0372916
Gen 8750: best_fit = 0.0372847
Gen 8800: best_fit = 0.0372676
Gen 8850: best_fit = 0.0372507
Gen 8900: best_fit = 0.0372445
