A,B,n,wilcoxon_stat,p_value,sig
CCHIHH_Full,GDE,10,27.0,1.0,
CCHIHH_Full,CGA,10,0.0,0.001953125,**
CCHIHH_Full,IMOMA,10,0.0,0.001953125,**
GDE,CGA,10,0.0,0.001953125,**
GDE,IMOMA,10,0.0,0.001953125,**
CGA,IMOMA,10,0.0,0.001953125,**
