gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
1650,0.275,0.48,0.225,0.02,0.24,0.405,0.24,0.115,0.2275,0.485,0.2375,0.05,0.171667,0.235833,0.161667,0.075,0.135,0.08,0.0791667,0.0616667
1700,0.255,0.48,0.26,0.005,0.24,0.43,0.2675,0.0625,0.275,0.4925,0.225,0.0075,0.165,0.251667,0.164167,0.0866667,0.143333,0.0891667,0.075,0.025
1750,0.2625,0.495,0.2425,0,0.2225,0.4825,0.2525,0.0425,0.215,0.505,0.2725,0.0075,0.161667,0.236667,0.168333,0.0808333,0.160833,0.0841667,0.0908333,0.0166667
1800,0.25,0.5,0.25,0,0.2075,0.5175,0.245,0.03,0.255,0.465,0.2675,0.0125,0.1525,0.251667,0.155,0.0833333,0.1725,0.0816667,0.0891667,0.0141667
1850,0.2275,0.5125,0.26,0,0.255,0.435,0.245,0.065,0.2675,0.475,0.2475,0.01,0.160833,0.26,0.158333,0.0866667,0.145,0.0816667,0.0825,0.025
1900,0.215,0.535,0.25,0,0.24,0.39,0.24,0.13,0.23,0.455,0.2825,0.0325,0.151667,0.255,0.151667,0.0833333,0.13,0.08,0.0941667,0.0541667
1950,0.2575,0.495,0.2475,0,0.23,0.3525,0.28,0.1375,0.2375,0.4675,0.2925,0.0025,0.1625,0.244167,0.155833,0.0825,0.1175,0.0933333,0.0975,0.0466667
2000,0.2175,0.48,0.2925,0.01,0.29,0.365,0.2425,0.1025,0.26,0.48,0.2525,0.0075,0.169167,0.246667,0.16,0.0975,0.121667,0.0808333,0.0841667,0.04
2050,0.2575,0.4825,0.2125,0.0475,0.2225,0.37,0.26,0.1475,0.19,0.4725,0.27,0.0675,0.16,0.224167,0.1575,0.0708333,0.123333,0.0866667,0.09,0.0875
2100,0.2275,0.4875,0.2775,0.0075,0.21,0.3975,0.26,0.1325,0.24,0.515,0.245,0,0.145833,0.2425,0.171667,0.0925,0.1325,0.0866667,0.0816667,0.0466667
2150,0.2575,0.52,0.2175,0.005,0.245,0.435,0.2625,0.0575,0.24,0.4675,0.2575,0.035,0.1675,0.253333,0.155833,0.0725,0.145,0.0875,0.0858333,0.0325
2200,0.2525,0.42,0.2725,0.055,0.235,0.355,0.295,0.115,0.215,0.45,0.2775,0.0575,0.1625,0.211667,0.15,0.0908333,0.118333,0.0983333,0.0925,0.0758333
2250,0.255,0.48,0.265,0,0.265,0.4675,0.2525,0.015,0.2175,0.5275,0.255,0,0.173333,0.2325,0.175833,0.0883333,0.155833,0.0841667,0.085,0.005
2300,0.2925,0.4875,0.22,0,0.2475,0.43,0.26,0.0625,0.2325,0.495,0.2525,0.02,0.18,0.24,0.165,0.0733333,0.143333,0.0866667,0.0841667,0.0275
2350,0.245,0.52,0.2275,0.0075,0.26,0.45,0.25,0.04,0.215,0.5475,0.2375,0,0.168333,0.245,0.1825,0.0758333,0.15,0.0833333,0.0791667,0.0158333
2400,0.22,0.4575,0.2775,0.045,0.25,0.39,0.26,0.1,0.2675,0.4125,0.29,0.03,0.156667,0.241667,0.1375,0.0925,0.13,0.0866667,0.0966667,0.0583333
2450,0.2675,0.505,0.2275,0,0.225,0.42,0.255,0.1,0.2225,0.51,0.245,0.0225,0.164167,0.2425,0.17,0.0758333,0.14,0.085,0.0816667,0.0408333
2500,0.295,0.4525,0.2375,0.015,0.25,0.4975,0.24,0.0125,0.225,0.4875,0.2725,0.015,0.181667,0.225833,0.1625,0.0791667,0.165833,0.08,0.0908333,0.0141667
2550,0.205,0.4525,0.285,0.0575,0.2825,0.375,0.2375,0.105,0.26,0.4525,0.2425,0.045,0.1625,0.2375,0.150833,0.095,0.125,0.0791667,0.0808333,0.0691667
2600,0.2325,0.4125,0.245,0.11,0.22,0.315,0.2475,0.2175,0.2325,0.43,0.2475,0.09,0.150833,0.215,0.143333,0.0816667,0.105,0.0825,0.0825,0.139167
2650,0.2425,0.525,0.23,0.0025,0.2525,0.41,0.245,0.0925,0.275,0.415,0.2725,0.0375,0.165,0.266667,0.138333,0.0766667,0.136667,0.0816667,0.0908333,0.0441667
2700,0.2575,0.4825,0.26,0,0.255,0.4875,0.2525,0.005,0.2175,0.4875,0.29,0.005,0.170833,0.233333,0.1625,0.0866667,0.1625,0.0841667,0.0966667,0.00333333
2750,0.2875,0.4575,0.2475,0.0075,0.31,0.4625,0.225,0.0025,0.235,0.5425,0.22,0.0025,0.199167,0.230833,0.180833,0.0825,0.154167,0.075,0.0733333,0.00416667
