scale	seeds	mean	std	mean+-std
T200	1-1	0.0930589409	0.0000000000	0.0930589409 +- 0.0000000000
T200	2-2	0.0923432763	0.0000000000	0.0923432763 +- 0.0000000000
T200	3-3	0.0962231000	0.0000000000	0.0962231000 +- 0.0000000000
T200	4-4	0.0923540703	0.0000000000	0.0923540703 +- 0.0000000000
T200	5-5	0.0967019228	0.0000000000	0.0967019228 +- 0.0000000000
T200	6-6	0.0934766126	0.0000000000	0.0934766126 +- 0.0000000000
T200	7-7	0.0943796816	0.0000000000	0.0943796816 +- 0.0000000000
T200	8-8	0.0934003692	0.0000000000	0.0934003692 +- 0.0000000000
T200	9-9	0.0909656325	0.0000000000	0.0909656325 +- 0.0000000000
T200	10-10	0.0949662278	0.0000000000	0.0949662278 +- 0.0000000000
