gen,best_fitness,avg_fitness,diversity,epsilon,stagnation,gate_blocked_count,gate_fallback_count
50,0.378247661858316,0.3804386121382972,0.01045001887017474,0,0,265,265
100,0.3729987760791954,0.3741603728834268,0.005816434705216029,0,1,480,480
150,0.3684034480624556,0.3690731745715619,0.003833144720194889,0,0,680,680
200,0.364890575089659,0.3659183967894031,0.002169603889723969,0,1,880,880
250,0.3624397334807311,0.3630044482347882,0.00231644276834494,0,1,1078,1078
300,0.3611530416360439,0.3615577708961848,0.001234834332458969,0,8,1139,1139
350,0.359723384030836,0.3600836917868152,0.00151947766813139,0,2,1139,1139
400,0.3580282185846609,0.3584487761968595,0.00147604187970102,0,1,1139,1139
450,0.3570478819410897,0.3572429280858003,0.0007205363011404748,0,17,1139,1139
500,0.3561288163377417,0.3563793468133212,0.0003660115813748687,0,8,1139,1139
550,0.3555569532956586,0.3555967794718037,0.000874600640973644,0,13,1139,1139
600,0.3552505980945426,0.3552870203240086,0.0003881538228128654,0,13,1139,1139
650,0.3545357692919386,0.3547880017408575,0.0003392131840792558,0,10,1139,1139
700,0.354249837770897,0.3542765587523278,0.0002878088155488399,0,4,1139,1139
750,0.3532490774472515,0.3534560374053388,0.0008578465416992156,0,12,1139,1139
800,0.3523912828841267,0.3524573194497007,0.0007295199054777034,0,20,1139,1139
850,0.3521257750431595,0.3521540278005959,0.0004240389030657824,0,36,1139,1139
900,0.3519215382424155,0.3519235806104228,0.0001933623685875221,0,34,1139,1139
950,0.35143136992063,0.3515319565449962,0.0004086987125737213,0,24,1139,1139
1000,0.3511862857597371,0.3512193040425242,0.0003413738787896792,0,27,1139,1139
1050,0.351125014719514,0.3511258657061838,0.0003843155392249976,0,37,1139,1139
1100,0.3504714569571332,0.3505124745146162,0.0006618861492740656,0,27,1139,1139
1150,0.3497362044744549,0.3499938832380603,0.0004784628198939179,0,3,1139,1139
1200,0.3495115439936364,0.3495578376684714,0.000557409688407397,0,24,1139,1139
1250,0.3495115439936364,0.3495115439936361,0.0002478267847978118,0,74,1139,1139
1300,0.3493073071928924,0.3493430486330227,0.0003067253320052231,0,27,1139,1139
1350,0.3488171388711069,0.3489393405568855,0.0004635100771820443,0,0,1139,1139
1400,0.3487967151910325,0.3488070972284036,0.0002381323660480795,0,13,1139,1139
1450,0.3485924783902885,0.3486163060170421,0.0005638687251101566,0,30,1139,1139
1500,0.3483473942293957,0.3483528405440823,0.000489487008272132,0,28,1139,1139
1550,0.3483065468692469,0.348307227658583,0.0002991069648468376,0,47,1139,1139
1600,0.3478163785474613,0.3479831719347357,0.000481978647686194,0,9,1139,1139
1650,0.3478163785474613,0.3478163785474616,0.0006115306117874618,0,59,1139,1139
1700,0.3477755311873125,0.3477979972353946,0.0006827131395556965,0,7,1139,1139
1750,0.3474487523061222,0.3475444032078037,0.0004216503750213816,0,21,1139,1139
1800,0.3472240918253037,0.3473416981830653,0.0005029477407188916,0,16,1139,1139
1850,0.3472036681452293,0.3472036681452297,0.0001726596091253652,0,46,1139,1139
1900,0.3472036681452293,0.3472036681452297,0.0001785630469763599,0,96,1139,1139
1950,0.3471219734249317,0.3471592466410674,0.0003572629402517327,0,1,1139,1139
2000,0.3469381603042622,0.3469902406884517,0.0004140519654011765,0,22,1139,1139
2050,0.3466930761433694,0.3467359658715255,0.0002266827479694215,0,27,1139,1139
2100,0.3466113814230718,0.3466141045804152,0.0002278437743715425,0,38,1139,1139
2150,0.3463458735821046,0.3463504689101211,0.0002875483300751118,0,37,1139,1139
2200,0.3463458735821046,0.3463458735821044,0.0001752646597473231,0,87,1139,1139
2250,0.3460803657411374,0.3461024913945514,0.0001706162046761012,0,33,1139,1139
2300,0.3460803657411374,0.3460803657411375,0.0001394835669752123,0,83,1139,1139
2350,0.3460190947009142,0.3460609632450667,0.0001696631938216724,0,2,1139,1139
2400,0.3460190947009142,0.346019094700914,0.0001759721417114831,0,52,1139,1139
2450,0.3459782473407654,0.345987097602131,0.0005355924755336682,0,16,1139,1139
2500,0.3459782473407654,0.3459782473407654,0.0001880569920458332,0,66,1139,1139
2550,0.3455697737392774,0.3458570668389906,0.0002529838732962242,0,1,1139,1139
2600,0.3455697737392774,0.3455697737392777,0.0002085120467382058,0,51,1139,1139
2650,0.3455697737392774,0.3455697737392777,0.000210683369859263,0,101,1139,1139
2700,0.3455289263791286,0.3455447547311863,0.0002772834554225282,0,3,1139,1139
2750,0.3453246895783846,0.3453246895783849,0.000337962457164479,0,41,1139,1139
2800,0.3453246895783846,0.3453246895783849,0.0003495635319674052,0,91,1139,1139
2850,0.3453246895783846,0.3453246895783849,0.0003479664065734391,0,141,1139,1139
2900,0.3453246895783846,0.3453246895783849,0.0003371661097065113,0,191,1139,1139
2950,0.3451204527776406,0.345130664617678,0.0002547289082277266,0,34,1139,1139
3000,0.3451204527776406,0.3451204527776408,0.0001690503551460036,0,84,1139,1139
3050,0.3451000290975663,0.3451185806069672,0.000191557046544699,0,0,1139,1139
3100,0.3450796054174918,0.34508641331085,0.0004404932091488869,0,20,1139,1139
3150,0.3446507081359295,0.3446558140559482,0.0001758464297111464,0,40,1139,1139
3200,0.3446507081359295,0.3446507081359296,0.0001431440287913774,0,90,1139,1139
3250,0.3446507081359295,0.3446507081359296,0.0001431594945685306,0,140,1139,1139
3300,0.3446507081359295,0.3446507081359296,0.0001566689645948131,0,190,1139,1139
3350,0.3444464713351855,0.3444549812018832,0.0003081866939722471,0,35,1139,1139
3400,0.3444464713351855,0.3444464713351855,0.0001320506255219916,0,85,1139,1139
3450,0.3444464713351855,0.3444464713351855,0.000126112167135953,0,135,1139,1139
3500,0.3444464713351855,0.3444464713351855,0.0001299711006456226,0,185,1139,1139
3550,0.3444464713351855,0.3444464713351855,0.0001295092115061977,0,235,1139,1139
3600,0.3444464713351855,0.3444464713351855,0.0001311950624196793,0,285,1139,1139
3650,0.3442422345344415,0.3443766904282646,0.0001454242930419266,0,2,1139,1139
3700,0.3442422345344415,0.3442422345344413,0.000194274366949242,0,52,1139,1139
3750,0.3442422345344415,0.3442422345344413,0.0001940166919953939,0,102,1139,1139
3800,0.3442422345344415,0.3442422345344413,0.0001942277169993744,0,152,1139,1139
3850,0.3442422345344415,0.3442422345344413,0.0002001896534842997,0,202,1139,1139
3900,0.3442422345344415,0.3442422345344413,0.0001986567520643756,0,252,1139,1139
3950,0.3442422345344415,0.3442422345344413,0.000194036129711309,0,302,1139,1139
4000,0.3442422345344415,0.3442422345344413,0.0001995765674654206,0,352,1139,1139
4050,0.3442422345344415,0.3442422345344413,0.0002004441444639288,0,402,1139,1139
4100,0.3442422345344415,0.3442422345344413,0.0001997470928388047,0,452,1139,1139
4150,0.3442422345344415,0.3442422345344413,0.000193424967563504,0,502,1139,1139
4200,0.3442422345344415,0.3442422345344413,0.0001954449468075425,0,552,1139,1139
4250,0.3442422345344415,0.3442422345344413,0.0002021942065652207,0,602,1139,1139
4300,0.3442422345344415,0.3442422345344413,0.0001909205525855297,0,652,1139,1139
4350,0.3442422345344415,0.3442422345344413,0.000194274366949242,0,702,1139,1139
4400,0.3442422345344415,0.3442422345344413,0.0001954267166043166,0,752,1139,1139
4450,0.3442422345344415,0.3442422345344413,0.0001940995802343377,0,802,1139,1139
4500,0.3442422345344415,0.3442422345344413,0.0001950080193888563,0,852,1139,1139
4550,0.3442422345344415,0.3442422345344413,0.0001994851580284184,0,902,1139,1139
4600,0.3442422345344415,0.3442422345344413,0.0001943437140428389,0,952,1139,1139
4650,0.3442422345344415,0.3442422345344413,0.0001995844192234469,0,1002,1139,1139
4700,0.3442422345344415,0.3442422345344413,0.000178683380128159,0,1052,1139,1139
4750,0.3442422345344415,0.3442422345344413,0.0002045623336598624,0,1102,1139,1139
4800,0.3442422345344415,0.3442422345344413,0.0001882707444926401,0,1152,1139,1139
4850,0.3442422345344415,0.3442422345344413,0.0001942443319111716,0,1202,1139,1139
4900,0.3442422345344415,0.3442422345344413,0.00019436593999204,0,1252,1139,1139
4950,0.3442422345344415,0.3442422345344413,0.0001940928008630684,0,1302,1139,1139
5000,0.3442422345344415,0.3442422345344413,0.0001942702033401354,0,1352,1139,1139
5050,0.3442422345344415,0.3442422345344413,0.0002011409864155826,0,1402,1139,1139
5100,0.3442422345344415,0.3442422345344413,0.0001958504570655431,0,1452,1139,1139
5150,0.3442422345344415,0.3442422345344413,0.0001849103919746218,0,1502,1139,1139
5200,0.3442218108543671,0.3442243638143765,0.0002892944994940231,0,27,1139,1139
5250,0.3442218108543671,0.3442218108543673,0.0001861642012194659,0,77,1139,1139
5300,0.3442218108543671,0.3442218108543673,0.00018886887733307,0,127,1139,1139
5350,0.3442218108543671,0.3442218108543673,0.0001891783255837116,0,177,1139,1139
5400,0.3442218108543671,0.3442218108543673,0.0001951858507941512,0,227,1139,1139
5450,0.3440175740536231,0.344080547067186,0.0003809519237774859,0,18,1139,1139
5500,0.3440175740536231,0.3440175740536233,0.0001887733899955529,0,68,1139,1139
5550,0.3440175740536231,0.3440175740536233,0.0001858574231716465,0,118,1139,1139
5600,0.3440175740536231,0.3440175740536233,0.0001918417099623836,0,168,1139,1139
5650,0.3440175740536231,0.3440175740536233,0.000195080106391732,0,218,1139,1139
5700,0.3440175740536231,0.3440175740536233,0.0002057035059516511,0,268,1139,1139
5750,0.3440175740536231,0.3440175740536233,0.0001917719249813736,0,318,1139,1139
5800,0.3438133372528791,0.3439222635466093,0.0002651178346053871,0,10,1139,1139
5850,0.3438133372528791,0.3438133372528789,0.000216813233180482,0,60,1139,1139
5900,0.3438133372528791,0.3438133372528789,0.0002205912964335029,0,110,1139,1139
5950,0.3438133372528791,0.3438133372528789,0.0002088768653119249,0,160,1139,1139
6000,0.3437724898927303,0.3437752130500735,0.0002898722604404075,0,32,1139,1139
6050,0.3437724898927303,0.3437724898927303,0.0002321751649083835,0,82,1139,1139
6100,0.3437724898927303,0.3437724898927303,0.0002283376331441149,0,132,1139,1139
6150,0.3437724898927303,0.3437724898927303,0.000225888779705667,0,182,1139,1139
6200,0.3437724898927303,0.3437724898927303,0.0002327428037561894,0,232,1139,1139
6250,0.3437724898927303,0.3437724898927303,0.000229222131851504,0,282,1139,1139
6300,0.3437724898927303,0.3437724898927303,0.0002334326302238731,0,332,1139,1139
6350,0.3437724898927303,0.3437724898927303,0.0002339991167828012,0,382,1139,1139
6400,0.3437724898927303,0.3437724898927303,0.0002325876099016075,0,432,1139,1139
6450,0.3437724898927303,0.3437724898927303,0.000223954471776612,0,482,1139,1139
6500,0.3437724898927303,0.3437724898927303,0.0002262667024862103,0,532,1139,1139
6550,0.3437724898927303,0.3437724898927303,0.0002235868739173319,0,582,1139,1139
6600,0.3437724898927303,0.3437724898927303,0.0002322294877485697,0,632,1139,1139
6650,0.3437724898927303,0.3437724898927303,0.0002270412089832972,0,682,1139,1139
6700,0.3437724898927303,0.3437724898927303,0.0002339146418193844,0,732,1139,1139
6750,0.3437724898927303,0.3437724898927303,0.0002203434378721823,0,782,1139,1139
6800,0.3437724898927303,0.3437724898927303,0.0002277507778161535,0,832,1139,1139
6850,0.3437724898927303,0.3437724898927303,0.0002168189888180153,0,882,1139,1139
6900,0.3437724898927303,0.3437724898927303,0.0002284284492383697,0,932,1139,1139
6950,0.3437724898927303,0.3437724898927303,0.0002301782366242522,0,982,1139,1139
7000,0.3437724898927303,0.3437724898927303,0.0002213119371397188,0,1032,1139,1139
7050,0.3437724898927303,0.3437724898927303,0.000229838704076933,0,1082,1139,1139
7100,0.3437724898927303,0.3437724898927303,0.0002209212165828091,0,1132,1139,1139
7150,0.3437724898927303,0.3437724898927303,0.0002469268243024141,0,1182,1139,1139
7200,0.3437316425325815,0.3437435563459584,0.0005255590117247678,0,23,1139,1139
7250,0.3437316425325815,0.3437316425325816,0.0002689847537464477,0,73,1139,1139
7300,0.3437316425325815,0.3437316425325816,0.0002638612498620491,0,123,1139,1139
7350,0.3437316425325815,0.3437316425325816,0.0002673172130068019,0,173,1139,1139
7400,0.3435069820517631,0.343595314468085,0.0005026243193822065,0,18,1139,1139
7450,0.3435069820517631,0.3435069820517634,0.0004401595861418996,0,68,1139,1139
7500,0.3435069820517631,0.3435069820517634,0.0004408700631851037,0,118,1139,1139
7550,0.3435069820517631,0.3435069820517634,0.0004375187752904345,0,168,1139,1139
7600,0.3435069820517631,0.3435069820517634,0.0004370304595596611,0,218,1139,1139
7650,0.3432823215709447,0.3433510812938618,0.000844048208634449,0,19,1139,1139
7700,0.3432823215709447,0.3432823215709446,0.0002479868457504266,0,69,1139,1139
7750,0.3432823215709447,0.3432823215709446,0.0002306826811243213,0,119,1139,1139
7800,0.3432823215709447,0.3432823215709446,0.0002408869864819653,0,169,1139,1139
7850,0.3432823215709447,0.3432823215709446,0.0002361328490329669,0,219,1139,1139
7900,0.3432823215709447,0.3432823215709446,0.0002321976460712333,0,269,1139,1139
7950,0.3432823215709447,0.3432823215709446,0.0002396586207773304,0,319,1139,1139
8000,0.3432823215709447,0.3432823215709446,0.0002391075585437737,0,369,1139,1139
8050,0.3432823215709447,0.3432823215709446,0.0002361268735609588,0,419,1139,1139
8100,0.3432823215709447,0.3432823215709446,0.0002369156307325677,0,469,1139,1139
8150,0.3432823215709447,0.3432823215709446,0.0002410166641676827,0,519,1139,1139
8200,0.3432823215709447,0.3432823215709446,0.0002362342496420593,0,569,1139,1139
8250,0.3432823215709447,0.3432823215709446,0.0002299400614776422,0,619,1139,1139
8300,0.3432823215709447,0.3432823215709446,0.0002450108093463204,0,669,1139,1139
8350,0.3432823215709447,0.3432823215709446,0.0002348200771288277,0,719,1139,1139
8400,0.3432823215709447,0.3432823215709446,0.0002361973025769398,0,769,1139,1139
8450,0.3432823215709447,0.3432823215709446,0.0002370006736174069,0,819,1139,1139
8500,0.3432823215709447,0.3432823215709446,0.000237314720771876,0,869,1139,1139
8550,0.3432823215709447,0.3432823215709446,0.0002313381489905205,0,919,1139,1139
8600,0.3432823215709447,0.3432823215709446,0.0002360419954885239,0,969,1139,1139
8650,0.3432823215709447,0.3432823215709446,0.0002346181083348417,0,1019,1139,1139
8700,0.3432823215709447,0.3432823215709446,0.0002355721127574297,0,1069,1139,1139
8750,0.3432823215709447,0.3432823215709446,0.0002368009120423875,0,1119,1139,1139
8800,0.3432823215709447,0.3432823215709446,0.0002405461524118541,0,1169,1139,1139
8850,0.3432823215709447,0.3432823215709446,0.0002393455627961464,0,1219,1139,1139
8900,0.3432823215709447,0.3432823215709446,0.0002411043143354112,0,1269,1139,1139
8950,0.3432823215709447,0.3432823215709446,0.0002378026703752006,0,1319,1139,1139
9000,0.3432823215709447,0.3432823215709446,0.0002403151404572418,0,1369,1139,1139
9050,0.3432823215709447,0.3432823215709446,0.0002386907206230048,0,1419,1139,1139
9100,0.3432823215709447,0.3432823215709446,0.0002315650565318654,0,1469,1139,1139
9150,0.3432823215709447,0.3432823215709446,0.0002320168244192847,0,1519,1139,1139
9200,0.3432823215709447,0.3432823215709446,0.0002402752721398773,0,1569,1139,1139
9250,0.3432823215709447,0.3432823215709446,0.0002362342496420593,0,1619,1139,1139
9300,0.3432823215709447,0.3432823215709446,0.0002395576001730228,0,1669,1139,1139
9350,0.3432823215709447,0.3432823215709446,0.0002354196910987873,0,1719,1139,1139
9400,0.3432823215709447,0.3432823215709446,0.0002471594695631722,0,1769,1139,1139
9450,0.3432823215709447,0.3432823215709446,0.0002390105478038141,0,1819,1139,1139
9500,0.3432823215709447,0.3432823215709446,0.000236654643755807,0,1869,1139,1139
9550,0.3432823215709447,0.3432823215709446,0.0002357622860384986,0,1919,1139,1139
9600,0.3432823215709447,0.3432823215709446,0.0002396949957225677,0,1969,1139,1139
9650,0.3432823215709447,0.3432823215709446,0.0002361080266324866,0,2019,1139,1139
9700,0.3432823215709447,0.3432823215709446,0.0002292503132944384,0,2069,1139,1139
9750,0.3432823215709447,0.3432823215709446,0.0002312456309858795,0,2119,1139,1139
9800,0.3432823215709447,0.3432823215709446,0.0002456542349035129,0,2169,1139,1139
9850,0.3432823215709447,0.3432823215709446,0.0002290793026368518,0,2219,1139,1139
9900,0.3432823215709447,0.3432823215709446,0.0002369157440930935,0,2269,1139,1139
9950,0.3432823215709447,0.3432823215709446,0.0002355731650131887,0,2319,1139,1139
10000,0.3432823215709447,0.3432823215709446,0.0002414379713774471,0,2369,1139,1139
