Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '1' '--alpha' '0.8' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_100.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '100' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 1
Pini (heuristic prob): 0.4
Objective alpha: 0.8
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 35
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_100.txt"
[Normalization] f1_ref (makespan) = 90.9285
[Normalization] f2_ref (energy) = 14.6194
[Normalization] alpha = 0.8

=== Running CGA Solver ===
CGA mode: objective-compatible with CED_Schedule (best_fit smaller is better)
CGA params: pop=300, gen=10000, pc=0.75, pm(early/late)=0.03/0.01, cat=150, cat_apply_gen<=5000
Gen 50: best_fit = 0.493806
Gen 100: best_fit = 0.493376
Gen 150: best_fit = 0.493296
Gen 200: best_fit = 0.493296
Gen 250: best_fit = 0.493296
Gen 300: best_fit = 0.493216
Gen 350: best_fit = 0.493216
Gen 400: best_fit = 0.493148
Gen 450: best_fit = 0.493102
Gen 500: best_fit = 0.492942
Gen 550: best_fit = 0.492786
Gen 600: best_fit = 0.492731
Gen 650: best_fit = 0.492731
Gen 700: best_fit = 0.492541
Gen 750: best_fit = 0.49244
Gen 800: best_fit = 0.492428
Gen 850: best_fit = 0.492373
Gen 900: best_fit = 0.492284
Gen 950: best_fit = 0.492196
Gen 1000: best_fit = 0.492192
Gen 1050: best_fit = 0.492086
Gen 1100: best_fit = 0.492002
Gen 1150: best_fit = 0.491943
Gen 1200: best_fit = 0.491808
Gen 1250: best_fit = 0.491808
Gen 1300: best_fit = 0.491656
Gen 1350: best_fit = 0.491521
Gen 1400: best_fit = 0.491425
Gen 1450: best_fit = 0.491319
Gen 1500: best_fit = 0.491167
Gen 1550: best_fit = 0.491066
Gen 1600: best_fit = 0.491066
Gen 1650: best_fit = 0.490961
Gen 1700: best_fit = 0.490906
Gen 1750: best_fit = 0.490864
Gen 1800: best_fit = 0.49086
Gen 1850: best_fit = 0.490695
Gen 1900: best_fit = 0.490649
Gen 1950: best_fit = 0.490649
Gen 2000: best_fit = 0.490649
Gen 2050: best_fit = 0.490544
Gen 2100: best_fit = 0.490443
Gen 2150: best_fit = 0.490333
Gen 2200: best_fit = 0.490333
Gen 2250: best_fit = 0.490236
Gen 2300: best_fit = 0.490194
Gen 2350: best_fit = 0.490135
Gen 2400: best_fit = 0.490076
Gen 2450: best_fit = 0.489916
Gen 2500: best_fit = 0.489916
Gen 2550: best_fit = 0.489916
Gen 2600: best_fit = 0.489869
Gen 2650: best_fit = 0.489777
Gen 2700: best_fit = 0.489722
Gen 2750: best_fit = 0.489671
Gen 2800: best_fit = 0.489671
Gen 2850: best_fit = 0.489558
Gen 2900: best_fit = 0.489558
Gen 2950: best_fit = 0.489516
Gen 3000: best_fit = 0.489516
Gen 3050: best_fit = 0.489507
Gen 3100: best_fit = 0.489334
Gen 3150: best_fit = 0.489263
Gen 3200: best_fit = 0.489216
Gen 3250: best_fit = 0.489174
Gen 3300: best_fit = 0.489128
Gen 3350: best_fit = 0.489077
Gen 3400: best_fit = 0.489077
Gen 3450: best_fit = 0.489035
Gen 3500: best_fit = 0.489031
Gen 3550: best_fit = 0.489031
Gen 3600: best_fit = 0.488972
Gen 3650: best_fit = 0.488968
Gen 3700: best_fit = 0.488926
Gen 3750: best_fit = 0.488926
Gen 3800: best_fit = 0.488926
Gen 3850: best_fit = 0.488879
Gen 3900: best_fit = 0.48882
Gen 3950: best_fit = 0.488778
Gen 4000: best_fit = 0.488778
Gen 4050: best_fit = 0.488626
Gen 4100: best_fit = 0.488584
Gen 4150: best_fit = 0.48858
Gen 4200: best_fit = 0.488521
Gen 4250: best_fit = 0.48847
Gen 4300: best_fit = 0.488361
Gen 4350: best_fit = 0.488361
Gen 4400: best_fit = 0.488361
Gen 4450: best_fit = 0.488264
Gen 4500: best_fit = 0.488264
Gen 4550: best_fit = 0.488209
Gen 4600: best_fit = 0.488209
Gen 4650: best_fit = 0.488205
Gen 4700: best_fit = 0.48815
Gen 4750: best_fit = 0.488108
Gen 4800: best_fit = 0.488108
Gen 4850: best_fit = 0.488057
