Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '4' '--alpha' '0.8' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_100.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '100' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 4
Pini (heuristic prob): 0.4
Objective alpha: 0.8
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 35
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_100.txt"
[Normalization] f1_ref (makespan) = 90.9285
[Normalization] f2_ref (energy) = 14.6194
[Normalization] alpha = 0.8

=== Running CGA Solver ===
CGA mode: objective-compatible with CED_Schedule (best_fit smaller is better)
CGA params: pop=300, gen=10000, pc=0.75, pm(early/late)=0.03/0.01, cat=150, cat_apply_gen<=5000
Gen 7050: best_fit = 0.487682
Gen 7100: best_fit = 0.48764
Gen 7150: best_fit = 0.487581
Gen 7200: best_fit = 0.487581
Gen 7250: best_fit = 0.487581
Gen 7300: best_fit = 0.487581
Gen 7350: best_fit = 0.487581
Gen 7400: best_fit = 0.487535
Gen 7450: best_fit = 0.487535
Gen 7500: best_fit = 0.487535
Gen 7550: best_fit = 0.487484
Gen 7600: best_fit = 0.487476
Gen 7650: best_fit = 0.487476
Gen 7700: best_fit = 0.487476
Gen 7750: best_fit = 0.487476
Gen 7800: best_fit = 0.487434
Gen 7850: best_fit = 0.487434
Gen 7900: best_fit = 0.487434
Gen 7950: best_fit = 0.487434
Gen 8000: best_fit = 0.487434
Gen 8050: best_fit = 0.487392
Gen 8100: best_fit = 0.487392
Gen 8150: best_fit = 0.487392
Gen 8200: best_fit = 0.487375
Gen 8250: best_fit = 0.487375
Gen 8300: best_fit = 0.487375
Gen 8350: best_fit = 0.487375
Gen 8400: best_fit = 0.48737
Gen 8450: best_fit = 0.487366
Gen 8500: best_fit = 0.487366
Gen 8550: best_fit = 0.487324
Gen 8600: best_fit = 0.487324
Gen 8650: best_fit = 0.487307
Gen 8700: best_fit = 0.487307
Gen 8750: best_fit = 0.487307
Gen 8800: best_fit = 0.487307
Gen 8850: best_fit = 0.487307
Gen 8900: best_fit = 0.487307
Gen 8950: best_fit = 0.487307
Gen 9000: best_fit = 0.487307
Gen 9050: best_fit = 0.487307
Gen 9100: best_fit = 0.487295
Gen 9150: best_fit = 0.487295
Gen 9200: best_fit = 0.487295
Gen 9250: best_fit = 0.487252
Gen 9300: best_fit = 0.487202
Gen 9350: best_fit = 0.487202
Gen 9400: best_fit = 0.487202
Gen 9450: best_fit = 0.487202
Gen 9500: best_fit = 0.487202
Gen 9550: best_fit = 0.487193
Gen 9600: best_fit = 0.487151
Gen 9650: best_fit = 0.487151
Gen 9700: best_fit = 0.487151
Gen 9750: best_fit = 0.487147
Gen 9800: best_fit = 0.487147
Gen 9850: best_fit = 0.487147
Gen 9900: best_fit = 0.487139
Gen 9950: best_fit = 0.48713
Gen 10000: best_fit = 0.487126

=== Final Results (CGA) ===
Solver: CGA
Generations = 10000
Best generation = 9997
Catastrophe triggers = 4
Best fitness = 0.487126
The best solution = 0.487126
Time = 74.722 s

exit code 0
Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CGA --seed 4 --alpha 0.8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_100.txt --cnum 100 --enum 100 --dnum 300 --tnum 100 --mopt 5

exit code 0
