Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '6' '--alpha' '0.8' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_100.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '100' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 6
Pini (heuristic prob): 0.4
Objective alpha: 0.8
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 35
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_100.txt"
[Normalization] f1_ref (makespan) = 90.8788
[Normalization] f2_ref (energy) = 14.6194
[Normalization] alpha = 0.8

=== Running CGA Solver ===
CGA mode: objective-compatible with CED_Schedule (best_fit smaller is better)
CGA params: pop=300, gen=10000, pc=0.75, pm(early/late)=0.03/0.01, cat=150, cat_apply_gen<=5000
Gen 50: best_fit = 0.493947
Gen 100: best_fit = 0.493884
Gen 150: best_fit = 0.493884
Gen 200: best_fit = 0.493724
Gen 250: best_fit = 0.493585
Gen 300: best_fit = 0.493585
Gen 350: best_fit = 0.493585
Gen 400: best_fit = 0.49353
Gen 450: best_fit = 0.493256
Gen 500: best_fit = 0.493197
Gen 550: best_fit = 0.492999
Gen 600: best_fit = 0.492885
Gen 650: best_fit = 0.492784
Gen 700: best_fit = 0.49262
Gen 750: best_fit = 0.492578
Gen 800: best_fit = 0.492321
Gen 850: best_fit = 0.492219
Gen 900: best_fit = 0.492215
Gen 950: best_fit = 0.492097
Gen 1000: best_fit = 0.492085
Gen 1050: best_fit = 0.492009
Gen 1100: best_fit = 0.491967
Gen 1150: best_fit = 0.49195
Gen 1200: best_fit = 0.491747
Gen 1250: best_fit = 0.491638
Gen 1300: best_fit = 0.491583
Gen 1350: best_fit = 0.491533
Gen 1400: best_fit = 0.491469
Gen 1450: best_fit = 0.491415
Gen 1500: best_fit = 0.491364
Gen 1550: best_fit = 0.491297
Gen 1600: best_fit = 0.491233
Gen 1650: best_fit = 0.491221
Gen 1700: best_fit = 0.491132
Gen 1750: best_fit = 0.491132
Gen 1800: best_fit = 0.49112
Gen 1850: best_fit = 0.491073
Gen 1900: best_fit = 0.490985
Gen 1950: best_fit = 0.49093
Gen 2000: best_fit = 0.490774
Gen 2050: best_fit = 0.490728
Gen 2100: best_fit = 0.490677
Gen 2150: best_fit = 0.490635
Gen 2200: best_fit = 0.490593
Gen 2250: best_fit = 0.490487
Gen 2300: best_fit = 0.490433
Gen 2350: best_fit = 0.490424
Gen 2400: best_fit = 0.490403
Gen 2450: best_fit = 0.490361
Gen 2500: best_fit = 0.490361
Gen 2550: best_fit = 0.490353
Gen 2600: best_fit = 0.490294
Gen 2650: best_fit = 0.490294
Gen 2700: best_fit = 0.490239
Gen 2750: best_fit = 0.490239
Gen 2800: best_fit = 0.49023
Gen 2850: best_fit = 0.490213
Gen 2900: best_fit = 0.49018
Gen 2950: best_fit = 0.490112
Gen 3000: best_fit = 0.49007
Gen 3050: best_fit = 0.49002
Gen 3100: best_fit = 0.489961
Gen 3150: best_fit = 0.489902
Gen 3200: best_fit = 0.489868
Gen 3250: best_fit = 0.489771
Gen 3300: best_fit = 0.489771
Gen 3350: best_fit = 0.489758
Gen 3400: best_fit = 0.489758
Gen 3450: best_fit = 0.489758
Gen 3500: best_fit = 0.489699
Gen 3550: best_fit = 0.489653
Gen 3600: best_fit = 0.489602
Gen 3650: best_fit = 0.48959
Gen 3700: best_fit = 0.48959
Gen 3750: best_fit = 0.489451
Gen 3800: best_fit = 0.489442
Gen 3850: best_fit = 0.4894
Gen 3900: best_fit = 0.489345
Gen 3950: best_fit = 0.489345
Gen 4000: best_fit = 0.489337
Gen 4050: best_fit = 0.489337
Gen 4100: best_fit = 0.489337
Gen 4150: best_fit = 0.489286
Gen 4200: best_fit = 0.48924
Gen 4250: best_fit = 0.489232
Gen 4300: best_fit = 0.489189
Gen 4350: best_fit = 0.48913
Gen 4400: best_fit = 0.489029
Gen 4450: best_fit = 0.489029
Gen 4500: best_fit = 0.488987
Gen 4550: best_fit = 0.488979
Gen 4600: best_fit = 0.488932
Gen 4650: best_fit = 0.488924
Gen 4700: best_fit = 0.488873
Gen 4750: best_fit = 0.488819
Gen 4800: best_fit = 0.488726
Gen 4850: best_fit = 0.488722
Gen 4900: best_fit = 0.488675
Gen 4950: best_fit = 0.488629
Gen 5000: best_fit = 0.488481
Gen 5050: best_fit = 0.488481
Gen 5100: best_fit = 0.488477
Gen 5150: best_fit = 0.488418
Gen 5200: best_fit = 0.488317
Gen 5250: best_fit = 0.48822
Gen 5300: best_fit = 0.488203
Gen 5350: best_fit = 0.488144
Gen 5400: best_fit = 0.488144
Gen 5450: best_fit = 0.488102
Gen 5500: best_fit = 0.488043
Gen 5550: best_fit = 0.488001
Gen 5600: best_fit = 0.487946
Gen 5650: best_fit = 0.487946
Gen 5700: best_fit = 0.487896
Gen 5750: best_fit = 0.487896
Gen 5800: best_fit = 0.487786
Gen 5850: best_fit = 0.487786
Gen 5900: best_fit = 0.48774
Gen 5950: best_fit = 0.48774
Gen 6000: best_fit = 0.487736
Gen 6050: best_fit = 0.487736
