generation,block_id,reward_mean,reward_variance,reward_min,reward_max
1,0,0.003842643098246187,0.0001411988379817401,-0.001262845819304152,0.03526169514040136
1,1,0.2,7.703719777548943e-34,0.2,0.2
1,2,0.2,7.703719777548943e-34,0.2,0.2
2,0,0.002523481616983503,5.216831380275425e-05,-0.001597811336215693,0.02096380917029135
2,1,0.000153438880392406,5.848220548867619e-08,-8.718016000001939e-06,0.0007036043878180477
2,2,0.0003324496161295732,7.339728090445368e-06,-0.002604244369524352,0.006448834849556131
3,0,-0.0005526521769771193,1.410356361515846e-07,-0.001314282941472809,0.0001246870084214258
3,1,0.002671644862621933,5.247690045695642e-06,-6.465856000001381e-06,0.007017585641821194
3,2,-0.001159552772385445,7.468580665301934e-07,-0.002760259793930512,-7.283358482546576e-05
4,0,0.002815191795069103,7.691046631310627e-05,-0.001017816790458244,0.02600641806523154
4,1,0.0004396842874115277,5.193912337131026e-08,-5.927935999998357e-06,0.0007682761816120848
4,2,-0.001282221320371255,7.889677832529679e-07,-0.003279423717289129,-0.0004174917818341804
5,0,0.0007842044294514322,8.408983158758613e-06,-0.000779481690524244,0.008408354295762442
5,1,0.0003339265388607048,1.637960515754888e-07,-9.654399999989295e-07,0.00116035039373393
5,2,-0.0002598394002849319,3.205350966380791e-07,-0.0009142229120213584,0.0008568291528466025
