gen,GA mean,GA var,DE mean,DE var,GDE mean,GDE var,CCHIHH (non-stable) mean,CCHIHH (non-stable) var,CCHIHH (stable) mean,CCHIHH (stable) var
50,55.80315,1.780049999999359e-05,55.77892000000001,0.0002300335999999916,55.768060000000006,6.909040000000106e-05,55.74811,3.268090000000351e-05,55.739239999999995,4.3964399999994025e-05
100,55.80284,2.0122399999995706e-05,55.76026,0.0007054603999999986,55.75406,9.214639999999582e-05,55.72156,6.442039999999982e-05,55.696630000000006,7.747210000000385e-05
150,55.80284,2.0122399999995706e-05,55.75747,0.0007648781000000818,55.740539999999996,6.096240000001788e-05,55.70083999999999,0.00014648239999999845,55.6678,8.826999999998603e-05
200,55.802369999999996,2.5508100000002172e-05,55.754690000000004,0.0008296109000000155,55.734429999999996,0.00011879410000003243,55.69077,0.0002053740999999847,55.652229999999996,0.00012560009999999273
250,55.802369999999996,2.5508100000002172e-05,55.75299,0.001021360899999964,55.729499999999994,0.00015996600000002618,55.68229,0.00035330490000002137,55.63436,0.0001496203999999962
300,55.80167,2.767809999999692e-05,55.75265,0.0010234144999999634,55.72438,0.00020928959999999886,55.6737,0.0005684200000000137,55.61794999999999,0.00013779250000002665
350,55.80123999999999,2.5522399999997762e-05,55.750620000000005,0.0012928395999999658,55.7201,0.00023194400000000427,55.665530000000004,0.000802136099999996,55.59985,0.00010537849999998753
400,55.79978,3.074359999999977e-05,55.746500000000005,0.001753486000000103,55.71509,0.000258888899999946,55.65808,0.0009889115999999814,55.583389999999994,0.00010487290000000626
450,55.799,2.9028000000000268e-05,55.74462,0.0020840236000000036,55.71,0.0002140639999999825,55.65043000000001,0.0013379780999999704,55.56658,6.334360000000033e-05
500,55.799,2.9028000000000268e-05,55.743730000000006,0.0020938081000000195,55.707029999999996,0.00021496609999998502,55.645439999999994,0.0017172984000000612,55.55137,8.549209999999928e-05
