gen,GA,DE,GDE,CCHIHH (non-stable),CCHIHH (stable)
50,55.80315,55.77892,55.76806,55.748219999999996,55.73989
100,55.80284,55.76026,55.75406,55.72123,55.696600000000004
150,55.80284,55.75747,55.74054,55.7012,55.66777
200,55.802369999999996,55.75469,55.73443,55.69,55.64671
250,55.802369999999996,55.75299,55.7295,55.67821,55.626689999999996
300,55.80167,55.75265,55.724380000000004,55.66855,55.6076
350,55.80124,55.75062,55.7201,55.66211,55.59012
400,55.79978,55.7465,55.715090000000004,55.65493,55.57476
450,55.799,55.74462,55.71,55.64861,55.55865
500,55.799,55.74373,55.70703,55.63855,55.54565
