=== CED_Schedule Configuration ===
Data directory: "data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 5
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: "data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8115
Gen 50: best_fit = 55.7373
Gen 100: best_fit = 55.7056
Gen 150: best_fit = 55.6742
Gen 200: best_fit = 55.6575
Gen 250: best_fit = 55.6323
Gen 300: best_fit = 55.6107
Gen 350: best_fit = 55.5962
Gen 400: best_fit = 55.5805
Gen 450: best_fit = 55.566
Gen 500: best_fit = 55.5522
Gen 550: best_fit = 55.5411
Gen 600: best_fit = 55.5254
Gen 650: best_fit = 55.5072
Gen 700: best_fit = 55.4992
Gen 750: best_fit = 55.4881
Gen 800: best_fit = 55.4804
Gen 850: best_fit = 55.473
Gen 900: best_fit = 55.4659
Gen 950: best_fit = 55.4496
Gen 1000: best_fit = 55.4453
Gen 1050: best_fit = 55.441
Gen 1100: best_fit = 55.4363
Gen 1150: best_fit = 55.4293
Gen 1200: best_fit = 55.4209
Gen 1250: best_fit = 55.4126
Gen 1300: best_fit = 55.4012
Gen 1350: best_fit = 55.3914
Gen 1400: best_fit = 55.3861
Gen 1450: best_fit = 55.3818
Gen 1500: best_fit = 55.3787
Gen 1550: best_fit = 55.3747
Gen 1600: best_fit = 55.3704
Gen 1650: best_fit = 55.367
Gen 1700: best_fit = 55.3661
Gen 1750: best_fit = 55.3655
Gen 1800: best_fit = 55.3618
Gen 1850: best_fit = 55.3578
Gen 1900: best_fit = 55.3495
Gen 1950: best_fit = 55.3381
Gen 2000: best_fit = 55.3341
Gen 2050: best_fit = 55.327
