Scale,Config,N,Mean,Std,Best,Median,Worst
T200,CCHIHH_stable_migration_on,10,995.7999,6.7247,991.2760,993.0460,1013.4100
T200,CCHIHH_stable_migration_off,10,1099.6930,51.8429,1034.0700,1089.8850,1196.1400
