seed,gate_blocked_total,gate_fallback_total
1,7146,7146
2,12338,12338
3,20154,20154
4,15252,15252
5,20165,20165
6,6746,6746
7,23526,23526
8,13542,13542
9,5775,5775
10,19062,19062

metric,mean,std,min,max
gate_blocked_total,14370.6,6347.895420268568,5775,23526
gate_fallback_total,14370.6,6347.895420268568,5775,23526
