Scale,Threshold,Config,N,HitGen_Mean,HitGen_Std,Mean+-Std
T500,1219.3580,CCHIHH_stable_migration_on,10,9075.00,1574.14,9075.00+-1574.14
T500,1219.3580,CCHIHH_stable_migration_off,10,10000.00,0.00,10000.00+-0.00
