algorithm,instance,scenario_family,severity,seed,best_fitness,runtime_sec,eval_budget
CCHIHH,T500,edge_reduction,r20,1,0.026196,148.769,400000
CGA,T500,edge_reduction,r20,1,0.0429262,159.802,400000
DSAC-DE,T500,edge_reduction,r20,1,0.0393324,119.424,400000
IMOMA,T500,edge_reduction,r20,1,0.0418424,171.807,400000
CCHIHH,T500,edge_reduction,r30,1,0.0230712,143.31,400000
CGA,T500,edge_reduction,r30,1,0.038715,157.139,400000
DSAC-DE,T500,edge_reduction,r30,1,0.0359748,119.931,400000
IMOMA,T500,edge_reduction,r30,1,0.0368919,176.481,400000
CCHIHH,T500,nominal,nominal,1,0.027684,231.423,400000
CGA,T500,nominal,nominal,1,0.0397316,742.435,400000
DSAC-DE,T500,nominal,nominal,1,0.0345515,50.026,400000
IMOMA,T500,nominal,nominal,1,0.0468562,1208.62,400000
