instance,scenario_family,severity,algorithm,nominal_mean,stress_mean,degradation_percent
T500,device_reduction,r20,CGA,0.0397316,0.0500673,26.0138026155504
T500,device_reduction,r20,DSAC-DE,0.0345515,0.0489025,41.5350997785914
T500,device_reduction,r20,IMOMA,0.0468562,0.0411626,-12.1512201160145
T500,device_reduction,r30,CCHIHH,0.027684,0.0319535,15.4222655685595
T500,device_reduction,r30,CGA,0.0397316,0.0496358,24.9277653051979
T500,device_reduction,r30,DSAC-DE,0.0345515,0.0484621,40.2604807316614
T500,device_reduction,r30,IMOMA,0.0468562,0.0399388,-14.7630409636291
T500,edge_reduction,r10,CCHIHH,0.027684,0.0280452,1.30472475075856
T500,edge_reduction,r10,CGA,0.0397316,0.0446853,12.4679096739119
T500,edge_reduction,r10,DSAC-DE,0.0345515,0.0403409,16.7558571986744
T500,edge_reduction,r10,IMOMA,0.0468562,0.0360206,-23.1252214221384
T500,edge_reduction,r20,CCHIHH,0.027684,0.026196,-5.37494581707846
T500,edge_reduction,r20,CGA,0.0397316,0.0429262,8.04045142908918
T500,edge_reduction,r20,DSAC-DE,0.0345515,0.0393324,13.8370258888905
T500,edge_reduction,r20,IMOMA,0.0468562,0.0418424,-10.7003982397207
T500,edge_reduction,r30,CCHIHH,0.027684,0.0230712,-16.6623320329432
T500,edge_reduction,r30,CGA,0.0397316,0.038715,-2.55866866675392
T500,edge_reduction,r30,DSAC-DE,0.0345515,0.0359748,4.11935805970798
T500,edge_reduction,r30,IMOMA,0.0468562,0.0368919,-21.2657022976682
T500,nominal,nominal,CCHIHH,0.027684,0.027684,0
T500,nominal,nominal,CGA,0.0397316,0.0397316,0
T500,nominal,nominal,DSAC-DE,0.0345515,0.0345515,0
T500,nominal,nominal,IMOMA,0.0468562,0.0468562,0
