gen,nsubpop=1 mean,nsubpop=1 var,nsubpop=8 mean,nsubpop=8 var
50,1603.838,3630.7440759999945,1505.8120000000001,3980.5325760000014
100,1524.529,3129.0075289999995,1399.7450000000001,3143.1185450000025
150,1475.319,1769.465869,1339.1709999999998,2647.500789
200,1430.018,1065.875276000002,1273.029,2014.4618289999974
250,1396.542,949.9525759999984,1239.984,2164.2898040000023
300,1377.498,1214.000615999999,1208.497,1827.1847809999986
350,1361.938,2141.9014559999996,1187.261,2042.342248999999
400,1347.476,2100.8956840000033,1170.941,1993.2321289999993
450,1333.905,2284.055465000003,1156.093,2244.524720999999
500,1319.6380000000001,2442.782935999997,1144.6100000000001,2426.835340000002
550,1301.2,2395.854200000002,1135.165,2774.0609249999984
600,1290.722,2131.5261760000017,1125.426,2840.1984839999977
650,1284.978,2346.1442160000015,1116.71,2988.717459999997
700,1272.817,2328.134701000004,1111.101,3119.8359289999994
750,1263.876,2341.691063999999,1103.486,3218.6939040000007
800,1254.974,2259.535023999998,1096.466,2507.9277239999988
850,1249.655,2741.0642450000005,1091.0610000000001,2029.1571090000004
900,1246.679,2783.240028999997,1084.998,1706.7987159999989
950,1241.162,2723.126436000002,1081.021,1529.353368999999
1000,1231.215,2489.481925000001,1076.033,1170.1257410000032
1050,1224.259,2683.819849,1072.724,1120.8127240000003
1100,1218.411,2660.6072890000014,1071.218,1100.1301559999988
1150,1215.727,2702.014541,1066.187,930.7732610000003
1200,1212.974,2767.7313240000017,1060.6380000000001,664.5543360000003
1250,1208.173,2624.804421000001,1056.472,612.5873559999993
1300,1203.15,2561.218660000002,1052.4360000000001,627.0014640000004
1350,1199.059,2463.9845290000007,1049.08,539.7786999999995
1400,1197.038,2488.9972959999996,1047.303,538.418281
1450,1193.815,2364.383165000001,1044.885,417.20890500000104
1500,1189.8049999999998,2283.502625000002,1043.71,383.60323999999855
1550,1185.781,2181.6331290000026,1041.899,333.6022489999997
1600,1181.99,1876.1077599999983,1039.667,286.5158209999981
1650,1178.442,1653.3265559999982,1037.792,203.57163599999961
1700,1174.151,1715.8154889999987,1034.46,138.64990000000049
1750,1172.215,1706.421324999998,1033.694,134.96736399999963
1800,1167.47,1931.6335400000003,1032.1770000000001,133.90926099999953
1850,1163.769,1933.705328999999,1031.467,131.2210210000002
1900,1161.125,2053.4974650000017,1030.77,117.75824000000034
1950,1156.789,2043.3707690000003,1030.214,114.33400400000009
2000,1156.335,2070.5851249999982,1029.6299999999999,111.40349999999998
2050,1155.297,2078.546241,1028.3120000000001,84.95537599999987
2100,1154.4940000000001,2079.4124839999995,1027.599,78.62480900000043
2150,1153.931,2131.2807290000014,1026.038,44.14149599999985
2200,1152.378,2253.5205160000023,1025.3600000000001,41.16387999999984
2250,1149.9389999999999,2318.2246690000006,1024.609,45.754308999999566
2300,1148.3790000000001,2246.029049,1024.085,43.760065000000104
2350,1147.706,2275.6490040000003,1023.4010000000001,41.15508900000004
2400,1147.211,2285.7720690000006,1022.448,33.82377599999964
2450,1144.9450000000002,2332.939584999999,1021.3280000000001,25.456995999999997
2500,1144.024,2350.1921239999992,1020.2819999999999,22.642476000000123
2550,1143.874,2354.0701039999976,1019.568,25.5016560000001
2600,1141.467,2220.894000999998,1019.2539999999999,26.015543999999828
2650,1141.128,2211.1088359999967,1018.9119999999999,25.93861599999998
2700,1140.403,2184.293320999997,1018.3460000000001,22.9860840000002
2750,1139.984,2164.7864439999985,1017.376,19.28942399999981
2800,1138.374,2213.2479240000025,1016.976,22.489263999999928
2850,1136.35,2336.820279999999,1016.631,22.47900899999984
2900,1134.906,2342.336643999998,1016.3209999999999,22.894249
2950,1133.455,2376.7247450000004,1016.108,23.999696000000025
3000,1132.3960000000002,2445.9832840000017,1015.7,25.115120000000125
3050,1131.047,2506.7840009999964,1015.3950000000001,25.078285000000008
3100,1129.663,2538.3021809999987,1015.208,24.887216000000013
3150,1128.71,2547.08132,1014.9200000000001,24.500799999999977
3200,1128.386,2545.9262839999997,1014.6959999999999,24.02558400000017
3250,1127.084,2545.2768439999986,1014.235,25.978205000000127
3300,1125.16,2502.111659999997,1013.751,28.863068999999882
3350,1124.743,2505.023580999998,1013.2950000000001,30.639645000000094
3400,1122.919,2509.5870489999998,1012.402,29.392516000000068
3450,1122.205,2522.5392049999973,1011.9540000000001,30.945244000000137
3500,1121.508,2549.451175999997,1011.6690000000001,30.375709000000064
3550,1120.984,2561.1569639999993,1011.414,30.8683839999999
3600,1120.319,2619.881109000001,1011.2030000000001,30.091060999999836
3650,1120.29,2621.9893800000004,1010.997,30.248961000000087
3700,1120.193,2624.283220999997,1010.79,29.57856000000016
3750,1120.028,2634.184155999997,1010.5629999999999,29.908680999999945
3800,1119.67,2651.265120000002,1010.2450000000001,30.664244999999898
3850,1119.259,2655.610029,1010.0469999999999,29.970661000000007
3900,1118.8619999999999,2678.680475999999,1009.686,31.96484400000005
3950,1118.182,2709.5737959999997,1009.473,31.322060999999756
4000,1117.732,2741.9592759999996,1009.3,31.644240000000043
4050,1115.801,2800.200829,1009.122,31.875876000000016
4100,1115.2959999999998,2825.6242839999964,1008.924,32.26254400000008
4150,1114.778,2879.4044159999985,1008.6299999999999,32.18561999999984
4200,1114.538,2889.802115999999,1008.269,33.21538900000006
4250,1114.462,2890.064595999999,1007.902,32.405576000000096
4300,1114.252,2904.1866359999995,1007.71,32.90440000000008
4350,1113.984,2904.091183999998,1007.5120000000001,32.386095999999974
4400,1113.909,2904.1834690000005,1007.3639999999999,32.556244000000056
4450,1111.9779999999998,2921.719035999999,1007.2239999999999,32.50370400000008
4500,1111.236,2941.7230639999993,1007.0630000000001,33.03952100000017
4550,1111.125,2942.4384849999997,1006.9530000000001,32.885700999999855
4600,1111.075,2937.6916249999986,1006.833,33.053781
4650,1110.155,2955.3945450000024,1006.64,32.906999999999854
4700,1109.471,2980.988049000003,1006.524,33.24444400000023
4750,1108.956,2941.626384000001,1006.4033999999999,33.420968039999934
4800,1107.969,2951.581129000001,1006.2446,33.52370344000016
