gen,CCHIHH_stable_migration_gate mean,CCHIHH_stable_migration_gate var,GA mean,GA var,GDE mean,GDE var,GA-SLHH mean,GA-SLHH var,QPHH mean,QPHH var
50,55.221320000000006,0.00021935360000000805,55.496230000000004,0.02385105209999993,55.34324,0.0003900104000000052,55.750699999999995,0.00022413800000001862,55.77853,0.0003287740999999867
100,55.11598,0.00012588359999998874,55.490750000000006,0.0230396024999998,55.22632,0.0007343155999999301,55.74757999999999,0.00025468560000002936,55.7667,0.0004617599999999685
150,55.04006,0.00016525639999997514,55.4876,0.023003971999999647,55.146550000000005,0.0011898204999999554,55.74724,0.0002718964000000264,55.76059,0.0006096489000000004
200,54.9884,0.0002998740000000384,55.482989999999994,0.023321700899999655,55.083400000000005,0.0009619640000000727,55.74724,0.0002718964000000264,55.74787,0.001085278099999981
250,54.95022,0.00022137959999998666,55.477729999999994,0.02330356009999977,55.02786999999999,0.0005396720999999761,55.74724,0.0002718964000000264,55.7402,0.0015453840000000188
300,54.924170000000004,0.00015786009999998817,55.47305,0.02355823249999966,54.9778,0.0005472020000000372,55.74724,0.0002718964000000264,55.72984,0.0022422044000000385
350,54.90041,0.00023225490000005218,55.46617,0.023940648099999552,54.938739999999996,0.00025680840000001285,55.74724,0.0002718964000000264,55.72246,0.0026331163999999533
400,54.87753,0.000253204100000038,55.449569999999994,0.01685886810000013,54.90893,0.0002662101000000182,55.74724,0.0002718964000000264,55.71840999999999,0.0027198789000000387
450,54.85873,0.00029513210000003205,55.4414,0.015508510000000138,54.88848,0.0002595935999999967,55.74684,0.0002886484000000176,55.71679,0.0027567548999999935
500,54.84492,0.00027835559999996116,55.43912,0.01543897360000028,54.87415,0.0003429724999999621,55.745540000000005,0.0003629824000000036,55.71515000000001,0.0026953605000000283
550,54.83394,0.0002638723999999599,55.434619999999995,0.01564520360000009,54.861540000000005,0.0003420264000000259,55.745540000000005,0.0003629824000000036,55.71367,0.002618932100000036
600,54.82191,0.00030519090000000074,55.43173,0.01560770809999996,54.85249,0.00041186690000005917,55.745540000000005,0.0003629824000000036,55.709770000000006,0.0026618421000000484
650,54.80978,0.00040879159999994766,55.42538,0.014489497599999934,54.843849999999996,0.0004464125000000127,55.745540000000005,0.0003629824000000036,55.70792,0.002562621600000003
700,54.79964,0.00044480439999999263,55.42205,0.013970084499999993,54.83797,0.0005041601000000004,55.745259999999995,0.0003557024000000029,55.70496000000001,0.002565422400000023
750,54.78857000000001,0.0004619761000000264,55.420069999999996,0.014187046100000022,54.829319999999996,0.0004061476000000128,55.745259999999995,0.0003557024000000029,55.70226,0.0025204983999999792
800,54.780499999999996,0.0004401779999999928,55.419489999999996,0.014122900900000023,54.822630000000004,0.0003904180999999769,55.745259999999995,0.0003557024000000029,55.70062,0.00234751759999996
850,54.77174,0.00044833040000000126,55.41509,0.013993906899999872,54.81821,0.0004009308999999769,55.745259999999995,0.0003557024000000029,55.699569999999994,0.0023453360999999588
900,54.76615,0.0005245805000000053,55.41133,0.013732066100000028,54.812070000000006,0.00040933610000000697,55.745259999999995,0.0003557024000000029,55.69926,0.0023495303999999636
950,54.759389999999996,0.0005282348999999626,55.40806,0.013511956400000167,54.807939999999995,0.00036974040000006147,55.745050000000006,0.0003511685000000063,55.69707999999999,0.0021662836000000017
1000,54.752390000000005,0.000517936899999983,55.405240000000006,0.013439786400000162,54.803999999999995,0.0004429880000000685,55.745050000000006,0.0003511685000000063,55.69631,0.0021817529
1050,54.745540000000005,0.0005388104000000162,55.39799000000001,0.012920398899999824,54.79994000000001,0.0004025264000000241,55.745050000000006,0.0003511685000000063,55.69517,0.0020689840999999778
1100,54.73932,0.0004868876000000143,55.39737,0.012992170099999738,54.798680000000004,0.0003833196000000283,55.743939999999995,0.00034039040000000755,55.694399999999995,0.0021209699999999608
1150,54.735,0.0004526819999999804,55.39149999999999,0.01291832400000011,54.7972,0.0004099960000000026,55.743939999999995,0.00034039040000000755,55.6936,0.0021524899999999436
1200,54.73106,0.0005494403999999839,55.38965,0.01306673250000005,54.79547,0.00033325209999998683,55.743939999999995,0.00034039040000000755,55.69243,0.0022250600999998847
1250,54.72567,0.0004631281000000372,55.387170000000005,0.012477106100000006,54.79442,0.0003200496000000081,55.743939999999995,0.00034039040000000755,55.69147,0.0023058820999999597
1300,54.72301,0.0004171049000000564,55.385630000000006,0.012561016099999883,54.79295,0.000277490500000004,55.74369,0.00033207290000001574,55.69107,0.0023337780999999427
1350,54.72019,0.0004068209000000414,55.38387,0.012686734099999902,54.792550000000006,0.00026249050000001317,55.74369,0.00033207290000001574,55.69067,0.0023189540999999513
1400,54.71707,0.0003829900999999928,55.381899999999995,0.012320023999999905,54.791509999999995,0.0002663489,55.74369,0.00033207290000001574,55.690239999999996,0.002310444399999949
1450,54.713620000000006,0.00034254360000001414,55.37981,0.011904800899999913,54.791509999999995,0.0002663489,55.74369,0.00033207290000001574,55.68987,0.0023541080999999737
1500,54.71052999999999,0.0003095980999999381,55.378420000000006,0.011857191599999697,54.79052,0.00024398959999999723,55.74308,0.00030512359999999936,55.68987,0.0023541080999999737
1550,54.708569999999995,0.0003537020999999554,55.37486,0.01085499239999995,54.78981,0.00024229490000000483,55.74271,0.00029716490000001,55.689099999999996,0.0022564259999999824
1600,54.70653,0.00029948409999999026,55.373839999999994,0.010919500399999981,54.78947000000001,0.0002456541000000035,55.74271,0.00029716490000001,55.689099999999996,0.0022564259999999824
1650,54.70447,0.00033048409999998017,55.3716,0.010969445999999952,54.78947000000001,0.0002456541000000035,55.74271,0.00029716490000001,55.68876,0.0022894263999999743
1700,54.70093000000001,0.0002963601000000168,55.368550000000006,0.010697440499999909,54.78805,0.00022349450000002142,55.74271,0.00029716490000001,55.68876,0.0022894263999999743
1750,54.69901,0.0002684729000000009,55.36735,0.010803686499999963,54.787400000000005,0.00020464800000001175,55.74271,0.00029716490000001,55.688120000000005,0.002265253599999989
1800,54.697140000000005,0.0002789863999999958,55.36414,0.010749934400000107,54.787400000000005,0.00020464800000001175,55.74249,0.00029712090000001034,55.687509999999996,0.0022807248999999826
1850,54.694539999999996,0.0002891623999999607,55.36276,0.010852916400000011,54.78703,0.0002093581000000044,55.74249,0.00029712090000001034,55.687509999999996,0.0022807248999999826
1900,54.69322,0.00029616359999996747,55.36134,0.010996176399999957,54.78623,0.00023116609999999325,55.74185,0.00029285850000001124,55.687509999999996,0.0022807248999999826
1950,54.69181,0.00028038689999999985,55.36032,0.010957711600000041,54.78592,0.00023651359999999824,55.74185,0.00029285850000001124,55.68637,0.0023603640999999512
2000,54.691089999999996,0.000274580900000008,55.35804,0.01083808239999999,54.78592,0.00023651359999999824,55.74185,0.00029285850000001124,55.68603,0.002385184099999943
2050,54.68929000000001,0.000271826900000006,55.35546000000001,0.010967454399999844,54.78558,0.0002290675999999993,55.74185,0.00029285850000001124,55.68597,0.0023754400999999657
2100,54.688390000000005,0.0002826729000000196,55.351020000000005,0.011048801599999807,54.78558,0.0002290675999999993,55.74163,0.00028931210000000785,55.68525999999999,0.0024513603999999794
