gate,mean_fitness,std_fitness,min_fitness,max_fitness
5,0.0296251,0.0020924433899152444,0.0267142,0.0315415
10,0.029135099999999997,0.002185980754718576,0.0262324,0.0315076
15,0.029247566666666665,0.0022056334257733964,0.0262781,0.0315593
20,0.028652433333333335,0.00209475744710986,0.0261627,0.0312876
25,0.028367633333333336,0.0011179738975287202,0.0271051,0.0298231
