gen,bandit_adaptive mean,bandit_adaptive var,random_ops mean,random_ops var,fixed_ops mean,fixed_ops var
50,0.3790931,7.578122900000046e-07,0.37926889999999996,7.992714899999988e-07,0.38015530000000003,5.827229209999986e-06
100,0.3720408,1.0811355600000012e-06,0.3720348,1.3853501599999699e-06,0.37269040000000003,9.279350839999946e-06
150,0.3662324,6.473916400000139e-07,0.3672741,1.0487714900000169e-06,0.3683362,7.030562160000034e-06
200,0.36261329999999997,5.324316099999934e-07,0.3637816,8.561612400000027e-07,0.3651192,7.265917359999981e-06
250,0.3604811,8.054466900000105e-07,0.3613737,6.835538100000033e-07,0.36313,6.787376599999986e-06
300,0.3590311,7.993192900000049e-07,0.3593148,1.0308573599999954e-06,0.3613328,4.902270759999959e-06
350,0.35797310000000004,5.076078899999986e-07,0.357724,1.2275317999999952e-06,0.36015420000000004,4.009453159999969e-06
400,0.3569559,6.323494900000035e-07,0.3566741,1.3017938900000087e-06,0.3589148,3.2901075600000084e-06
450,0.3561105,7.834638499999995e-07,0.35552229999999996,1.5179256100000115e-06,0.3577994,3.0462038400000336e-06
500,0.3552281,6.858166899999904e-07,0.3547501,1.6483610899999825e-06,0.3567989,3.1146832899999705e-06
550,0.3543784,6.176646400000001e-07,0.3538577,1.703229009999982e-06,0.3559021,3.1062312899999926e-06
600,0.35377200000000003,6.916287999999968e-07,0.35331429999999997,1.5316816100000143e-06,0.35504630000000004,2.7251326099999694e-06
650,0.353145,6.216430000000102e-07,0.352524,1.932707200000011e-06,0.354264,1.8619657999999942e-06
700,0.35246900000000003,6.113990000000077e-07,0.35193789999999997,1.8698940900000106e-06,0.353588,1.7374415999999773e-06
750,0.3520114,4.804270399999938e-07,0.3516479,1.5549544900000295e-06,0.35295909999999997,1.6233792899999952e-06
800,0.3516376,5.569380400000003e-07,0.3513313,1.4009102099999888e-06,0.3524118,1.5829225599999945e-06
850,0.3511149,9.262774900000228e-07,0.3509351,9.679874899999928e-07,0.3519971,1.5055186900000085e-06
900,0.35073889999999996,1.0266842900000066e-06,0.3506225,8.786658499999979e-07,0.3514192,1.4025113600000157e-06
950,0.35031219999999996,9.960919599999938e-07,0.3501263,9.057356099999916e-07,0.3509657,1.3520778100000097e-06
1000,0.3498833,1.2407640100000033e-06,0.3498444,8.008984399999993e-07,0.35056750000000003,1.0730204500000146e-06
1050,0.3496464,1.2639290399999866e-06,0.3496095,7.129692499999936e-07,0.35015490000000005,9.81718289999999e-07
1100,0.3493215,1.1387444499999732e-06,0.3491072,9.449137599999834e-07,0.3497525,1.0860616500000058e-06
1150,0.34910929999999996,8.921698099999989e-07,0.3487192,1.0136295599999898e-06,0.3494156,9.317188400000121e-07
1200,0.3488294,8.587440400000075e-07,0.3484965,9.468512499999802e-07,0.3489988,9.660591599999865e-07
1250,0.3485598,6.846549600000035e-07,0.34830259999999996,1.060855839999999e-06,0.34862920000000003,1.1565995599999972e-06
1300,0.34834740000000003,5.869806400000052e-07,0.3480023,1.2313338099999937e-06,0.3483535,8.72709450000004e-07
1350,0.3481675,6.319600499999995e-07,0.3478306,1.121852240000001e-06,0.34805539999999996,8.52153039999993e-07
1400,0.3479285,5.412292499999972e-07,0.34767329999999996,1.0031830099999904e-06,0.3477162,9.430403599999909e-07
1450,0.34771,5.736908000000093e-07,0.3475895,1.0516180499999927e-06,0.3474345,9.135264500000069e-07
1500,0.3474897,5.655096099999984e-07,0.3473998,1.0186099600000068e-06,0.34714659999999997,1.2008980400000092e-06
1550,0.3473199,6.016878900000136e-07,0.34725280000000003,9.775895600000047e-07,0.3469464,1.2016928400000052e-06
