Scale,Threshold,Config,N,HitGen_Mean,HitGen_Std,Mean+-Std
T100,54.6549,CCHIHH_stable_migration_on,10,7740.00,2990.80,7740.00+-2990.80
T100,54.6549,CCHIHH_stable_migration_off,10,10000.00,0.00,10000.00+-0.00
