config,mean,std,best,median,worst,mean±std
CCHIHH_Full,0.48445229999999995,0.0002552715547542841,0.483867,0.484531,0.484752,0.484452 +- 0.000255
CGA,0.4868587,0.00022668727847460144,0.486523,0.4868445,0.487126,0.486859 +- 0.000227
IMOMA,0.491712,0.000293417790871648,0.491208,0.491741,0.492245,0.491712 +- 0.000293
DSAC_DE,0.4864795,0.0011324378079563182,0.485633,0.4860545,0.488692,0.486480 +- 0.001132
