Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver GA --seed 4 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T50_E50_D150.txt --cnum 50 --enum 50 --dnum 150 --tnum 50 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T50_E50_D150.txt
Generations: 10000
Population size: 40
Random seed: 4
Pini (heuristic prob): 0.4
Solver: GA
Cnum/Enum/Dnum/Tnum/Mopt: 50/50/150/50/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T50_E50_D150.txt"
Gen 50: best_fit = 1109.45
Gen 100: best_fit = 1108.96
Gen 150: best_fit = 1096.51
Gen 200: best_fit = 1096.07
Gen 250: best_fit = 1095.72
Gen 300: best_fit = 1095.34
Gen 350: best_fit = 1081.07
Gen 400: best_fit = 1080.65
Gen 450: best_fit = 1072.14
Gen 500: best_fit = 1071.73
Gen 550: best_fit = 1071.72
Gen 600: best_fit = 1067.62
Gen 650: best_fit = 1067.52
Gen 700: best_fit = 1067.52
Gen 750: best_fit = 1067.45
Gen 800: best_fit = 1053.48
Gen 850: best_fit = 1053.14
Gen 900: best_fit = 1052.84
Gen 950: best_fit = 1052.79
Gen 1000: best_fit = 1051.83
Gen 1050: best_fit = 1051.82
Gen 1100: best_fit = 1051.75
Gen 1150: best_fit = 1051.75
Gen 1200: best_fit = 1051.67
Gen 1250: best_fit = 1051.67
Gen 1300: best_fit = 1051.66
Gen 1350: best_fit = 1051.43
Gen 1400: best_fit = 1051.41
Gen 1450: best_fit = 1050.49
Gen 1500: best_fit = 1050.36
Gen 1550: best_fit = 1050.15
Gen 1600: best_fit = 1049.9
Gen 1650: best_fit = 1048.9
Gen 1700: best_fit = 1048.9
Gen 1750: best_fit = 1048.9
Gen 1800: best_fit = 1048.9
Gen 1850: best_fit = 1048.53
Gen 1900: best_fit = 1048.53
Gen 1950: best_fit = 1048.44
Gen 2000: best_fit = 1048.15
Gen 2050: best_fit = 1048.15
Gen 2100: best_fit = 1047.82
Gen 2150: best_fit = 1047.8
Gen 2200: best_fit = 1047.8
Gen 2250: best_fit = 1047.63
Gen 2300: best_fit = 1047.63
Gen 2350: best_fit = 1045.81
Gen 2400: best_fit = 1045.81
Gen 2450: best_fit = 1045.09
Gen 2500: best_fit = 1045.09
Gen 2550: best_fit = 1043.58
Gen 2600: best_fit = 1042.46
Gen 2650: best_fit = 1042.41
Gen 2700: best_fit = 1042.41
Gen 2750: best_fit = 1042.41
Gen 2800: best_fit = 1042.18
Gen 2850: best_fit = 1042.16
Gen 2900: best_fit = 1042.07
Gen 2950: best_fit = 1041.93
Gen 3000: best_fit = 1041.8
Gen 3050: best_fit = 1041.8
Gen 3100: best_fit = 1041.8
Gen 3150: best_fit = 1041.79
Gen 3200: best_fit = 1041.79
Gen 3250: best_fit = 1041.59
Gen 3300: best_fit = 1041.55
Gen 3350: best_fit = 1041.55
Gen 3400: best_fit = 1041.38
Gen 3450: best_fit = 1041.13
Gen 3500: best_fit = 1041.13
Gen 3550: best_fit = 1041.13
Gen 3600: best_fit = 1041.13
Gen 3650: best_fit = 1041.13
Gen 3700: best_fit = 1041.1
Gen 3750: best_fit = 1041.04
Gen 3800: best_fit = 1041.04
Gen 3850: best_fit = 1040.86
Gen 3900: best_fit = 1040.65
Gen 3950: best_fit = 1040.61
Gen 4000: best_fit = 1039.8
Gen 4050: best_fit = 1039.8
Gen 4100: best_fit = 1039.56
Gen 4150: best_fit = 1039.34
Gen 4200: best_fit = 1039.31
Gen 4250: best_fit = 1038.64
Gen 4300: best_fit = 1038.64
Gen 4350: best_fit = 1038.43
Gen 4400: best_fit = 1038.31
Gen 4450: best_fit = 1038.27
Gen 4500: best_fit = 1038.27
Gen 4550: best_fit = 1037.86
Gen 4600: best_fit = 1037.81
Gen 4650: best_fit = 1037.81
Gen 4700: best_fit = 1037.8
Gen 4750: best_fit = 1037.77
Gen 4800: best_fit = 1037.77
Gen 4850: best_fit = 1037.76
Gen 4900: best_fit = 1037.75
Gen 4950: best_fit = 1037.41
Gen 5000: best_fit = 1037.38
Gen 5050: best_fit = 1037.24
Gen 5100: best_fit = 1037.24
Gen 5150: best_fit = 1037.24
Gen 5200: best_fit = 1026.06
Gen 5250: best_fit = 1026.06
Gen 5300: best_fit = 1025.95
Gen 5350: best_fit = 1025.95
Gen 5400: best_fit = 1025.94
Gen 5450: best_fit = 1025.94
Gen 5500: best_fit = 1025.83
Gen 5550: best_fit = 1025.67
Gen 5600: best_fit = 1025.57
Gen 5650: best_fit = 1021.97
Gen 5700: best_fit = 1021.97
Gen 5750: best_fit = 1021.87
Gen 5800: best_fit = 1021.84
Gen 5850: best_fit = 1021.84
Gen 5900: best_fit = 1014.22
Gen 5950: best_fit = 1012.99
Gen 6000: best_fit = 1010.67
Gen 6050: best_fit = 1010.6
Gen 6100: best_fit = 1010.13
Gen 6150: best_fit = 1010.13
Gen 6200: best_fit = 1010.13
Gen 6250: best_fit = 1010.04
Gen 6300: best_fit = 1001.11
Gen 6350: best_fit = 1000.96
Gen 6400: best_fit = 1000.81
Gen 6450: best_fit = 1000.76
Gen 6500: best_fit = 1000.76
Gen 6550: best_fit = 1000.76
Gen 6600: best_fit = 1000.19
Gen 6650: best_fit = 1000.15
Gen 6700: best_fit = 999.665
Gen 6750: best_fit = 999.621
Gen 6800: best_fit = 999.621
Gen 6850: best_fit = 998.825
Gen 6900: best_fit = 998.633
Gen 6950: best_fit = 998.247
Gen 7000: best_fit = 998.001
Gen 7050: best_fit = 997.968
Gen 7100: best_fit = 997.484
